fraction,total_protein,Photosystems CV,PSI CV,electron transport CV,Calvin Cycle CV
total,0.3726825,0.4067352,0.404544,0.4202138,0.4425856
interspecific,0.4281861,0.3639998,0.3790277,0.3975525,0.4330869
ID (mean error bar size),0.2745177,0.2812078,0.2686592,0.2968098,0.3584206
leaf age,0.1653072,0.1799602,0.1665289,0.1876511,0.2172207
biological_rep (intraspecific),0.1670326,0.1732643,0.1725294,0.1813558,0.2133984
