"","bin_arch","sample","sum","bin_arch_name"
"115","_1.1.1_","T320",7653.253675922,"PSII"
"116","_1.1.1_","T321",6059.780581067,"PSII"
"117","_1.1.1_","T323",8392.156714879,"PSII"
"118","_1.1.1_","T333",5847.477820242,"PSII"
"119","_1.1.1_","T339",12086.337751267,"PSII"
"120","_1.1.1_","KG135",6178.724614434,"PSII"
"121","_1.1.1_","KG139",6302.651036617,"PSII"
"122","_1.1.1_","KG142",7577.765537559,"PSII"
"123","_1.1.1_","QL108",5357.541774741,"PSII"
"124","_1.1.1_","QL112",6554.189891351,"PSII"
"125","_1.1.1_","QL144",5343.880704588,"PSII"
"126","_1.1.1_","QL147",3202.314581793,"PSII"
"127","_1.1.1_","QL152",5581.516790828,"PSII"
"128","_1.1.1_","QL235",5488.03299972,"PSII"
"129","_1.1.1_","QL240",7484.065421676,"PSII"
"130","_1.1.1_","QL243",6920.654216343,"PSII"
"131","_1.1.1_","QL315",5087.54939641,"PSII"
"132","_1.1.1_","QL319",4950.66943154,"PSII"
"133","_1.1.1_","QL412",5008.252353224,"PSII"
"134","_1.1.1_","QL454",4289.220881742,"PSII"
"135","_1.1.1_","QL455",5812.456068563,"PSII"
"136","_1.1.1_","RH055",8462.893685095,"PSII"
"137","_1.1.1_","T019",5235.782705605,"PSII"
"138","_1.1.1_","T049",4351.79765643,"PSII"
"139","_1.1.1_","T050",4415.486619436,"PSII"
"140","_1.1.1_","T145",6445.275618397,"PSII"
"141","_1.1.1_","T150",6457.977360685,"PSII"
"142","_1.1.1_","T225",9944.622374253,"PSII"
"143","_1.1.1_","T251",7762.934712021,"PSII"
"144","_1.1.1_","T398",8615.822421364,"PSII"
"145","_1.1.1_","YG018",5558.454013097,"PSII"
"146","_1.1.1_","YG077",7579.170746257,"PSII"
"147","_1.1.1_","KG036",9711.475970967,"PSII"
"148","_1.1.1_","KG050",14640.411578376,"PSII"
"149","_1.1.1_","KG102",4205.044138975,"PSII"
