"","x"
"1","T082"
"2","T085"
"3","T088"
"4","T084"
"5","T087"
"6","T090"
"7","RH097"
"8","RH100"
"9","RH103"
"10","RH096"
"11","RH099"
"12","RH102"
"13","RH098"
"14","RH101"
"15","RH104"
"16","KG102"
"17","KG122"
"18","KG135"
"19","KG101"
"20","KG121"
"21","KG100"
"22","KG120"
"23","KG132"
"24","KG142"
"25","KG143"
"26","KG141"
"27","KG140"
"28","KG106"
"29","KG118"
"30","KG105"
"31","KG117"
"32","KG137"
"33","KG104"
"34","KG116"
"35","KG136"
"36","KG038"
"37","KG079"
"38","KG036"
"39","KG077"
"40","KG039"
"41","KG076"
"42","KG023"
"43","KG051"
"44","KG083"
"45","KG022"
"46","KG049"
"47","KG081"
"48","KG021"
"49","KG048"
"50","KG080"
"51","RH118"
"52","RH121"
"53","RH124"
"54","RH120"
"55","RH123"
"56","RH119"
"57","RH122"
"58","RH010"
"59","RH001"
"60","RH005"
"61","RH009"
"62","RH003"
"63","RH007"
"64","RH011"
"65","RH004"
"66","RH060"
"67","RH064"
"68","RH055"
"69","RH059"
"70","RH063"
"71","RH057"
"72","RH061"
"73","RH065"
"74","YG081"
"75","YG124"
"76","YG017"
"77","YG082"
"78","YG125"
"79","YG019"
"80","YG080"
"81","YG123"
"82","YG016"
"83","YG021"
"84","YG055"
"85","YG020"
"86","YG056"
"87","YG084"
"88","YG022"
"89","YG054"
"90","YG023"
"91","YG075"
"92","YG128"
"93","YG043"
"94","YG076"
"95","YG129"
"96","YG045"
"97","YG077"
"98","YG127"
"99","YG071"
"100","YG120"
"101","YG136"
"102","YG121"
"103","YG137"
"104","YG072"
"105","YG118"
"106","YG135"
"107","YG119"
"108","YG134"
"109","YG030"
"110","YG169"
"111","YG187"
"112","YG203"
"113","YG170"
"114","YG188"
"115","YG204"
"116","YG168"
"117","YG186"
"118","YG201"
"119","QL236"
"120","QL239"
"121","QL242"
"122","QL235"
"123","QL238"
"124","QL241"
"125","QL237"
"126","QL240"
"127","QL222"
"128","QL227"
"129","QL230"
"130","QL233"
"131","QL226"
"132","QL228"
"133","QL232"
"134","QL229"
"135","QL231"
"136","QL234"
"137","QL223"
"138","QL224"
"139","QL225"
"140","QL140"
"141","QL143"
"142","QL146"
"143","QL139"
"144","QL142"
"145","QL145"
"146","QL141"
"147","QL144"
"148","QL147"
"149","QL149"
"150","QL152"
"151","QL155"
"152","QL148"
"153","QL151"
"154","QL156"
"155","QL107"
"156","QL111"
"157","QL115"
"158","QL106"
"159","QL110"
"160","QL114"
"161","QL108"
"162","QL112"
"163","QL116"
"164","QL109"
"165","QL113"
"166","QL117"
"167","QL131"
"168","QL134"
"169","QL130"
"170","QL135"
"171","QL138"
"172","QL404"
"173","QL398"
"174","QL401"
"175","QL403"
"176","QL397"
"177","QL400"
"178","QL405"
"179","QL385"
"180","QL386"
"181","QL387"
"182","QL332"
"183","QL329"
"184","QL326"
"185","QL331"
"186","QL328"
"187","QL325"
"188","QL322"
"189","QL323"
"190","QL324"
"191","QL449"
"192","QL452"
"193","QL455"
"194","QL448"
"195","QL451"
"196","QL454"
"197","QL445"
"198","QL446"
"199","QL447"
"200","QL407"
"201","QL411"
"202","QL415"
"203","QL406"
"204","QL410"
"205","QL414"
"206","QL408"
"207","QL416"
"208","QL409"
"209","QL413"
"210","QL417"
"211","QL171"
"212","QL174"
"213","QL185"
"214","QL170"
"215","QL173"
"216","QL184"
"217","QL172"
"218","QL175"
"219","QL314"
"220","QL317"
"221","QL320"
"222","QL315"
"223","QL318"
"224","QL321"
"225","QL305"
"226","QL308"
"227","QL311"
"228","QL304"
"229","QL307"
"230","QL310"
"231","QL301"
"232","QL302"
"233","QL303"
"234","T242"
"235","T250"
"236","T246"
"237","T241"
"238","T249"
"239","T245"
"240","T244"
"241","T252"
"242","T248"
"243","T218"
"244","T222"
"245","T226"
"246","T217"
"247","T221"
"248","T225"
"249","T220"
"250","T224"
"251","T228"
"252","T320"
"253","T328"
"254","T319"
"255","T323"
"256","T327"
"257","T322"
"258","T326"
"259","T330"
"260","T332"
"261","T336"
"262","T340"
"263","T331"
"264","T335"
"265","T339"
"266","T334"
"267","T338"
"268","T342"
"269","T146"
"270","T150"
"271","T145"
"272","T149"
"273","T153"
"274","T148"
"275","T152"
"276","T156"
"277","T373"
"278","T377"
"279","T381"
"280","T372"
"281","T376"
"282","T382"
"283","T375"
"284","T379"
"285","T383"
"286","T014"
"287","T018"
"288","T022"
"289","T013"
"290","T017"
"291","T023"
"292","T016"
"293","T020"
"294","T024"
"295","T162"
"296","T166"
"297","T157"
"298","T167"
"299","T160"
"300","T164"
"301","T168"
"302","T398"
"303","T402"
"304","T406"
"305","T397"
