sample,Jmax
KG022,106.458907414835
KG023,107.88773837365
KG024,96.5281831926277
KG036,98.4330395212306
KG037,117.583460870564
KG038,114.715244200835
KG049,75.9675351648615
KG050,73.8490733386971
KG051,112.740227104269
KG077,101.620852951965
KG078,128.449971852491
KG079,147.340642445926
KG101,79.2133856213071
KG102,78.4558484698893
KG103,145.60904208403
KG105,112.528446311905
KG106,123.588444035529
KG107,127.191142024301
KG117,91.7148630849119
KG118,77.3864550021712
KG119,82.7095873980022
KG121,79.6799705567353
KG122,134.448491042832
KG123,118.09204285602
KG133,49.7027408845857
KG134,117.588040626468
KG135,116.250354553338
KG137,67.8155753158477
KG138,125.323035243442
KG139,99.5347320985211
KG141,113.224509536702
KG142,125.24294583688
KG143,133.273872216108
QL107,85.801586532673
QL108,82.2419310397009
QL111,63.8831617698121
QL112,58.1303509509479
QL114,100.705575610642
QL115,107.442740665053
QL116,62.0306611223906
QL131,121.214368311545
QL132,88.4136629732338
QL136,97.1431730930712
QL137,74.1735270185081
QL138,66.4440893706972
QL170,84.505760666859
QL171,71.7715104550652
QL172,58.1546262478157
QL173,61.8793950637591
QL174,56.9566098278973
QL175,61.540346707771
QL184,69.9244336433547
QL185,85.3742566246426
QL186,63.4288963132081
QL228,127.933718974405
QL230,77.4339347160968
QL231,63.3807300984214
QL233,78.6884909314162
QL234,59.6987060526531
QL237,62.9837019212362
QL238,126.617052483473
QL239,103.167512676853
QL241,95.2993365384825
QL242,122.531792727147
QL243,72.0170839692548
QL313,128.084722692867
QL314,112.610391802361
RH117,90.081851257273
RH118,75.0748788836736
RH119,72.0957180881347
RH120,78.2438339791288
RH121,85.0585324664933
RH122,75.8191485580264
RH123,90.5285607801643
RH124,85.3985177760942
RH125,56.0998773658443
T013,159.36355634071
T014,193.745023912878
T015,219.602239907214
T017,231.973596296364
T018,215.318755806603
T019,131.788342470649
T021,210.390176415771
T022,210.046247436964
T023,247.039578622399
T049,124.350451195513
T050,127.826722934494
T051,177.994633143391
T053,90.5529902834844
T054,165.050576257663
T055,168.562628152087
T057,130.010170376586
T058,192.071572347983
T059,125.145212669269
T145,135.717789980236
T146,164.032304265458
T149,106.32729370232
T150,191.974418853589
T151,121.462428173438
T153,128.777007885332
T154,179.587090905585
T155,122.117776791403
T217,116.613997326379
T221,93.806164031124
T222,105.18677451308
T223,104.250040041023
T225,97.2901856318635
T226,98.9499808627021
T227,110.490358072558
T241,140.664211802119
T242,141.856934894161
T243,178.032146635139
T245,146.616007704851
T246,122.76552355116
T247,132.087134742385
T249,95.6856397265251
T250,69.6247184347674
T251,130.627079636031
T331,94.2637738132056
T332,82.7196994475412
T333,73.9905981234904
T335,103.451114426133
T336,102.492634469871
T337,83.60559783433
T339,91.02936147943
T340,118.455627072902
T341,94.5237092508751
T372,183.498547194182
T373,127.94502857266
T374,123.937558531854
T376,106.385998984609
T377,123.073565812692
T378,144.730100279735
T380,104.856486511892
T381,141.144073275523
T382,152.690645302897
T398,147.288547956412
T402,153.667640091477
T403,121.698991425696
T405,131.98519400882
T406,181.016592588285
T407,125.355373983185
YG017,85.9260463944865
YG018,125.908775650646
YG019,100.73897376416
YG021,169.309060073812
YG022,98.7827422324748
YG043,103.46632321896
YG044,126.035244819822
YG045,93.4742101671878
YG054,63.2806117678097
YG055,94.1613905089217
YG056,98.1327767483243
YG070,144.599223081835
YG071,135.651651941571
YG072,139.939403324105
YG075,137.025048028532
YG076,120.328243715411
YG080,122.192361922765
YG081,146.970242990605
YG086,85.1738687011535
YG118,108.364017796485
YG120,136.820084699654
YG121,113.487390189824
YG123,112.955046389626
YG124,165.873508834658
YG125,182.549065848786
YG127,146.930602729555
YG129,117.004404559402
YG135,98.6201345324539
YG136,107.816869548402
YG137,96.9752824423011
YG168,123.369067071022
YG169,93.096706544502
YG170,112.026297027586
YG186,109.66180411034
YG187,108.432581466275
YG188,108.419365160887
YG202,110.754867164936
YG203,149.906934620698
