V1,V2,V3,V4,V5,V6,V7,angcos_32,angcos_33,corcit_43,corcla_44,corexi_45,corgum_46,corint_48,corpoc_49,corter_50,cortes_51,eucamy_53,eucatr_54,euccam_55,euccoc_56,euccre_57,eucdel_58,eucdis_59,eucdum_60,eucfib_61,eucgil_62,eucglo_63,euchae_64,eucmed_65,eucnit_66,eucnit_67,eucobl_68,eucpla_69,eucpru_70,eucpun_71,eucrub_72,eucrub_73,eucsoc_74,eucspa_75,eucten_76,eucten_77,eucter_78,melpal_106
amino_acid_metabolism,degradation,aromatic_aa,tryptophan,NA,NA,NA,0.476673700494754,0.361153561354525,0.373361809304227,0.259160357892489,0.308837440326596,0.303357263962819,0.334058352098216,0.468131046194324,0.515709580442277,0.146440043378734,0.65687468607825,0.477455302850408,0.550166758710909,0.76199794623101,0.296843520475495,0.526787265191954,0.494749104680896,0.808509792726367,0.318316966272984,0.647906635510084,0.588107997592218,0.584145542085766,0.398370481781844,0.557480144832537,0.574981385775991,0.597779645487143,0.456960974989515,0.654149115481643,0.696536554840249,1.07348073511167,0.491164528932271,0.941950698145673,0.579865535788729,1.04402366159992,0.574943486289946,0.335009635847148,0.0879936163294111
amino_acid_metabolism,degradation,aromatic_aa,tyrosine,NA,NA,NA,5.83148866006478,4.33900530618748,6.35634609307499,6.64952168236116,12.6414159524775,9.6239249785323,5.26386275887378,9.37985546561034,7.57893670483467,6.79139977635277,11.7701771239425,10.3685387053963,10.1924673609648,16.3129967089198,7.97209885630889,9.68692527346974,11.9185070637397,14.1556471063046,5.5895743787136,12.4990620453199,13.9131304652686,12.7379169595318,8.8743640890168,9.82174433656644,10.0290362709568,6.80860354805244,6.72292932377026,13.336678584697,7.64597476937016,11.7127705343954,9.72210104054372,19.3210141949447,9.11855606266661,17.2146742935122,7.84233886445243,7.89046020462656,4.95257951127424
amino_acid_metabolism,degradation,aspartate_family,asparagine,L_asparaginase,NA,NA,0.0928610918597744,0.0507229992781089,0.0851261983493848,0.0970945259982598,0.122826291123559,0.119201937866223,0.0987788438385983,2.27655233078037,0.108458727523045,0.0562855154189864,0.125536586065775,0.678467207954902,0.271259107992894,1.95464373013617,0.195629913422615,0.184968382210466,0.127009959982966,5.08067895572663,0.132526732464923,0.217134541619599,3.25621688985917,0.246252688665674,0.19237425264337,0.116296152786121,1.44973367906352,0.207511241334892,2.14186352077142,3.59336699415376,0.339816280148809,0.302457984668768,0.11699745039551,0.388378179526567,0.212182498283134,1.70459431419165,3.68342494886544,1.63771695983451,0.0355035524817616
amino_acid_metabolism,degradation,aspartate_family,methionine,NA,NA,NA,26.8686639596493,14.7752006841761,17.6274104090338,13.8567835999291,23.4506355404794,17.7715643290797,22.7617764047363,12.5452116787312,10.5575763596469,9.60163262787029,23.4619294270628,26.6811011321156,30.2565392944713,65.6252773428159,24.086749534141,38.6154713913889,5.66233836297187,16.9475070715576,7.31144880001631,22.4799314791038,25.6343607303411,21.1116944997605,15.5906818009277,41.3569413754606,22.3403417241971,14.4021490555184,12.2263001838909,9.70812457159186,18.2159826186254,27.471299318801,33.4751859647242,30.0902684994759,20.6294480248347,27.5953080496847,31.3005060064012,11.8458562790919,26.1291045377386
amino_acid_metabolism,degradation,branched_chain_group,isoleucine,NA,NA,NA,2.98051773495759,1.73982447436959,1.29975090570805,1.64764118496753,3.12219793207171,3.16140107776589,2.01268859920449,1.26028686168051,1.52134478844171,1.22938219285327,5.00973599616366,2.62057627595185,5.64822925728648,8.29515857306771,3.47368552615679,5.73270758183119,2.07947852082585,4.45654190779457,1.41623630094785,4.33751144325482,4.70362591052902,4.55124318488725,2.12249356523462,6.344914968597,2.86088628276908,3.37626176648064,3.35110762368525,2.77443555081862,5.8792453583314,4.70391699109044,4.76352107903402,4.57841365849955,4.28820733473061,3.28986901348998,5.22301665957123,3.09805298095274,1.59084344086009
amino_acid_metabolism,degradation,branched_chain_group,leucine,NA,NA,NA,4.58571239376079,4.53928699866725,3.97585340449965,4.23469124059122,3.77712144162045,4.39450525915096,3.03749280193025,4.21091081763314,4.75374047984831,2.69319116991792,8.16679956994536,4.04886084946163,5.24046845560822,9.42601869351978,4.67560644889698,6.80902175995588,4.11895754476056,6.86855497019601,3.26292117178988,5.8898389929037,7.26654771330809,7.20812331494066,4.3853659263268,5.51637243753991,7.39851003103955,5.63349082135674,6.14703936677704,4.51963366475023,5.71728903744357,7.98437498918177,6.9418553155325,7.84734399191486,6.09304228830473,11.379311522499,6.2685940477525,4.46188742286263,1.82551295909557
amino_acid_metabolism,degradation,branched_chain_group,shared,NA,NA,NA,9.24919204775516,8.51908337601963,6.03394040701986,9.86099780144442,9.90199892844801,11.9487645126697,11.0301772234738,10.9640000985142,9.87671768814608,6.59795945622948,15.0499860460893,10.4572376850155,12.0582305497857,21.4237829113933,10.8083926812716,17.7485115802476,10.9518303319954,13.552471608753,5.79987973164826,8.90420286391715,16.8525978102973,16.9786101512603,9.74838905893763,14.2360663194094,16.0428491351064,16.0697604587112,10.034394991797,11.638118141455,12.1675952862119,14.0049423833589,9.63729159437569,14.4495562879309,16.8204676980236,28.8314834802176,14.7001161167505,8.8802465745676,2.59130891916081
amino_acid_metabolism,degradation,branched_chain_group,valine,NA,NA,NA,1.7324442666257,1.85929282164051,1.67563221591375,1.45187462298756,3.65964516186755,2.18827190232149,1.5783457803277,1.54450305157676,1.57819512394699,1.6471105961579,2.5165265588042,2.81661617733167,2.33132324261018,2.84696029770235,1.73001445529345,1.9725432508206,2.01501908468185,3.08059373279023,1.46785841082762,2.77384177324877,4.92880165036872,2.45055315222118,1.47126931479476,1.99184132239666,1.50444152492073,1.66770785748898,3.00022125864738,2.82427955974752,2.39841704900199,4.46874660386119,3.1866034650962,4.8694295436966,2.2509641697433,3.09072836526748,1.98028823481106,2.6426512754746,0.444987073584059
amino_acid_metabolism,degradation,glutamate_family,arginine,NA,NA,NA,1.88902432076503,1.44310690998653,1.6894044667431,1.65661988394825,1.84851789488619,2.29199112467086,1.27485270246178,2.05805758360362,2.48166645946029,1.68040979660133,2.31432101765575,2.23341593178564,1.88406416264888,2.3612569682441,1.41555950199176,1.9964587679838,1.81832933607904,2.04048328977882,1.44205267984634,1.51048555096111,2.86667623591754,1.82458208778422,1.67497637603768,1.48522494616576,1.61622842248883,1.20891526755976,2.1013192671175,2.15498473693293,2.13497939450433,4.2174032919221,3.25665138656903,2.28892577238129,1.79915720109307,2.48347296735854,1.42280219764391,1.88635291421986,0.628314775755242
amino_acid_metabolism,degradation,glutamate_family,proline,NA,NA,NA,1.8530861858559,1.65949306959028,1.99562822793556,1.98743728613406,3.47333118514108,1.8551965027311,2.30848445288282,2.32711196194362,2.54534946861532,1.80413990900292,3.06821196977881,2.31957490056697,3.64302690534075,2.69792995035649,1.57586778036109,1.73360999915015,3.14223208471538,4.04593213365217,1.51987875752189,2.92804747666615,3.41106117745709,3.07338529556004,1.64330417874656,2.25447731783923,1.84676696410074,1.80890589620303,4.37701576522583,3.01017374836835,3.15319251801711,4.54776342917039,3.19470478886025,3.51058397639878,2.24702309846954,4.22158636211308,1.9943375075479,3.16192912433315,1.52506215330948
