n,total_protein,photorespiration,calvin_cycle,Rubisco,Photosystems,ATP_synthase_chloroplastic,protein,stress,other
1,0.102375051548706,0,-0.993827160493827,0.993827160493827,0,0,0,0,1
5,0.25587122597091,0,-0.643177573812087,0.763704116771092,0.0240415031673742,0.0626499966661747,0.000273318639936715,0.000267144257572856,0.792241494309937
10,0.346586998056839,0.00158946678743002,-0.392512714439831,0.573941056745003,0.0810224119507062,0.114038472037301,0.000975064620110022,0.00105030472747335,0.619895937571809
20,0.460291192903385,0.0207934214011845,-0.218538465177109,0.439409713246829,0.172245532039264,0.0882577168656541,0.00318665095739846,0.00217808146301005,0.492467349203768
30,0.528372874826448,0.0343204920387318,-0.181131897538966,0.385563453183516,0.216830498577889,0.0767561223010246,0.00686891840358005,0.00519649509395351,0.455595917940272
40,0.576791763149605,0.0406832221723214,-0.157937347962643,0.354540180194632,0.22899379538994,0.0708398154280133,0.0122202078827975,0.00978591491325067,0.440874211981688
50,0.613882949211808,0.0417965818342809,-0.141995651665084,0.333897713944444,0.230201863741533,0.0688497774777525,0.015783767838863,0.014921139771606,0.436544807056605
75,0.67866250169397,0.0441901986040967,-0.121661863800716,0.302883633574515,0.223226959109439,0.065939179824369,0.0223851246041045,0.0219482232340913,0.4410885448501
100,0.72138429053405,0.0445412798100789,-0.111461895921047,0.286322916825033,0.215830724242242,0.0627828371855216,0.0281562300190076,0.0242546280123418,0.449573279826822
200,0.811001982178016,0.0428193048375269,-0.0960718172116869,0.256174618527711,0.197340608290473,0.058848647984589,0.0385750629502886,0.0270857858008251,0.475227788820273
500,0.904798784528183,0.03896477853868,-0.0860163200167626,0.230441833380566,0.179455909560813,0.0531632388091952,0.0541394548935605,0.0291024584164419,0.500748646417506
1000,0.96171687733325,0.0368172857738209,-0.0807950607567117,0.217217325557667,0.169809972673697,0.0501471921734107,0.0659284304535759,0.0294554221618954,0.511419431962644
2000,0.996510806338692,0.0357035086162667,-0.0780295775523227,0.209887484496855,0.164402279154965,0.0484439018047452,0.0721373716994004,0.0298324260589087,0.517622605721181
