sample,d13C,soil_P,soil_S,soil_N,soil_C,Narea_mean,Narea_SE,Narea_CV,Latitude,Longitude,leaf_age,mg_Cl_a_per_m2,mg_Cl_b_per_m2,mg_Cl_total_per_m2,umol_Cl_a_per_m2,umol_Cl_b_per_m2,umol_Cl_total_per_m2,irradiance,gap,P,S.x,Unit,N,C,H,S.y,photo_max,Cond,Ci,Tleaf,LMA_g_per_m2,LWC_percent,species,site_revised,tavg,dnrg,isot,tsea,tmax,tmin,trng,twet,tdry,twrm,tcld,prec,pwmt,pdmt,psea,pwet,pdry,pwrm,pcld,soilN,soilP,soilC,alpha,site_id.x,tavg_recent_year,tmax_recent_year,prec_recent_year,VPD_recent_year,site_id.y,tavg_recent_month,tmax_recent_month,prec_recent_month,VPD_recent_month,N_per_area,P_per_area,leaf_rad,species_confirmed,biological_rep,date,gap_mean,gap_SE,leafrad_mean,leafrad_SE,LMA_mean,LMA_SE
KG022,-28.36,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,old,598.3234669,107.3029954,705.6264623,669.2656229,120.025722,789.2913449,16.69332314,67.92875,347.238,188.042,ppm,0.931,54.9345,6.555,0.05,24.50345179,0.241820757,1572.715625,25.18390465,341.8124596,49.89839556,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3182.273998876,1186902.74846585,11.3395657424628,euchae,1,140603,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG023,-28.36,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,mid,791.500774,150.6641216,942.1648955,885.3476219,168.5281002,1053.875722,16.69332314,77.789375,191.899,346.608,ppm,0.973,56.4243,6.707,0.049,25.06170337,0.191175732,1521.95431,25.55276108,339.416026,49.41857824,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3302.51793298,651335.95973374,12.9856317373364,euchae,1,140603,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG024,-28.36,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,new,793.8001125,144.234683,938.0347955,887.9195889,161.3363345,1049.255923,16.69332314,87.65,308.653,559.759,ppm,0.9855,56.256,6.876,0.04,22.33737051,0.258935301,1593.844581,25.31593704,330.7773543,49.71425416,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3259.8108266265,1020954.22736758,14.63169773221,euchae,1,140603,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG036,-29.17,110.805,244.483,0.12279,4.9305,2316.99868860019,91.5370497416409,0.11852020054048,-33.69,151.15,old,544.2225953,109.537659,653.7602543,608.7501066,122.5253456,731.2754522,16.69332314,73.4235,294.505,255.69,ppm,0.7969,53.1239,6.364,0.026,22.43471827,0.176282903,1507.206459,24.9898262,258.7792695,44.31919092,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,2062.2119986455,762117.887640975,12.2568221156979,corgum,1,140604,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466
KG037,-29.17,110.805,244.483,0.12279,4.9305,2316.99868860019,91.5370497416409,0.11852020054048,-33.69,151.15,mid,1284.619656,256.0843532,1540.70401,1436.934739,286.4478224,1723.382561,16.69332314,84.08175,182.361,442.613,ppm,0.9089,53.6846,6.331,0.058,26.94750735,0.221399344,1518.559016,25.13987923,255.1901209,46.83321605,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,2319.4230088601,465367.256374449,14.0360382292669,corgum,1,140604,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466
KG038,-29.17,110.805,244.483,0.12279,4.9305,2316.99868860019,91.5370497416409,0.11852020054048,-33.69,151.15,new,901.5381771,188.9692085,1090.507386,1008.431965,211.3749536,1219.806919,16.69332314,94.74,305.216,13.389,ppm,0.809,53.9001,6.382,0.017,26.62461728,0.15257026,1441.662237,25.67468262,247.2023881,51.07406973,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,1999.867319729,754501.240863296,15.815254342836,corgum,1,140604,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466
KG049,-29.33,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,old,460.5899409,99.72134652,560.3112874,515.2012762,111.5451303,626.7464065,16.69332314,70.1375,363.964,340,ppm,0.9345,55.9136,6.899,0.045,17.46842628,0.320606041,1652.161626,25.03599358,330.0286578,46.28538417,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3084.117807141,1201185.50407519,11.7082795173175,euchae,2,140604,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG050,-29.33,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,mid,1014.958593,214.3767078,1229.335301,1135.300439,239.7949752,1375.095414,16.69332314,80.31875,243.317,418.289,ppm,0.9029,55.4619,6.713,0.031,17.16627231,0.317774091,1651.370641,25.36796379,351.0122887,48.68812898,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3169.2899546723,854072.570496179,13.4078684795087,euchae,2,140604,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG051,-29.33,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,new,470.5181321,108.0084708,578.5266029,526.3066355,120.8148443,647.1214798,16.69332314,90.5,345.22,481.224,ppm,1.1374,56.827,7.008,0.045,25.67937226,0.372417423,1617.907774,24.79730034,313.005655,50.29513328,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3560.12631997,1080558.122191,15.1074574417,euchae,2,140604,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG077,-27.02,110.805,244.483,0.12279,4.9305,2316.99868860019,91.5370497416409,0.11852020054048,-33.69,151.15,old,754.5694731,156.9376034,911.5070765,844.037442,175.5454177,1019.58286,16.69332314,51.4445,291.22,393.302,ppm,0.7775,52.2608,6.278,0.054,23.03285074,0.099159477,1334.965035,25.15238571,269.3508576,45.97066313,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,2094.20291784,784403.56750272,8.5877966227573,corgum,2,140611,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466
