sample,d13C,soil_P,soil_S,soil_N,soil_C,Narea_mean,Narea_SE,Narea_CV,Latitude,Longitude,leaf_age,mg_Cl_a_per_m2,mg_Cl_b_per_m2,mg_Cl_total_per_m2,umol_Cl_a_per_m2,umol_Cl_b_per_m2,umol_Cl_total_per_m2,irradiance,gap,P,S.x,Unit,N,C,H,S.y,photo_max,Cond,Ci,Tleaf,LMA_g_per_m2,LWC_percent,species,site_revised,tavg,dnrg,isot,tsea,tmax,tmin,trng,twet,tdry,twrm,tcld,prec,pwmt,pdmt,psea,pwet,pdry,pwrm,pcld,soilN,soilP,soilC,alpha,site_id.x,tavg_recent_year,tmax_recent_year,prec_recent_year,VPD_recent_year,site_id.y,tavg_recent_month,tmax_recent_month,prec_recent_month,VPD_recent_month,N_per_area,P_per_area,leaf_rad,species_confirmed,biological_rep,date,gap_mean,gap_SE,leafrad_mean,leafrad_SE,LMA_mean,LMA_SE
KG078,-27.02,110.805,244.483,0.12279,4.9305,2316.99868860019,91.5370497416409,0.11852020054048,-33.69,151.15,mid,488.1823182,108.9435396,597.1258578,546.0652328,121.8607826,667.9260154,16.69332314,58.91225,180.302,390.064,ppm,0.8056,53.231,6.324,0.042,28.45559555,0.154969027,1401.016386,24.31237411,266.319416,51.47066081,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,2145.469215296,480179.23343632,9.83441226154465,corgum,2,140611,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466
KG079,-27.02,110.805,244.483,0.12279,4.9305,2316.99868860019,91.5370497416409,0.11852020054048,-33.69,151.15,new,748.5008996,149.3159629,897.8168625,837.2493284,167.0200927,1004.269421,16.69332314,66.38,307.215,329.748,ppm,0.8951,53.266,6.402,0.04,34.05460812,0.188742639,1385.474682,25.65857124,272.0656656,51.02663773,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,2435.2597727856,835826.53457304,11.081027900332,corgum,2,140611,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466
KG081,-27.17,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,old,534.3158152,105.207571,639.5233863,597.6686971,117.6818468,715.3505439,16.69332314,68.7115,351.36,464.145,ppm,1.031,54.6752,6.647,0.051,NA,NA,NA,NA,352.8785326,48.38692223,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3638.177671106,1239874.01214336,11.4702327293411,euchae,3,140611,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG082,-27.17,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,mid,745.673212,142.691452,888.364664,834.0863669,159.6101253,993.6964921,16.69332314,78.68575,265.582,393.905,ppm,1.1368,55.0697,6.747,0.049,NA,NA,NA,NA,338.8457262,47.71232877,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3851.9982154416,899913.256556484,13.1352665126325,euchae,3,140611,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG083,-27.17,111.418,170.871,0.06638,2.3125,3389.29642401064,84.842465884445,0.0750974142745963,-33.69,151.15,new,986.2757174,184.7682654,1171.043983,1103.216686,206.6759121,1309.892598,16.69332314,88.66,300.615,466.756,ppm,1.0662,55.775,6.887,0.043,NA,NA,NA,NA,324.0813252,48.39296304,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,69,20.34308106,25.34697297,369.4000002,-7.514353504,69,16.24749993,22.06066659,12.80000011,-5.480267331,3455.3550892824,974237.07574998,14.800300295924,euchae,3,140611,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682
KG101,-28.6,45.977,116.258,0.07851,3.0272,2100.18709707569,189.35265165203,0.270479689998599,-33.68,151.15,old,1308.432702,281.0033235,1589.436025,1463.571255,314.321391,1777.892646,16.70306015,39.7265,168.372,484.546,ppm,0.8047,55.0235,6.729,0.033,18.42980505,0.085322532,1364.892792,25.91493988,275.9520807,39.36096479,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,70,20.03353091,25.01144329,408.4000014,-7.331311688,70,15.77933327,21.27399991,44.40000125,-4.945166169,2220.5863933929,464626.037316204,6.63554119048975,angcos,1,140612,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034
KG102,-28.6,45.977,116.258,0.07851,3.0272,2100.18709707569,189.35265165203,0.270479689998599,-33.68,151.15,mid,1014.603217,211.7349158,1226.338133,1134.902928,236.8399506,1371.742878,16.70306015,45.49325,124.78,511.199,ppm,0.8071,55.5945,6.776,0.042,18.23689367,0.131440181,1486.572343,25.63697052,244.0806276,38.88363292,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,70,20.03353091,25.01144329,408.4000014,-7.331311688,70,15.77933327,21.27399991,44.40000125,-4.945166169,1969.9747453596,304563.80711928,7.59876491168987,angcos,1,140612,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034
KG103,-28.6,45.977,116.258,0.07851,3.0272,2100.18709707569,189.35265165203,0.270479689998599,-33.68,151.15,new,744.4620028,133.3582061,877.8202088,832.7315467,149.1702529,981.9017996,16.70306015,51.26,413.555,147.036,ppm,0.8411,55.3361,6.67,0.054,32.89832921,0.171919,1369.866187,24.97821999,248.8120099,44.57314029,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,70,20.03353091,25.01144329,408.4000014,-7.331311688,70,15.77933327,21.27399991,44.40000125,-4.945166169,2092.7578152689,1028974.50754194,8.56198863289,angcos,1,140612,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034
KG105,-27.09,88.006,142.572,0.06479,3.65,2810.73013235079,112.380831726404,0.119948369037208,-33.68,151.14,old,711.4237254,142.8969091,854.3206345,795.7759792,159.8399431,955.6159222,16.69971657,35.20825,248.265,312.197,ppm,0.8726,52.7868,6.404,0.049,25.78850979,0.185085765,1502.455745,25.16689301,296.5921164,48.25619085,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,68,19.83337498,24.82019999,415.9000016,-7.242873419,68,15.18449997,20.33166663,50.70000141,-4.688210493,2588.0628077064,736334.41778046,5.87967795925702,eucobl,1,140612,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615
KG106,-27.09,88.006,142.572,0.06479,3.65,2810.73013235079,112.380831726404,0.119948369037208,-33.68,151.14,mid,470.7936201,92.58842433,563.3820444,526.6147875,103.5664702,630.1812577,16.69971657,40.319125,161,264.598,ppm,0.9864,54.9876,6.662,0.041,27.55062771,0.169168826,1469.311119,24.37971687,313.8003531,51.98909339,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,68,19.83337498,24.82019999,415.9000016,-7.242873419,68,15.18449997,20.33166663,50.70000141,-4.688210493,3095.3266829784,505218.568491,6.73317959850401,eucobl,1,140612,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615
KG107,-27.09,88.006,142.572,0.06479,3.65,2810.73013235079,112.380831726404,0.119948369037208,-33.68,151.14,new,497.5496229,101.8943453,599.4439683,556.5432024,113.9757778,670.5189802,16.69971657,45.43,330.953,101.598,ppm,1.022,55.1183,6.592,0.041,28.40275189,0.255525084,1552.262741,24.29837227,320.3601865,51.257587,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,68,19.83337498,24.82019999,415.9000016,-7.242873419,68,15.18449997,20.33166663,50.70000141,-4.688210493,3274.08110603,1060241.64802734,7.586681237751,eucobl,1,140612,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615
KG117,-27.05,88.006,142.572,0.06479,3.65,2810.73013235079,112.380831726404,0.119948369037208,-33.68,151.14,old,496.6428312,102.7248659,599.367697,555.5288939,114.9047717,670.4336656,16.69971657,42.067,219.433,358.887,ppm,0.6587,52.7627,6.279,0.056,20.4894351,0.100682335,1393.853868,24.58259201,348.5031578,45.32139749,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,68,19.83337498,24.82019999,415.9000016,-7.242873419,68,15.18449997,20.33166663,50.70000141,-4.688210493,2295.5903004286,764730.934255274,7.0250697695019,eucobl,2,140613,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615
KG118,-27.05,88.006,142.572,0.06479,3.65,2810.73013235079,112.380831726404,0.119948369037208,-33.68,151.14,mid,735.6259685,139.8553038,875.4812724,822.8478395,156.4377,979.2855396,16.69971657,48.1735,279.406,460.935,ppm,1.0184,54.4334,6.524,0.056,17.73617978,0.128092498,1503.573513,25.16717148,296.2141251,52.07790634,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,68,19.83337498,24.82019999,415.9000016,-7.242873419,68,15.18449997,20.33166663,50.70000141,-4.688210493,3016.6446500184,827640.038376906,8.04483796184895,eucobl,2,140613,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615
KG119,-27.05,88.006,142.572,0.06479,3.65,2810.73013235079,112.380831726404,0.119948369037208,-33.68,151.14,new,558.7011306,110.3852927,669.0864234,624.9453363,123.4734818,748.4188181,16.69971657,54.28,402.509,268.921,ppm,0.9755,54.8611,6.644,0.036,18.87185828,0.12669439,1472.898719,25.08373642,305.2526494,51.14515281,eucobl,NSW_Kuringai_bottom,17.18439293,10.19765377,48.42212296,398.5711975,27.0743618,6.014455795,21.05990601,21.64278984,12.90676785,21.92316055,11.98523426,1155.805786,136.9642944,59.52244568,27.61229515,391.0604858,192.1668854,334.6251221,224.0186768,0.234274477,0.025849449,4.011807442,1.00612154525194,68,19.83337498,24.82019999,415.9000016,-7.242873419,68,15.18449997,20.33166663,50.70000141,-4.688210493,2977.739594897,1228669.38657345,9.064606154196,eucobl,2,140613,42.9313333333333,2.05033446977171,7.1694109863886,0.342400045188887,308.613746188889,6.98648651476615
KG121,-28.08,45.977,116.258,0.07851,3.0272,2100.18709707569,189.35265165203,0.270479689998599,-33.68,151.15,old,923.8759966,209.8298282,1133.705825,1033.418341,234.7089801,1268.127321,16.70306015,54.095,284.891,570.368,ppm,0.8135,54.4178,6.736,0.039,17.920952,0.226982412,1599.290986,24.44343376,252.863152,42.43897663,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,70,20.03353091,25.01144329,408.4000014,-7.331311688,70,15.77933327,21.27399991,44.40000125,-4.945166169,2057.04174152,720384.36236432,9.0355203881425,angcos,2,140613,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034
KG122,-28.08,45.977,116.258,0.07851,3.0272,2100.18709707569,189.35265165203,0.270479689998599,-33.68,151.15,mid,1816.146183,410.6592401,2226.805423,2031.483426,459.3503805,2490.833806,16.70306015,61.9475,141.956,639.18,ppm,0.8684,54.8706,6.717,0.056,30.8738131,0.190912508,1438.346377,25.34651566,226.2476911,43.87620064,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,70,20.03353091,25.01144329,408.4000014,-7.331311688,70,15.77933327,21.27399991,44.40000125,-4.945166169,1964.7349495124,321172.172377916,10.3471281864212,angcos,2,140613,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034
KG123,-28.08,45.977,116.258,0.07851,3.0272,2100.18709707569,189.35265165203,0.270479689998599,-33.68,151.15,new,704.5272383,160.412839,864.9400772,788.0617878,179.4327058,967.4944936,16.70306015,69.8,324.473,0,ppm,0.7827,54.9401,6.817,0.039,27.18424969,0.33900067,1577.425437,25.1801281,210.6623968,49.36969638,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,70,20.03353091,25.01144329,408.4000014,-7.331311688,70,15.77933327,21.27399991,44.40000125,-4.945166169,1648.8545797536,683542.598768864,11.6587359847,angcos,2,140613,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034
KG133,-27.53,45.977,116.258,0.07851,3.0272,2100.18709707569,189.35265165203,0.270479689998599,-33.68,151.15,old,1860.089706,412.6511641,2272.74087,2080.637255,461.5784833,2542.215738,16.70306015,48.33675,140.138,370.637,ppm,0.7813,54.5127,6.639,0.051,11.45792118,0.083728805,1510.297974,25.33573341,161.8252605,39.8833611,angcos,NSW_Kuringai_bottom,17.05942154,10.00648594,48.19248962,394.8375244,26.83377838,6.07019949,20.76357841,21.4799633,12.82155418,21.75277901,11.90895557,1158.679688,136.4629364,59.87929535,27.31289673,389.9318237,193.8609619,333.6639404,226.3395844,0.22335963,0.027452013,4.539705276,1.00205679076357,70,20.03353091,25.01144329,408.4000014,-7.331311688,70,15.77933327,21.27399991,44.40000125,-4.945166169,1264.3407602865,226778.68355949,8.07371642705512,angcos,3,140617,54.2647083333333,3.11748489482218,9.06386687313873,0.520715377149313,243.194712788889,14.7959795363034
