species,source,variable,mean,CV
euccam,asp,ATP_synthase_chloroplastic,0.0732091204151452,0.149682492832328
euccam,asp,PSI,0.0663022814543562,0.104220317215729
euccam,asp,PSII,0.153528609651769,0.130153880612938
euccam,asp,Rubisco,0.18589725254744,0.133148172111145
euccam,D14,ATP_synthase_chloroplastic,0.075137023062539,0.171037216816354
euccam,D14,PSI,0.0386095584015152,0.154783208311165
euccam,D14,PSII,0.142352649624872,0.231298594434632
euccam,D14,Rubisco,0.10387202650424,0.265508275879129
eucter,asp,ATP_synthase_chloroplastic,0.0575253146126448,0.132885478824461
eucter,asp,PSI,0.0637976426884812,0.0914951232493589
eucter,asp,PSII,0.139856348808665,0.0995879972974773
eucter,asp,Rubisco,0.19381391923318,0.0732217293352238
eucter,D14,ATP_synthase_chloroplastic,0.073918634570645,0.168795335532353
eucter,D14,PSI,0.0444728201475726,0.199631347591914
eucter,D14,PSII,0.159345507017513,0.188550376674264
eucter,D14,Rubisco,0.121970456032246,0.202005548666738
