n,total_protein,photorespiration,calvin_cycle,Rubisco,Photosystems,ATP_synthase_chloroplastic,protein,stress,other
75,0.679068494859695,0.0501628341307641,0.184250797579916,0.234130500328927,0.274087862855735,0.0930652604744542,0.0122930486196778,0.0112184903373721,0.140791205673154
100,0.724005785303308,0.0519381772829594,0.179965718409429,0.219598585655646,0.262376078847304,0.0872889245320569,0.0186482535871024,0.017946493703938,0.162237767981565
200,0.82355759077384,0.0479580087148539,0.163361560233824,0.194923855138019,0.235371663940231,0.0824640588492236,0.0322221486960848,0.0220654466930536,0.221633257734711
500,0.916769336170231,0.0434423610046689,0.147443530050962,0.175724118282451,0.214578654846815,0.0744524534371881,0.0438636187654232,0.0241418364200873,0.276353427192405
1000,0.969267819729953,0.0412597599298516,0.13980216641555,0.166206367309074,0.203973071605019,0.070548609730985,0.0547673915840793,0.0250648793218921,0.29837775410355
2000,0.9976642480931,0.040250941585719,0.135965021784185,0.161475650325066,0.198345361805729,0.0685405909549542,0.0607309029617708,0.0255995909904919,0.309091939592083
1,0.0843215865326548,0,0,1,0,0,0,0,0
5,0.235606350492509,0,0.149162721678778,0.733503991377043,0,0.117333286944179,0,0,3.33066907387547e-16
10,0.338839846052298,0,0.217154619299066,0.510029149444721,0.125239202406392,0.147577028849817,0,0,3.44169137633799e-15
25,0.501068791538831,0.0318274110965054,0.222912634100497,0.344899146381263,0.269329875394421,0.0997966318811381,0,0,0.0312343011461755
50,0.623029426857595,0.0434045029880687,0.203188152038641,0.283095144884373,0.283345442272331,0.0872900902208838,0.00733196655766467,0.00678166703772068,0.085563034000317
75,0.692117411126375,0.0466290637665384,0.190920405376227,0.25483625036457,0.267135554202404,0.0824255762588959,0.0175557509548201,0.0192717160779783,0.121225682998566
100,0.73534952733351,0.046543277943043,0.184882832234474,0.239854109246588,0.255935704989545,0.0796277111752312,0.0238766092919971,0.0181387078444445,0.151141047274677
200,0.824371677467437,0.0449592232115062,0.169310740220279,0.215566684840474,0.235939257569689,0.0735939259703299,0.0339441877675722,0.0206504232520143,0.206035557168135
500,0.914760937273398,0.0410541510075544,0.153486464180013,0.195071349141931,0.214407270956713,0.0665680816856127,0.0475259684053596,0.0229684148193884,0.258918299803429
1000,0.967064765608312,0.0389000533513383,0.145791356180574,0.184520888902423,0.203317776551107,0.063067260266152,0.0592410246927069,0.0234532232268977,0.281708416828801
2000,0.997092301900684,0.0377957748529295,0.141456863234885,0.178964023527315,0.197460947505315,0.0611679832956123,0.0647753351709635,0.0239459765135024,0.294433095899477
1,0.11176040665279,0,0,1,0,0,0,0,0
5,0.287686665400322,0,0.129985947294912,0.711317349322382,0.0793736909995229,0.0793230123831825,0,0,0
10,0.389881584703966,0,0.203538115828665,0.524868381314627,0.112991209531108,0.11630148494599,0,0,0.0423008083796106
25,0.545057321000488,0.0310010559957888,0.214058118671969,0.375440358992571,0.252918091137736,0.0831908966398903,0,0,0.0433914785620454
50,0.671073068367973,0.0433990761499116,0.194385076816165,0.313630922682146,0.28372494711563,0.0728345176214,0.00634300748005511,0,0.0856824521346922
75,0.739629726792165,0.0458507101423368,0.183382790828592,0.284560311728152,0.264675629242835,0.0698246881454752,0.00929607590981214,0.0112676803827052,0.131142113620092
100,0.778152120405948,0.0472952646740527,0.176488648958969,0.270473163408703,0.259446387641463,0.066368019391175,0.0145275575011708,0.0191048030839034,0.146296155340564
200,0.861314819962094,0.0450280075639317,0.165050223876879,0.246379238944685,0.237577937087241,0.063184593189697,0.0239395548311255,0.0193974386182722,0.199443005888169
500,0.935798790847432,0.0418760219987826,0.153060005350434,0.227554914199325,0.220647549485787,0.0583605046507063,0.0360861217770979,0.0210722160383126,0.241342666499554
1000,0.975288629015288,0.0402423645395187,0.147174262503428,0.218341122026741,0.212332985638525,0.0559974637872261,0.0448119791791839,0.0211886199709942,0.259911202354383
2000,0.997557101708771,0.0394130349844422,0.143974853045087,0.213467091953286,0.207761869555086,0.0547884324777008,0.0493313518693936,0.0217253028668191,0.269538063248184
1,0.113546834691849,0,0,1,0,0,0,0,0
5,0.29393601254183,0,0.0911877438254496,0.824366957618541,0,0.0844452985560121,0,0,-2.88657986402541e-15
10,0.396135581350171,0,0.162226024723926,0.611687381294433,0.0499458101557972,0.118694178005042,0,0,0.0574466058208015
25,0.556778174067895,0.0149861596508963,0.188429209285617,0.435202290031013,0.199040312909386,0.0844483304066699,0,0,0.077893697716418
50,0.675960247986561,0.0393080344629684,0.169247365958395,0.363687930336354,0.242308727759808,0.0748831103012046,0.0104631753887678,0.0113230993027217,0.0887785564897801
75,0.740488263696615,0.0420217776212999,0.167166386800302,0.331995246423788,0.235398071349652,0.071983971631132,0.00955138788454331,0.0190337617925834,0.1228493964967
100,0.779487406204591,0.0420825520065196,0.161006073879696,0.315384933256196,0.229793066898754,0.0683824853908325,0.0176249153153603,0.0200813483445933,0.145644624908048
200,0.860227810981852,0.0417834497190403,0.150406682537906,0.286967611404864,0.211197884533586,0.0649282654814083,0.0250164576897561,0.0218536147457832,0.197846033887657
500,0.932184952270317,0.0389926202767537,0.139381699902091,0.265130618848115,0.197379393322592,0.0599163283529639,0.0373855432905689,0.0233857378351722,0.238428058171744
1000,0.972875072676649,0.0374112443573997,0.134017783879021,0.254041634139468,0.189871450059819,0.0574641393844276,0.0468819295645066,0.0234337980663156,0.256878020549043
2000,0.99731116593005,0.0365565645526067,0.130784502727295,0.24781711237119,0.185379953571382,0.0560561544779167,0.0514670274206705,0.0239315152374129,0.268007169641527
1,0.076101633144552,0,0,1,0,0,0,0,0
5,0.192324430909549,0,0.150514611559699,0.638320155852366,0.0993345741218405,0.111830658466094,0,0,3.33066907387547e-16
10,0.284826097041864,0,0.229352136970872,0.498083559250928,0.133214569696507,0.139349734081693,0,0,2.22044604925031e-16
25,0.46400830402147,0.0213457105672261,0.274098008298922,0.305742795878062,0.285825204183958,0.0855382124378396,0,0,0.0274500686339927
50,0.595982816494031,0.0444684729806912,0.230012666130983,0.238039071355647,0.316595766053236,0.0665966195397979,0.0172167875508715,0.00687182882509045,0.0801987875636834
75,0.6701495801762,0.0431001387346158,0.214754080503386,0.211694822139352,0.294037114529958,0.0640392078735868,0.0153113720266002,0.0154012178511262,0.141662046341375
100,0.718682737049446,0.0488063122394298,0.203273853147094,0.197398920091776,0.28049654382674,0.0597145945754754,0.0199325258674095,0.0192798406593882,0.171097409592687
200,0.819632566474725,0.0452626198926148,0.184243112627936,0.176662021462783,0.250403238672266,0.0559989482246291,0.0353433562400855,0.0231606876892212,0.228926015190466
500,0.919158120315987,0.0414685309253895,0.165744802998977,0.157786206287571,0.225456302684939,0.0508828926334964,0.0455233580509326,0.0257542970654411,0.287383609353254
1000,0.970808832351186,0.0392622477953085,0.157326975629056,0.149391381650111,0.21427508653852,0.0482498612189695,0.0560476994726337,0.0270389540001732,0.308407793695229
2000,0.997866250259249,0.0383444075048175,0.153181441872817,0.145340593236213,0.208728747040358,0.0469415529575481,0.0618032346551084,0.0274488816063378,0.318211141126801
1,0.0780825540194412,0,0,1,0,0,0,0,0
5,0.216756659890952,0,0.127600648632392,0.783835514239183,0.0885638371284261,0,0,0,-6.66133814775094e-16
10,0.300263056782192,0,0.200608258968412,0.565842397633475,0.119416756021526,0.114132587376587,0,0,2.22044604925031e-16
25,0.457108761021574,0.0352128643186383,0.251638261615295,0.371687402338746,0.243937898495102,0.0749707782619752,0,0,0.0225527949702425
50,0.577334936638506,0.0358306052098311,0.212924541061487,0.294285963291313,0.287193734018585,0.059358610382542,0.0154908434766499,0.00656644796433607,0.0883492545952554
75,0.64911391167966,0.04004105981551,0.199818566937051,0.261743840200175,0.274452993396425,0.0567878214506718,0.0137778669909054,0.015556121857351,0.137821729351911
100,0.693578736774097,0.0458961872060989,0.191873743812626,0.244963634209175,0.262676850428324,0.0531471957878343,0.0227072880125442,0.0191198619126285,0.159615238630768
200,0.788793810405529,0.0427254540546656,0.172710488716395,0.219333524799343,0.235812949936251,0.0511341716479714,0.0330232875223005,0.0240607244848188,0.221199398838255
500,0.891083252749171,0.0387736977791045,0.154370501014298,0.194155738245986,0.210788653540676,0.045264365559216,0.047629252432891,0.0261799587261672,0.282837832701662
1000,0.956286191810265,0.0363196469309017,0.144198630720128,0.181055798879722,0.197188643352903,0.0425251663416226,0.0608769852747883,0.0275591213903597,0.310276007109575
2000,0.99651289127768,0.0350669810612644,0.138533729759564,0.17374703521784,0.189646015269919,0.0408085331688866,0.0686236270901108,0.0282006490411214,0.325373429391294
1,0.0943924209425361,0,0,1,0,0,0,0,0
5,0.215724698031633,0,0.205387743715913,0.689004128683339,0,0.105608127600747,0,0,8.88178419700125e-16
10,0.298347334103473,0,0.247947260930329,0.498195192691789,0.11610744990449,0.137750096473391,0,0,1.11022302462516e-16
25,0.452622984136803,0.0460162520005685,0.267753912715287,0.328386345395658,0.206020397167857,0.0907982482014458,0,0,0.0610248445191832
50,0.578739093234573,0.052923772822261,0.24256617645834,0.256825933033207,0.250466494531744,0.0710119197679204,0.0169975117497082,0.00713988032994544,0.102068311306874
75,0.653382086004008,0.0629169419812219,0.218893266037362,0.227485893455992,0.244920004659614,0.0682544748811674,0.0221505123534483,0.0166907847615653,0.13868812186963
100,0.700888624993597,0.0586524040064988,0.209297457967889,0.217198529535064,0.234246841418492,0.0636281565810442,0.0287522284764681,0.0180144759647975,0.170209906049746
200,0.801503858168659,0.0539635175595041,0.18738006714218,0.189932933154301,0.211865327749121,0.0608761638122162,0.0394354966816807,0.0240025769896528,0.232543916911345
500,0.904337005172843,0.0486570675221173,0.167025025666457,0.169006640568725,0.190118306192736,0.0542085656599664,0.0530264759247988,0.0260449299775257,0.291912988487673
1000,0.963456418387923,0.0458272303809539,0.157101698906849,0.158636090091109,0.179192723542653,0.0509608425535623,0.0658614538956041,0.0267416899116912,0.315678270717578
2000,0.997223881659667,0.0444704720872057,0.151958103941623,0.153264439407403,0.173462474086076,0.0492352336798953,0.0719926509284051,0.0275550829974497,0.328061542871942
1,0.0878793121833195,0,0,1,0,0,0,0,0
5,0.231947088077728,0,0,0.803649868883337,0,0.196350131116663,0,0,-4.44089209850063e-16
10,0.334544587678647,0,0.132833623729761,0.557188051419297,0.111900541841074,0.136133845333457,0,0,0.061943937676411
25,0.496264023908913,0.0396994681407825,0.19988942073639,0.375615071697705,0.220724401465617,0.0917713937783837,0,0,0.072300244181122
50,0.620919820924424,0.0486528975227993,0.185437330082017,0.306766835883396,0.239402773219262,0.0798054868100971,0.00643627830984751,0,0.13349839817258
75,0.692098361158167,0.0527283533177471,0.174884791325313,0.275217540587039,0.240270240022317,0.0755429548298727,0.00973823286940904,0.0199161591634251,0.151701727884878
100,0.736604844224115,0.0543424327022335,0.167180306809914,0.261085480461211,0.225752845176688,0.0709785655698091,0.0160683416043962,0.0209994200766726,0.183592607599076
200,0.832223815703663,0.0504662710830791,0.154235278712854,0.23108787087726,0.207455213010937,0.0662271301555037,0.0266657174628771,0.0255241178294716,0.238338400868018
500,0.920680833082004,0.0459432514670233,0.140473055420744,0.209566397043426,0.190555230449749,0.0601576326529322,0.038355886680816,0.0259271644100913,0.289021381875218
1000,0.969355062642605,0.0438518630331286,0.133884990352905,0.199043438727128,0.181547529121447,0.0572484862258257,0.049164075772009,0.027181292086739,0.308078324680818
2000,0.997158309397225,0.0427084002483086,0.13021609089913,0.193493614000537,0.176770090009374,0.0556522564457948,0.0545721394740268,0.0274558605418851,0.319131548380943
1,0.0935045643514013,0,0,1,0,0,0,0,0
5,0.24513895768068,0,0.115498125847333,0.792734901350946,0,0.0917669728017245,0,0,-3.77475828372553e-15
10,0.339975570621836,0,0.242188655236451,0.571600503762157,0,0.132146919677408,0,0,0.0540639213239851
25,0.483363518393637,0.0383883314545734,0.211544525783399,0.402037390161521,0.188152228610925,0.0929460389823164,0,0,0.0669314850072649
50,0.596203194044872,0.0484474654683022,0.202100300768548,0.333549329958413,0.215472110588635,0.0753547194513406,0.00612901314511247,0.0114962223557612,0.107450838263887
75,0.65769406281304,0.0536949170524633,0.186642727638758,0.302364255870229,0.210828208281835,0.0771763851959629,0.0101547698381186,0.0215081338638261,0.137630602258807
100,0.699211933110181,0.052692862021097,0.178131941076333,0.28660581766707,0.202959595853252,0.0725937987170458,0.0142468930224073,0.0202310219184967,0.172538069724298
200,0.795706413032594,0.0490541835344738,0.163208499763133,0.251849431560893,0.184859114844988,0.0675643207297712,0.0286352200635478,0.0250996376217717,0.229729591881421
500,0.89381400796916,0.0439357608490055,0.146528099517773,0.224677889935188,0.16758859471012,0.0604831096937745,0.0425414421049998,0.027469613621353,0.286775489567786
1000,0.956355497406571,0.0413342563394677,0.137305225553726,0.210129634624964,0.157414927047574,0.0566882025983906,0.0572060680560029,0.027893568268853,0.312028117511022
2000,0.995749857621215,0.0397990210187327,0.132037248715261,0.201816379589244,0.151596560881418,0.054445475214611,0.0647879036946214,0.0282801297287837,0.327237281157328
1,0.0986918030602115,0,0,1,0,0,0,0,0
5,0.253792605341773,0,0.124407753671794,0.780370494999634,0,0.0952217513285716,0,0,-2.22044604925031e-16
10,0.354939335968617,0,0.203015476354376,0.557989044852773,0.0471719793135272,0.135125617715284,0,0,0.0566978817640402
25,0.505608945664634,0.0375817193554623,0.23578095988334,0.391710357888273,0.186095825136984,0.0948586796880457,0,0,0.0539724580478946
50,0.62491333857483,0.0472891399403804,0.211109014022339,0.326228026433965,0.215331982705118,0.0832494634041911,0.00617747588348234,0.0058423916131378,0.104772505997386
75,0.688453301416487,0.0498918125297356,0.198263452713347,0.296119206220782,0.211985859849708,0.079081179992457,0.0130519759736594,0.0156303409012991,0.135976171819011
100,0.730003525715074,0.0513991519959623,0.186978725119213,0.281901922281877,0.204786325979574,0.0745800499968656,0.0168326461363302,0.0195280742658008,0.163993104224376
200,0.822416964172043,0.0481196034812004,0.172234026472375,0.251058597572283,0.188428460946178,0.0697161405149334,0.028598185110712,0.0234207468210615,0.218424239081256
500,0.911406725556903,0.0439527201534424,0.156703641578684,0.226893142185264,0.173162837030622,0.0633605316150031,0.0408922456092134,0.0249790247768519,0.27005585705092
1000,0.964308842533799,0.0416219179049314,0.148479911006519,0.214445752905289,0.164351752325368,0.059998996619576,0.0518938490012428,0.025628451134547,0.293579369102528
2000,0.996701973172227,0.040349590958886,0.143779846292335,0.207476197836979,0.159378069181065,0.0580490101762998,0.0582141613418857,0.0261435504660195,0.30660957374653
1,0.0785443621899697,0,0,1,0,0,0,0,0
5,0.20973436183895,0,0,0.747221268594046,0.116875734439158,0.135902996966796,0,0,5.55111512312578e-16
10,0.31087623686828,0,0,0.576838631647081,0.268337178839537,0.154824189513382,0,0,-4.44089209850063e-16
25,0.496147027313141,0,0.126836344863725,0.361436052651208,0.378075338820993,0.0970098756264922,0,0,0.0366423880375815
50,0.634207431620633,0.0162092708446661,0.138390156937033,0.282755158873573,0.408060729777685,0.0758918281501508,0,0,0.0786928554168925
75,0.695966958780652,0.0226645326587224,0.132619885695934,0.257663702025272,0.375370907157493,0.0735310217587751,0.00719543122538213,0.00597942353990367,0.124975095938518
100,0.735523079697637,0.0277081194596233,0.130447169348942,0.245983257072065,0.355183618135449,0.0717739760793916,0.00900161271119373,0.00804093511523358,0.151861312078101
200,0.821271790251678,0.028661063749099,0.122283389909061,0.221481486078801,0.324104656794386,0.0678235990924292,0.0219163867808337,0.0128098483425133,0.200919569252876
500,0.911058057720109,0.0262576933413407,0.111106082782747,0.199654121971907,0.294123794156569,0.0615545946419627,0.0317373550267857,0.0171973915382576,0.258368966540431
1000,0.964334926235699,0.0249808995312823,0.105392710493009,0.1887896437624,0.278583984665159,0.0581538715570158,0.0419894954223534,0.0185202789493661,0.283589115619414
2000,0.996907284783703,0.0243118428259249,0.102092475579809,0.182621242687757,0.269858498258786,0.0562537863793649,0.0491695024267092,0.0194674614147694,0.296225190426879
1,0.108413046479646,0,0,1,0,0,0,0,0
5,0.271910954222535,0,0,0.826629302441033,0.173370697558967,0,0,0,-4.44089209850063e-16
10,0.379390143424308,0,0,0.645639541240768,0.179818298864991,0.115935750933062,0,0,0.0586064089611789
25,0.562625363343959,0.0167972886335921,0.164838522566369,0.435368353633909,0.265298377159104,0.0781779209402777,0,0,0.0395195370667483
50,0.703052616365812,0.0134422095881239,0.140711261719448,0.348408173797745,0.325212561828569,0.0625627160053307,0,0,0.109663077060783
75,0.769477657678566,0.0286217569209469,0.142300662094926,0.318331891390746,0.306927134459207,0.0609865274975197,0.00627687479144152,0.00265325847952416,0.133901894365688
100,0.808849301966433,0.0307670877392992,0.137253990987247,0.304540038482279,0.297851828183698,0.0597060018995105,0.00998860319767465,0.00677497945239838,0.153117470057893
200,0.883543423811242,0.032110333881426,0.130137209143268,0.280636946076465,0.27611588821882,0.0570358345432086,0.0195805361813476,0.0110055066903338,0.193377745265131
500,0.94802098670097,0.030321775638539,0.121945855003134,0.2615500412572,0.258279672010596,0.0534264661392253,0.0279508193001136,0.0139211142992944,0.232604256351898
1000,0.979646481680469,0.0293429111387848,0.118300412868876,0.253106536716176,0.250305579410026,0.0517484268633081,0.0348312021997565,0.0148866888322134,0.247478241970859
2000,0.998137184774282,0.028873784753917,0.116200044714667,0.248417684429223,0.245870321086112,0.0507897762776998,0.0389041777665531,0.0154628447013505,0.255481366270478
1,0.131631966197683,0,0,1,0,0,0,0,0
5,0.316085929679179,0,0.100890573889935,0.821300143659611,0,0,0,0,0.0778092824504544
10,0.410827890265854,0,0.119797042968813,0.687178348716884,0.0381146387095298,0.0950444639666168,0,0,0.0598655056381563
25,0.576086594688074,0.0183064066142409,0.209565802552961,0.490051380891081,0.157958528998957,0.0677795959373025,0,0,0.0563382850054576
50,0.695944312909717,0.0370656206814834,0.183483993941869,0.405653190927583,0.220341943395242,0.0607412636894144,0.00552096947391771,0,0.0871930178904902
75,0.753592551135659,0.0401889072183868,0.180334647180668,0.37462157874874,0.216012594777716,0.0560946853308104,0.00893064588589002,0.0063416789496287,0.11747526190816
100,0.79093635532137,0.0423305714505149,0.173545666680559,0.358604895357145,0.207772577638031,0.0554736515121894,0.015945723021964,0.00985364293831024,0.136473271401287
200,0.869888235856011,0.0414518766900004,0.161581254188889,0.326966408562148,0.191138319279015,0.0537520904780681,0.0244490010365262,0.0163868178041999,0.184274231961153
500,0.940787813124001,0.0387741952512045,0.150337372993522,0.302325591765307,0.179634705946486,0.0497012296580168,0.03400091775734,0.0173183475850333,0.22790763904309
1000,0.977429074121666,0.0373206520266483,0.145098099094863,0.290992195606511,0.173450319422356,0.0479460673312644,0.041301564072296,0.0184347617609142,0.245456340685147
2000,0.998146598172147,0.0366317595379441,0.142109857846565,0.284952363559776,0.17006734666834,0.0469835154998616,0.0463076961376207,0.01901863737229,0.253928823377602
1,0.106030831490837,0,0,1,0,0,0,0,0
5,0.259823782564703,0,-1.11022302462516e-16,0.823338765024755,0.0833202937167219,0.0933409412585233,0,0,0
10,0.361379407063838,0,0.167988805662227,0.591962320152608,0.117857198389697,0.122191675795469,0,0,-4.44089209850063e-16
25,0.524815367745554,0.0310439487660707,0.199079679312451,0.407615716704011,0.241216054717523,0.0841392193540187,0,0,0.0369053811459255
50,0.642983441166709,0.0406284474745788,0.184712060842346,0.342895452366453,0.250425973649811,0.0747056009663352,0.0130386873489888,0.0115046660437074,0.0820891113077786
75,0.708932918322173,0.0441370567016435,0.17780448007831,0.310997122893936,0.240935228493434,0.0709755554038993,0.018466735866435,0.0178294861434815,0.11885433441886
100,0.75080542296896,0.0438805902458585,0.17231823801542,0.295671137498988,0.234109628825961,0.0670172405295794,0.0281741455418934,0.0168351336540701,0.14199388568823
