sample,d13C,soil_P,soil_S,soil_N,soil_C,Narea_mean,leaf_age,mg_Cl_a_per_m2,mg_Cl_b_per_m2,mg_Cl_total_per_m2,irradiance,gap,P,N,C,H,photo_max,Cond,Ci,LMA_g_per_m2,LWC_percent,site_revised,tavg,dnrg,isot,tsea,tmax,tmin,trng,twet,tdry,twrm,tcld,prec,pwmt,pdmt,psea,pwet,pdry,pwrm,pcld,alpha,tavg_recent_year,tmax_recent_year,prec_recent_year,VPD_recent_year,tavg_recent_month,tmax_recent_month,prec_recent_month,VPD_recent_month,N_per_area,P_per_area,leaf_rad,species_confirmed,biological_rep,date,gap_mean,leafrad_mean,LMA_mean
KG022,-28.36,111.418,170.871,0.06638,2.3125,3389.296424,old,598.3234669,107.3029954,705.6264623,16.69332314,67.92875,347.238,0.931,54.9345,6.555,24.50345179,0.241820757,1572.715625,341.8124596,49.89839556,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3182.273999,1186902.748,11.33956574,euchae,1,140603,78.93129167,13.17625558,335.7620028
KG023,-28.36,111.418,170.871,0.06638,2.3125,3389.296424,mid,791.500774,150.6641216,942.1648955,16.69332314,77.789375,191.899,0.973,56.4243,6.707,25.06170337,0.191175732,1521.95431,339.416026,49.41857824,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3302.517933,651335.9597,12.98563174,euchae,1,140603,78.93129167,13.17625558,335.7620028
KG024,-28.36,111.418,170.871,0.06638,2.3125,3389.296424,new,793.8001125,144.234683,938.0347955,16.69332314,87.65,308.653,0.9855,56.256,6.876,22.33737051,0.258935301,1593.844581,330.7773543,49.71425416,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3259.810827,1020954.227,14.63169773,euchae,1,140603,78.93129167,13.17625558,335.7620028
KG036,-29.17,110.805,244.483,0.12279,4.9305,2316.998689,old,544.2225953,109.537659,653.7602543,16.69332314,73.4235,294.505,0.7969,53.1239,6.364,22.43471827,0.176282903,1507.206459,258.7792695,44.31919092,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,2062.211999,762117.8876,12.25682212,corgum,1,140604,74.62395833,12.45894213,262.5582427
KG037,-29.17,110.805,244.483,0.12279,4.9305,2316.998689,mid,1284.619656,256.0843532,1540.70401,16.69332314,84.08175,182.361,0.9089,53.6846,6.331,26.94750735,0.221399344,1518.559016,255.1901209,46.83321605,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,2319.423009,465367.2564,14.03603823,corgum,1,140604,74.62395833,12.45894213,262.5582427
KG038,-29.17,110.805,244.483,0.12279,4.9305,2316.998689,new,901.5381771,188.9692085,1090.507386,16.69332314,94.74,305.216,0.809,53.9001,6.382,26.62461728,0.15257026,1441.662237,247.2023881,51.07406973,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,1999.86732,754501.2409,15.81525434,corgum,1,140604,74.62395833,12.45894213,262.5582427
KG049,-29.33,111.418,170.871,0.06638,2.3125,3389.296424,old,460.5899409,99.72134652,560.3112874,16.69332314,70.1375,363.964,0.9345,55.9136,6.899,17.46842628,0.320606041,1652.161626,330.0286578,46.28538417,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3084.117807,1201185.504,11.70827952,euchae,2,140604,78.93129167,13.17625558,335.7620028
KG050,-29.33,111.418,170.871,0.06638,2.3125,3389.296424,mid,1014.958593,214.3767078,1229.335301,16.69332314,80.31875,243.317,0.9029,55.4619,6.713,17.16627231,0.317774091,1651.370641,351.0122887,48.68812898,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3169.289955,854072.5705,13.40786848,euchae,2,140604,78.93129167,13.17625558,335.7620028
KG051,-29.33,111.418,170.871,0.06638,2.3125,3389.296424,new,470.5181321,108.0084708,578.5266029,16.69332314,90.5,345.22,1.1374,56.827,7.008,25.67937226,0.372417423,1617.907774,313.005655,50.29513328,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3560.12632,1080558.122,15.10745744,euchae,2,140604,78.93129167,13.17625558,335.7620028
KG077,-27.02,110.805,244.483,0.12279,4.9305,2316.998689,old,754.5694731,156.9376034,911.5070765,16.69332314,51.4445,291.22,0.7775,52.2608,6.278,23.03285074,0.099159477,1334.965035,269.3508576,45.97066313,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,2094.202918,784403.5675,8.587796623,corgum,2,140611,74.62395833,12.45894213,262.5582427
