species_confirmed,Latitude,Longitude,sample,leaf_age,biological_rep,site_revised,date,ID
acadea,-42.39,147.05,T259,new,3,TAS_Bothwell,150309,acadea_8
acadea,-42.39,147.05,T260,mid,3,TAS_Bothwell,150309,acadea_8
acadea,-42.39,147.05,T261,old,3,TAS_Bothwell,150309,acadea_8
acadea,-42.39,147.05,T255,old,1,TAS_Bothwell,150309,acadea_8
acadea,-42.91,147.25,T069,old,3,TAS_The_Springs,150302,acadea_7
acadea,-42.91,147.25,T065,mid,2,TAS_The_Springs,150302,acadea_7
acadea,-42.91,147.25,T067,new,3,TAS_The_Springs,150302,acadea_7
acadea,-42.91,147.25,T066,old,2,TAS_The_Springs,150302,acadea_7
acadea,-42.91,147.25,T068,mid,3,TAS_The_Springs,150302,acadea_7
acadea,-42.91,147.25,T061,new,1,TAS_The_Springs,150302,acadea_7
acadea,-42.91,147.25,T064,new,2,TAS_The_Springs,150302,acadea_7
acadea,-42.91,147.25,T063,old,1,TAS_The_Springs,150302,acadea_7
acadea,-42.91,147.25,T062,mid,1,TAS_The_Springs,150302,acadea_7
acadec,-42.85,147.43,T346,new,2,TAS_Mt_Canopus,150312,acadec_9
acadec,-42.85,147.43,T347,mid,2,TAS_Mt_Canopus,150312,acadec_9
acadec,-42.85,147.43,T350,mid,3,TAS_Mt_Canopus,150312,acadec_9
acadec,-42.85,147.43,T345,old,1,TAS_Mt_Canopus,150312,acadec_9
acadec,-42.85,147.43,T343,new,1,TAS_Mt_Canopus,150312,acadec_9
acadec,-42.85,147.43,T349,new,3,TAS_Mt_Canopus,150312,acadec_9
acadec,-42.85,147.43,T351,old,3,TAS_Mt_Canopus,150312,acadec_9
acadec,-42.85,147.43,T348,old,2,TAS_Mt_Canopus,150312,acadec_9
acadec,-42.85,147.43,T344,mid,1,TAS_Mt_Canopus,150312,acadec_9
acafal,-32.78,150.93,YG094,new,1,NSW_Yengo_N,140525,acafal_10
acafal,-32.78,150.93,YG092,old,1,NSW_Yengo_N,140525,acafal_10
acafal,-32.78,150.93,YG093,mid,1,NSW_Yengo_N,140525,acafal_10
acafal,-32.78,150.93,YG091,sen,1,NSW_Yengo_N,140525,acafal_10
acafal,-32.78,150.93,YG107,new,2,NSW_Yengo_N,140607,acafal_10
acafal,-32.78,150.93,YG109,old,2,NSW_Yengo_N,140607,acafal_10
acafal,-32.78,150.93,YG108,mid,2,NSW_Yengo_N,140607,acafal_10
acafal,-32.78,150.93,YG106,sen,2,NSW_Yengo_N,140607,acafal_10
acafal,-32.78,150.93,YG147,new,3,NSW_Yengo_N,140608,acafal_10
acafal,-32.78,150.93,YG146,mid,3,NSW_Yengo_N,140608,acafal_10
acafal,-32.78,150.93,YG143,old,3,NSW_Yengo_N,140608,acafal_10
acafal,-32.78,150.93,YG145,old,3,NSW_Yengo_N,140608,acafal_10
acafal,-32.78,150.93,YG142,sen,3,NSW_Yengo_N,140608,acafal_10
acafal,-32.78,150.93,YG144,sen,3,NSW_Yengo_N,140608,acafal_10
acafal,-32.78,150.93,YG161,mid,4,NSW_Yengo_N,140609,acafal_10
acafal,-32.78,150.93,YG160,old,4,NSW_Yengo_N,140609,acafal_10
acafal,-32.78,150.93,YG162,new,4,NSW_Yengo_N,140609,acafal_10
acafal,-32.78,150.93,YG159,sen,4,NSW_Yengo_N,140609,acafal_10
acafla,-18.44,146.14,QL126,new,3,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL119,mid,1,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL118,new,1,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL120,old,1,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL127,mid,3,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL124,old,2,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL123,mid,2,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL122,new,2,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL128,old,3,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL125,sen,2,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL121,sen,1,QLD_Cardwell_S,150809,acafla_11
acafla,-18.44,146.14,QL129,sen,3,QLD_Cardwell_S,150809,acafla_11
acagen,-43.04,147.95,T368,old,2,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T366,new,2,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T363,mid,1,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T362,new,1,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T371,old,3,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T370,mid,3,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T367,mid,2,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T369,new,3,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T364,old,1,TAS_Tasman_Peninsula,150312,acagen_12
acagen,-43.04,147.95,T365,sen,1,TAS_Tasman_Peninsula,150312,acagen_12
acahem,-19.05,138.86,QL428,old,3,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL419,mid,1,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL418,new,1,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL424,old,2,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL427,mid,3,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL420,old,1,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL422,new,2,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL426,new,3,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL423,mid,2,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL421,sen,1,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL429,sen,3,QLD_Lawn_Hill,150825,acahem_13
acahem,-19.05,138.86,QL425,sen,2,QLD_Lawn_Hill,150825,acahem_13
acahol,-18.32,145.47,QL265,mid,3,QLD_Princess_Hill,150818,acahol_14
acahol,-18.32,145.47,QL262,old,2,QLD_Princess_Hill,150818,acahol_14
acahol,-18.32,145.47,QL264,new,3,QLD_Princess_Hill,150818,acahol_14
acahol,-18.32,145.47,QL266,old,3,QLD_Princess_Hill,150818,acahol_14
acahol,-18.32,145.47,QL261,mid,2,QLD_Princess_Hill,150818,acahol_14
acahol,-18.32,145.47,QL260,new,2,QLD_Princess_Hill,150818,acahol_14
acahol,-18.32,145.47,QL267,sen,3,QLD_Princess_Hill,150818,acahol_14
acahol,-18.32,145.47,QL263,sen,2,QLD_Princess_Hill,150818,acahol_14
acahol,-18.33,145.45,QL256,new,1,QLD_Princess_Hill,150818,acahol_15
acahol,-18.33,145.45,QL258,old,1,QLD_Princess_Hill,150818,acahol_15
acahol,-18.33,145.45,QL257,mid,1,QLD_Princess_Hill,150818,acahol_15
acahol,-18.33,145.45,QL259,sen,1,QLD_Princess_Hill,150818,acahol_15
acaimp,-32.78,150.93,YG032,sen,1,NSW_Yengo_N,140420,acaimp_16
acaimp,-32.78,150.93,YG034,old,1,NSW_Yengo_N,140420,acaimp_16
acaimp,-32.78,150.93,YG033,mid,1,NSW_Yengo_N,140420,acaimp_16
acaimp,-32.78,150.93,YG035,new,1,NSW_Yengo_N,140420,acaimp_16
acaimp,-32.78,150.93,YG096,old,2,NSW_Yengo_N,140526,acaimp_16
acaimp,-32.78,150.93,YG097,mid,2,NSW_Yengo_N,140526,acaimp_16
acaimp,-32.78,150.93,YG098,new,2,NSW_Yengo_N,140526,acaimp_16
acaimp,-32.78,150.93,YG095,sen,2,NSW_Yengo_N,140526,acaimp_16
acaimp,-32.78,150.93,YG117,new,3,NSW_Yengo_N,140607,acaimp_16
acaimp,-32.78,150.93,YG115,old,3,NSW_Yengo_N,140607,acaimp_16
acaimp,-32.78,150.93,YG116,mid,3,NSW_Yengo_N,140607,acaimp_16
acaimp,-32.78,150.93,YG114,sen,3,NSW_Yengo_N,140607,acaimp_16
acaimp,-32.78,150.93,YG150,mid,4,NSW_Yengo_N,140608,acaimp_16
acaimp,-32.78,150.93,YG151,new,4,NSW_Yengo_N,140608,acaimp_16
acaimp,-32.78,150.93,YG149,old,4,NSW_Yengo_N,140608,acaimp_16
acaimp,-32.78,150.93,YG148,sen,4,NSW_Yengo_N,140608,acaimp_16
acaimp,-32.78,150.93,YG153,mid,5,NSW_Yengo_N,140609,acaimp_16
acaimp,-32.78,150.93,YG152,old,5,NSW_Yengo_N,140609,acaimp_16
acaimp,-32.78,150.93,YG154,new,5,NSW_Yengo_N,140609,acaimp_16
acajul,-18.23,145.54,QL216,old,3,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL211,new,2,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL214,new,3,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL208,new,1,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL212,mid,2,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL213,old,2,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL209,mid,1,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL215,mid,3,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL210,old,1,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL219,sen,3,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL217,sen,1,QLD_Blencoe_Falls,150815,acajul_17
acajul,-18.23,145.54,QL218,sen,2,QLD_Blencoe_Falls,150815,acajul_17
acalon,-33.69,151.15,KG032,new,1,NSW_Kuringai_top,140603,acalon_18
acalon,-33.69,151.15,KG031,mid,1,NSW_Kuringai_top,140603,acalon_18
acalon,-33.69,151.15,KG030,old,1,NSW_Kuringai_top,140603,acalon_18
acalon,-33.69,151.15,KG029,sen,1,NSW_Kuringai_top,140603,acalon_18
acalon,-33.69,151.15,KG043,new,2,NSW_Kuringai_top,140604,acalon_18
acalon,-33.69,151.15,KG042,mid,2,NSW_Kuringai_top,140604,acalon_18
acalon,-33.69,151.15,KG041,old,2,NSW_Kuringai_top,140604,acalon_18
acalon,-33.69,151.15,KG040,sen,2,NSW_Kuringai_top,140604,acalon_18
acalon,-33.69,151.15,KG090,mid,3,NSW_Kuringai_top,140611,acalon_18
acalon,-33.69,151.15,KG091,new,3,NSW_Kuringai_top,140611,acalon_18
acalon,-33.69,151.15,KG089,old,3,NSW_Kuringai_top,140611,acalon_18
acalon,-33.69,151.15,KG088,sen,3,NSW_Kuringai_top,140611,acalon_18
acalon,-42.85,147.44,T384,new,1,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T386,old,1,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T391,old,2,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T389,new,2,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T394,mid,3,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T390,mid,2,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T395,old,3,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T385,mid,1,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T393,new,3,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T396,sen,3,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T392,sen,2,TAS_Mt_Canopus,150312,acalon_19
acalon,-42.85,147.44,T387,sen,1,TAS_Mt_Canopus,150312,acalon_19
acaman,-17.97,145.97,QL072,old,1,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL076,old,2,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL071,mid,1,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL078,new,3,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL074,new,2,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL079,mid,3,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL070,new,1,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL080,old,3,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL075,mid,2,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL081,sen,3,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL077,sen,2,QLD_Mt_Mackay,150808,acaman_20
acaman,-17.97,145.97,QL073,sen,1,QLD_Mt_Mackay,150808,acaman_20
acamel,-42.11,148.34,T294,new,3,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T291,mid,2,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T292,old,2,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T288,old,1,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T296,old,3,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T295,mid,3,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T286,new,1,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T290,new,2,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T287,mid,1,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T289,sen,1,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T293,sen,2,TAS_Freycinet,150311,acamel_22
acamel,-42.11,148.34,T297,sen,3,TAS_Freycinet,150311,acamel_22
acamel,-42.77,146.4,T134,mid,3,TAS_Frodshams_Pass,150306,acamel_21
acamel,-42.77,146.4,T133,new,3,TAS_Frodshams_Pass,150306,acamel_21
acamel,-42.77,146.4,T128,mid,1,TAS_Frodshams_Pass,150306,acamel_21
acamel,-42.77,146.4,T129,old,1,TAS_Frodshams_Pass,150306,acamel_21
acamel,-42.77,146.4,T130,new,2,TAS_Frodshams_Pass,150306,acamel_21
acamel,-42.77,146.4,T132,old,2,TAS_Frodshams_Pass,150306,acamel_21
acamel,-42.77,146.4,T135,old,3,TAS_Frodshams_Pass,150306,acamel_21
acamel,-42.77,146.4,T127,new,1,TAS_Frodshams_Pass,150306,acamel_21
acamel,-42.77,146.4,T131,mid,2,TAS_Frodshams_Pass,150306,acamel_21
acamuc,-42.76,146.41,T141,old,2,TAS_Frodshams_Pass,150306,acamuc_23
acamuc,-42.76,146.41,T144,old,3,TAS_Frodshams_Pass,150306,acamuc_23
acamuc,-42.76,146.41,T142,new,3,TAS_Frodshams_Pass,150306,acamuc_23
acamuc,-42.76,146.41,T136,new,1,TAS_Frodshams_Pass,150306,acamuc_23
acamuc,-42.76,146.41,T143,mid,3,TAS_Frodshams_Pass,150306,acamuc_23
acamuc,-42.76,146.41,T137,mid,1,TAS_Frodshams_Pass,150306,acamuc_23
acamuc,-42.76,146.41,T138,old,1,TAS_Frodshams_Pass,150306,acamuc_23
acamuc,-42.76,146.41,T139,new,2,TAS_Frodshams_Pass,150306,acamuc_23
acamuc,-42.76,146.41,T140,mid,2,TAS_Frodshams_Pass,150306,acamuc_23
acaosw,-30.71,141.88,RH089,new,2,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH085,new,1,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH094,mid,3,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH086,mid,1,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH093,new,3,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH095,old,3,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH090,mid,2,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH087,old,1,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH091,old,2,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH092,sen,3,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH088,sen,2,NSW_Fowlers_Gap,150409,acaosw_24
acaosw,-30.71,141.88,RH084,sen,1,NSW_Fowlers_Gap,150409,acaosw_24
acapar,-32.78,150.92,YG011,old,1,NSW_Yengo_N,140419,acapar_25
acapar,-32.78,150.92,YG010,mid,1,NSW_Yengo_N,140419,acapar_25
acapar,-32.78,150.92,YG009,new,1,NSW_Yengo_N,140419,acapar_25
acapar,-32.78,150.92,YG062,old,2,NSW_Yengo_N,140524,acapar_25
acapar,-32.78,150.92,YG064,mid,2,NSW_Yengo_N,140524,acapar_25
acapar,-32.78,150.92,YG063,new,2,NSW_Yengo_N,140524,acapar_25
acapar,-32.78,150.92,YG099,old,3,NSW_Yengo_N,140607,acapar_25
acapar,-32.78,150.92,YG100,new,3,NSW_Yengo_N,140607,acapar_25
acapar,-32.78,150.92,YG101,mid,3,NSW_Yengo_N,140607,acapar_25
acaric,-42.91,147.25,T084,old,1,TAS_The_Springs,150303,acaric_26
acaric,-42.91,147.25,T088,new,3,TAS_The_Springs,150303,acaric_26
acaric,-42.91,147.25,T087,old,2,TAS_The_Springs,150303,acaric_26
acaric,-42.91,147.25,T082,new,1,TAS_The_Springs,150303,acaric_26
acaric,-42.91,147.25,T090,old,3,TAS_The_Springs,150303,acaric_26
acaric,-42.91,147.25,T085,new,2,TAS_The_Springs,150303,acaric_26
acaric,-42.91,147.25,T083,mid,1,TAS_The_Springs,150303,acaric_26
acaric,-42.91,147.25,T086,mid,2,TAS_The_Springs,150303,acaric_26
acaric,-42.91,147.25,T089,mid,3,TAS_The_Springs,150303,acaric_26
acashi,-18.22,142.27,QL370,new,1,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL371,mid,1,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL376,old,2,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL379,mid,3,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL375,mid,2,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL374,new,2,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL380,old,3,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL372,old,1,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL378,new,3,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL373,sen,1,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL377,sen,2,QLD_Croydon,150822,acashi_27
acashi,-18.22,142.27,QL381,sen,3,QLD_Croydon,150822,acashi_27
acasua,-33.69,151.15,KG016,new,1,NSW_Kuringai_top,140603,acasua_28
acasua,-33.69,151.15,KG015,mid,1,NSW_Kuringai_top,140603,acasua_28
acasua,-33.69,151.15,KG014,old,1,NSW_Kuringai_top,140603,acasua_28
acasua,-33.69,151.15,KG013,sen,1,NSW_Kuringai_top,140603,acasua_28
acasua,-33.69,151.15,KG047,new,2,NSW_Kuringai_top,140604,acasua_28
acasua,-33.69,151.15,KG046,mid,2,NSW_Kuringai_top,140604,acasua_28
acasua,-33.69,151.15,KG045,old,2,NSW_Kuringai_top,140604,acasua_28
acasua,-33.69,151.15,KG044,sen,2,NSW_Kuringai_top,140604,acasua_28
acasua,-33.69,151.15,KG070,mid,3,NSW_Kuringai_top,140611,acasua_28
acasua,-33.69,151.15,KG071,new,3,NSW_Kuringai_top,140611,acasua_28
acasua,-33.69,151.15,KG069,old,3,NSW_Kuringai_top,140611,acasua_28
acasua,-33.69,151.15,KG068,sen,3,NSW_Kuringai_top,140611,acasua_28
acater,-42.12,148.34,T303,old,2,TAS_Freycinet,150311,acater_29
acater,-42.12,148.34,T305,mid,3,TAS_Freycinet,150311,acater_29
acater,-42.12,148.34,T304,new,3,TAS_Freycinet,150311,acater_29
acater,-42.12,148.34,T301,new,2,TAS_Freycinet,150311,acater_29
acater,-42.12,148.34,T306,old,3,TAS_Freycinet,150311,acater_29
acater,-42.12,148.34,T299,mid,1,TAS_Freycinet,150311,acater_29
acater,-42.12,148.34,T300,old,1,TAS_Freycinet,150311,acater_29
acater,-42.12,148.34,T298,new,1,TAS_Freycinet,150311,acater_29
acater,-42.12,148.34,T302,mid,2,TAS_Freycinet,150311,acater_29
acauli,-33.69,151.15,KG004,mid,1,NSW_Kuringai_top,140529,acauli_30
acauli,-33.69,151.15,KG003,old,1,NSW_Kuringai_top,140529,acauli_30
acauli,-33.69,151.15,KG005,new,1,NSW_Kuringai_top,140529,acauli_30
acauli,-33.69,151.15,KG001,sen,1,NSW_Kuringai_top,140529,acauli_30
acauli,-33.69,151.15,KG008,new,2,NSW_Kuringai_top,140603,acauli_30
acauli,-33.69,151.15,KG007,mid,2,NSW_Kuringai_top,140603,acauli_30
acauli,-33.69,151.15,KG006,old,2,NSW_Kuringai_top,140603,acauli_30
