variable,mean,CV
Rubisco,1,0
Calvin_cycle,2.60618341261312,0.201373846837593
Cytochrome_b6f,0.137181832798185,0.45884766337644
PSI,0.457539578129709,0.463878001749548
PSII,1.6125564711262,0.43756082036415
ATP_synthase_chloroplastic,0.96598558122413,0.365474307422685
electron_transport_minATPsynth,0.216481663950326,0.405498735927592
