study,bin_arch_name,mean,CV
aspinwall,ATP_synthase_chloroplastic,486.931603604348,0.427889827124075
aspinwall,PSI,478.039673391304,0.291379414061544
aspinwall,PSII,1051.01907818696,0.315712887656885
aspinwall,Rubisco,1422.68266775217,0.329897017108131
D14,ATP_synthase_chloroplastic,4826.36894730755,0.535888282351789
D14,PSI,2108.04425672361,0.483057171113051
D14,PSII,7555.88235687103,0.497207163774829
D14,Rubisco,7536.07398945351,0.57556173886395
