sample,LMA_g_per_m2,LWC_percent
T408,,4.821494295
T400,,5.353634578
RH109,,6.416097191
T342,,6.448096367
T396,,6.488330462
QL101,,6.982156711
T338,,7.158405373
QL097,,7.473776224
QL085,235.1348129,7.532051282
YG073,,7.620806402
QL382,,7.923019245
QL105,,7.936229083
KG009,,8.053910557
QL349,,8.497450765
KG140,,8.793154323
KG092,,8.850419259
YG185,247.6988764,8.868739817
KG060,,9.110099443
YG106,,9.346520664
T240,,9.42256043
YG091,,9.632265718
KG048,,9.681685085
RH062,,9.687539214
KG013,,9.822485207
QL049,,9.870550162
KG128,,9.974468085
QL247,,10.51335107
KG052,,10.67930737
KG025,,10.96408318
YG159,,11.14660987
YG050,,11.25
RH113,,11.4505918
T365,,11.49395055
RH008,,11.56437126
KG080,,11.68865831
QL061,,12.72139352
KG104,,12.81176864
KG108,,12.95353278
RH050,,13.28884868
T236,,13.36898396
RH004,,13.60025421
YG126,,13.88286334
YG032,,14.25210084
T334,,14.25526174
RH046,,14.57182631
RH042,,14.82793522
KG072,,14.92688871
KG084,,14.95130297
T289,247.0526957,15.17467249
YG142,,15.67328918
T020,,15.81466917
T371,232.566271,16.07079646
YG201,212.9226093,16.49438202
QL263,,16.96925714
QL223,,17.27284826
QL365,,17.34441544
QL225,,17.66144814
QL373,,17.67990074
T212,,18.33000665
QL361,,18.65304578
RH054,,19.18238994
T297,193.233676,19.494987
T038,595.8982959,19.78036176
YG079,,20.27373068
YG144,,20.54697031
QL224,,20.94126231
T040,,21.5198386
RH012,,21.6988417
QL125,,22.09205501
QL219,,23.6297998
YG130,,23.89112903
QL217,,24.16640203
KG136,,24.1670207
QL322,,24.41860465
QL353,,24.62355163
QL301,,24.73273026
KG068,,25.26266996
QL057,,25.26815464
T044,,25.42016807
KG001,,25.74993363
T392,,25.92279855
YG163,,26.1279559
QL421,,26.59940381
KG040,,26.65249734
QL443,,28.02090807
QL377,,28.10578106
T277,,28.1972265
QL429,,28.3011021
T248,,28.31893166
YG134,,28.31899879
QL413,,28.82350431
T387,,29.17767503
T265,256.7241991,29.45736434
QL409,,29.5708453
QL053,,29.57550452
T383,,29.97384481
T273,218.5173745,30.65221921
KG100,227.0562829,30.88981097
QL302,,31.6746347
T056,,32.08035694
KG116,,32.09986625
T368,249.6703598,32.14371835
RH053,267.9156266,32.1694575
QL357,,32.2605364
RH052,272.446655,32.72677645
QL433,,33.06208895
T355,,33.13558661
QL424,249.972967,33.23366083
RH077,1100.709804,33.39058251
RH058,,33.39108165
QL220,,33.40059392
YG078,,33.44504021
RH047,269.1461509,33.50646597
YG001,,33.57142857
RH051,270.32316,33.66124128
RH076,1137.84267,33.77784185
T050,354.7518368,33.93286868
YG194,,34.18854415
T252,,34.52933927
RH044,250.9487751,34.66738778
KG044,,34.75381515
QL183,,34.9777418
RH048,259.6860736,34.98402556
RH043,234.8074826,35.06108849
RH083,1155.579146,35.09181549
KG120,241.0119291,35.14305412
RH067,271.3180601,35.32776676
RH080,1122.206274,35.43026706
RH098,412.1877977,35.46263345
QL463,299.5560754,35.50313526
RH105,,35.57104742
KG012,391.0159763,35.58463764
QL363,405.0084704,35.67217237
RH079,1146.339085,35.79672696
QL194,,35.88042381
RH082,1152.113215,35.97251423
KG132,212.8927252,36.0270528
QL065,,36.05795028
QL362,440.0587128,36.29343629
RH112,455.8554259,36.31529431
RH108,395.8719823,36.3177316
T164,,36.36100036
RH075,937.6862854,36.37218045
QL033,,36.3959795
QL369,,36.45535311
QL270,,36.45610823
YG018,224.6933908,36.60377358
RH065,360.584586,36.61315546
T224,,36.61971831
RH045,227.2697668,36.64379127
RH060,485.8352137,36.65929126
QL430,721.1325415,36.71660214
KG064,,36.75476948
RH111,389.6013465,36.90563951
KG061,372.2458293,36.93943355
QL367,409.6203599,36.96810595
RH061,369.7302136,37.00444884
KG010,371.1410355,37.05213185
QL089,202.4624045,37.05738706
QL350,300.9139117,37.13638651
T269,218.5482233,37.31362804
RH097,444.7477047,37.32272217
QL366,398.4891739,37.33989021
QL432,852.9641173,37.34462505
QL352,316.8655123,37.38032495
T094,,37.47303544
RH064,416.5356011,37.49194662
QL401,360.0354555,37.52648168
RH066,258.8644713,37.54294249
YG042,,37.62631579
QL351,283.6300299,37.66906252
T244,,37.72490183
QL387,,37.74347666
RH072,271.1314856,37.80379491
QL268,,37.86549708
QL431,788.7482037,37.87347809
QL400,339.9958033,37.90394609
KG056,,38.06156406
QL368,384.540965,38.08595635
T285,,38.12099359
YG193,,38.17524842
T293,204.0137316,38.26720241
KG073,395.7118398,38.28040993
T160,,38.38985994
QL222,,38.41802253
KG063,380.6603771,38.4776164
QL359,414.5862173,38.51736283
QL464,374.6875981,38.54593329
QL402,323.2583434,38.57215484
KG011,361.9385861,38.59176219
QL186,192.0918306,38.6119109
RH049,223.7176953,38.62532686
KG075,374.8288942,38.6953271
QL358,452.9440754,38.70494306
