ID,soil_P,soil_S
acafla_11,216.34,170.572
eucnit_67,355.888,465.902
acauli_30,123.996,212.789
euchae_64,111.418,170.871
perjun_112,201.171,274.754
cennit_41,197.742,549.69
grepar_88,197.858,78.239
acamuc_23,219.009,431.86
grepte_90,170.972,107.403
acafal_10,336.598,238.61
acamuc_23,224.252,410.84
perlin_115,359.447,176.674
perlev_114,125.194,158.372
oridiv_109,996.244,1700.72
cortes_51,231.361,180.14
eucrub_72,163.751,204.846
corcla_44,216.121,299.701
corcit_43,245.516,68.089
banaqu_35,157.809,206.271
acacel_4,1418.653,581.296
haklae_99,100.089,169.235
grehil_84,320.622,319.869
corexi_45,171.329,169.827
eucmed_65,205.349,139.008
agaodo_31,133.794,512.639
gregla_82,150.637,112.889
gregla_83,62.168,92.32
eucobl_68,88.006,142.572
gremuc_87,264.098,134.389
angcos_32,323.718,219.445
corint_48,227.774,181.996
banmar_37,236.46,367.429
acasua_28,135.384,214.021
acacol_5,393.138,642.844
carsub_40,2398.244,674.665
grespe_93,128.642,196.82
gremim_86,242.943,90.9
angcos_33,45.977,116.258
acalon_18,100.761,166.353
eucnit_66,120.611,367.2
xylsco_120,186.409,120.678
acaman_20,285.324,226.896
corgum_46,110.805,244.483
banmar_36,571.905,755.403
grebux_81,168.037,72.603
acabin_3,349.743,247.682
eucdum_60,373.018,205.27
orirev_110,757.147,971.003
eucatr_54,3508.743,273.979
eucten_76,219.397,236.852
hakmeg_102,173.466,138.154
acashi_27,219.041,83.13
eucamy_53,387.765,1030.397
grestr_94,189.971,67.938
darfer_52,2258.601,722.479
acadec_9,293.878,455.677
acamel_22,120.194,173.205
banmar_38,81.668,74.975
haklis_101,553.244,608.497
eucspa_75,282.593,156.208
perlan_113,146.596,57.988
acalon_19,346.123,330.316
eucpla_69,204.237,122.206
eucdis_59,348.393,225.546
xylpyr_119,93.659,180.708
eucpun_71,251.496,111.25
grestr_94,368.484,124.183
opihet_107,1748.475,547.458
greser_92,33.954,97.356
acaimp_16,351.684,145.406
acater_29,177.244,548.353
,177.47,73.42
eucsoc_74,155.333,76.928
hakdac_98,164.537,93.372
euccam_55,333.932,181.247
acaosw_24,243.86,89.624
acahem_13,265.714,123.312
eucrub_73,254.215,344.778
oriaci_108,775.869,996.385
hakleu_100,238.996,150.497
acadea_8,163.589,124.537
eucdel_58,592.375,636.845
conhoo_42,30.842,176.612
acacra_6,180.631,208.447
lompol_104,725.089,1750.467
acaric_26,226.879,544.864
greill_85,167.108,79.477
acamel_21,305.871,316.254
perfal_111,367.01,297.911
teltru_118,115.534,319.558
teltru_117,685.519,1192.151
greane_79,230.286,93.225
eucgil_62,542.046,3661.558
grepte_90,177.65,137.284
euccoc_56,745.651,1166.031
haktep_103,234.369,94.487
eucten_77,119.475,337.777
acaosw_24,521.068,347.586
hakarb_96,292.028,192.53
acahol_14,246.254,154.276
athdiv_34,1736.418,623.912
acajul_17,257.704,127.575
eucter_78,919.752,261.344
acaane_2,298.063,140.926
grebai_80,196.807,241.039
grepar_88,159.667,124.456
corter_50,238.736,102.604
eucglo_63,290.583,377.903
acadea_7 or acadea_8 - no mt wellington,680.142,750.185
acagen_12,141.778,183.209
eucpru_70,176.561,76.74
eucfib_61,227.932,166.675
corpoc_49,285.726,95.511
