sample,gap
KG022,67.92875
KG023,77.789375
KG024,87.65
KG036,73.4235
KG037,84.08175
KG038,94.74
KG049,70.1375
KG050,80.31875
KG051,90.5
KG077,51.4445
KG078,58.91225
KG079,66.38
KG081,68.7115
KG082,78.68575
KG083,88.66
KG101,39.7265
KG102,45.49325
KG103,51.26
KG105,35.20825
KG106,40.319125
KG107,45.43
KG117,42.067
KG118,48.1735
KG119,54.28
KG121,54.095
KG122,61.9475
KG123,69.8
KG133,48.33675
KG134,55.353375
KG135,62.37
KG137,35.19275
KG138,40.301375
KG139,45.41
KG141,70.62575
KG142,80.877875
KG143,91.13
QL106,77.37
QL107,68.665875
QL108,59.96175
QL109,77.37
QL110,68.68
QL111,60.9535
QL112,53.227
QL113,68.68
QL114,67.04
QL115,59.498
QL116,51.956
QL117,67.04
QL130,81.9
QL131,72.68625
QL132,63.4725
QL133,64.16
QL134,56.942
QL135,49.724
QL136,60.46
QL137,53.65825
QL138,46.8565
QL139,41.21
QL140,36.573875
QL141,31.93775
QL142,44.87
QL143,39.822125
QL144,34.77425
QL145,47.63
QL146,42.271625
QL147,36.91325
QL148,48.77
QL149,43.283375
QL150,37.79675
QL151,38.02
QL152,33.74275
QL153,29.4655
QL154,40.02
QL155,35.51775
QL156,31.0155
QL170,45.36
QL171,40.257
QL172,35.154
QL173,73.78
QL174,65.47975
QL175,57.1795
QL184,66.14
QL185,58.69925
QL186,51.2585
QL226,74.93
QL227,66.500375
QL228,65.97
QL229,58.07075
QL230,58.548375
QL231,51.12675
QL232,69.15
QL233,61.370625
QL234,53.59125
QL235,84.71
QL236,75.180125
QL237,65.65025
QL238,90.21
QL239,80.061375
QL240,69.91275
QL241,82.42
QL242,73.14775
QL243,63.8755
QL304,88.04
QL305,78.1355
QL306,68.231
QL307,88.28
QL308,78.3485
QL309,68.417
QL310,86.55
QL311,76.813125
QL312,67.07625
QL313,85.91
QL314,76.245125
QL315,66.58025
QL316,74.24
QL317,65.888
QL318,57.536
QL319,91.16
QL320,80.9045
QL321,70.649
QL325,94.09
QL326,83.504875
QL327,72.91975
QL328,95.34
QL329,84.61425
QL330,73.8885
QL331,93.04
QL332,82.573
QL333,72.106
QL397,99.57
QL398,88.368375
QL400,99.49
QL401,88.297375
QL402,77.10475
QL403,99.61
QL404,88.403875
QL405,77.19775
QL406,100
QL407,88.75
QL408,77.5
QL410,100
QL411,88.75
QL412,77.5
QL414,100
QL415,88.75
QL416,77.5
QL448,92.54
QL449,82.12925
QL450,71.7185
QL451,87.47
QL452,77.629625
QL453,67.78925
QL454,92.28
QL455,81.8985
QL456,71.517
RH001,87.72
RH002,77.8515
RH003,67.983
RH005,82.52
RH006,73.2365
RH007,63.953
RH009,89.1
RH010,79.07625
RH011,69.0525
RH055,94.63
RH056,83.984125
RH057,73.33825
RH059,93.64
RH060,83.1055
RH061,72.571
RH063,93.64
RH064,83.1055
RH065,72.571
RH096,100
RH097,88.75
RH098,77.5
RH099,100
RH100,88.75
RH101,77.5
RH102,100
RH103,88.75
RH104,77.5
RH117,100
RH118,88.75
RH119,77.5
RH120,100
RH121,88.75
RH122,77.5
RH123,100
RH124,88.75
RH125,77.5
T013,50.72
T014,45.014
T015,39.308
T017,60.88
T018,54.031
T019,47.182
T021,68.08
T022,60.421
T023,52.762
T049,65.44
T050,58.078
T051,50.716
T053,75.99
T054,67.441125
T055,58.89225
T057,67.44
T058,59.853
T059,52.266
T145,73.95
T146,65.630625
T147,57.31125
T149,79.28
T150,70.361
T151,61.442
T153,55.89
T154,49.602375
T155,43.31475
T157,97.09
T158,86.167375
T159,75.24475
T161,96.47
T162,85.617125
T163,74.76425
T165,97.21
T166,86.273875
T167,75.33775
T217,65.02
T218,57.70525
T219,50.3905
T221,62.35
T222,55.335625
T223,48.32125
T225,50.58
T226,44.88975
T227,39.1995
T241,53.72
T242,47.6765
T243,41.633
T245,59.8
T246,53.0725
T247,46.345
T249,76.95
T250,68.293125
T251,59.63625
T319,92.55
T320,82.138125
T321,71.72625
T323,91.96
T324,81.6145
T325,71.269
T327,91.96
T328,81.6145
T329,71.269
T331,89.63
T332,79.546625
T333,69.46325
T335,89.63
T336,79.546625
T337,69.46325
T339,80.16
T340,71.142
T341,62.124
T372,75.24
T373,66.7755
T374,58.311
T376,72.75
T377,64.565625
T378,56.38125
T380,76.16
T381,67.592
T382,59.024
T397,89.3
T398,79.25375
T399,69.2075
T402,79.972625
T403,69.83525
T405,86.55
T406,76.813125
T407,67.07625
YG017,87.62
YG018,77.76275
YG019,67.9055
YG020,78.75
YG021,69.890625
YG022,61.03125
YG043,60.41
YG044,53.613875
YG045,46.81775
YG054,50.964
YG055,58.362
YG056,65.76
YG070,84.18
YG071,74.70975
YG072,65.2395
YG075,77.274625
YG076,87.07
YG077,67.47925
YG080,48.8715
YG081,55.96575
YG082,63.06
YG084,87.07
YG085,77.274625
YG086,67.47925
YG118,60.47325
YG120,69.251625
YG121,78.03
YG123,64.45675
YG124,73.813375
YG125,83.17
YG127,49.0885
YG129,63.34
YG135,67.91325
YG136,77.771625
YG137,87.63
YG168,42.1445
YG169,48.26225
YG170,54.38
YG186,53.909
YG187,61.7345
YG188,69.56
YG202,66.7275
YG203,76.41375
