sample,Latitude,Longitude,species
KG001,-33.6933,151.14541,acauli
KG002,,,NA
KG003,-33.6933,151.14541,acauli
KG004,-33.6933,151.14541,acauli
KG005,-33.6933,151.14541,acauli
KG006,-33.6933,151.14541,acauli
KG007,-33.6933,151.14541,acauli
KG008,-33.6933,151.14541,acauli
KG009,-33.6933,151.14541,haklae
KG010,-33.6933,151.14541,haklae
KG011,-33.6933,151.14541,haklae
KG012,-33.6933,151.14541,haklae
KG013,-33.6933,151.14541,acasau
KG014,-33.6933,151.14541,acasau
KG015,-33.6933,151.14541,acasau
KG016,-33.6933,151.14541,acasau
KG017,-33.6933,151.14541,grespe
KG018,-33.6933,151.14541,grespe
KG019,-33.6933,151.14541,grespe
KG020,-33.6933,151.14541,grespe
KG021,-33.6933,151.14541,euchae
KG022,-33.6933,151.14541,euchae
KG023,-33.6933,151.14541,euchae
KG023,-33.6933,151.14541,euchae
KG024,-33.6933,151.14541,euchae
KG025,-33.6933,151.14541,perlev
KG026,-33.6933,151.14541,perlev
KG027,-33.6933,151.14541,perlev
KG028,-33.6933,151.14541,perlev
KG029,-33.6933,151.14541,acalon
KG030,-33.6933,151.14541,acalon
KG031,-33.6933,151.14541,acalon
KG032,-33.6933,151.14541,acalon
KG033,-33.6933,151.14541,acauli
KG034,-33.6933,151.14541,acauli
KG035,-33.6933,151.14541,acauli
KG036,-33.6933,151.14541,corgum
KG037,-33.6933,151.14541,corgum
KG038,-33.6933,151.14541,corgum
KG039,-33.6933,151.14541,corgum
KG040,-33.6933,151.14541,acalon
KG041,-33.6933,151.14541,acalon
KG042,-33.6933,151.14541,acalon
KG043,-33.6933,151.14541,acalon
KG044,-33.6933,151.14541,acasau
KG045,-33.6933,151.14541,acasau
KG046,-33.6933,151.14541,acasau
KG047,-33.6933,151.14541,acasau
KG048,-33.6933,151.14541,euchae
KG049,-33.6933,151.14541,euchae
KG050,-33.6933,151.14541,euchae
KG051,-33.6933,151.14541,euchae
KG051,-33.6933,151.14541,euchae
KG052,-33.6933,151.14541,perlev
KG053,-33.6933,151.14541,perlev
KG054,-33.6933,151.14541,perlev
KG055,-33.6933,151.14541,perlev
KG056,-33.6933,151.14541,grespe
KG057,-33.6933,151.14541,grespe
KG058,-33.6933,151.14541,grespe
KG059,-33.6933,151.14541,grespe
KG060,-33.6933,151.14541,haklae
KG061,-33.6933,151.14541,haklae
KG062,-33.6933,151.14541,haklae
KG063,-33.6933,151.14541,haklae
KG064,-33.6933,151.14541,grespe
KG065,-33.6933,151.14541,grespe
KG066,-33.6933,151.14541,grespe
KG067,-33.6933,151.14541,grespe
KG068,-33.6933,151.14541,acasau
KG069,-33.6933,151.14541,acasau
KG070,-33.6933,151.14541,acasau
KG071,-33.6933,151.14541,acasau
KG072,-33.6933,151.14541,haklae
KG073,-33.6933,151.14541,haklae
KG074,-33.6933,151.14541,haklae
KG075,-33.6933,151.14541,haklae
KG076,-33.6933,151.14541,corgum
KG077,-33.6933,151.14541,corgum
KG078,-33.6933,151.14541,corgum
KG079,-33.6933,151.14541,corgum
KG080,-33.6933,151.14541,euchae
KG081,-33.6933,151.14541,euchae
KG082,-33.6933,151.14541,euchae
KG083,-33.6933,151.14541,euchae
KG084,-33.6933,151.14541,perlev
KG085,-33.6933,151.14541,perlev
KG086,-33.6933,151.14541,perlev
KG087,-33.6933,151.14541,perlev
KG088,-33.6933,151.14541,acalon
KG089,-33.6933,151.14541,acalon
KG090,-33.6933,151.14541,acalon
KG091,-33.6933,151.14541,acalon
KG092,-33.67856,151.14825,xylpyr
KG093,-33.67856,151.14825,xylpyr
KG094,-33.67856,151.14825,xylpyr
KG095,-33.67856,151.14825,xylpyr
KG096,-33.67856,151.14825,greser
KG097,-33.67856,151.14825,greser
KG098,-33.67856,151.14825,greser
KG099,-33.67856,151.14825,greser
KG100,-33.67856,151.14825,angcos
KG101,-33.67856,151.14825,angcos
KG102,-33.67856,151.14825,angcos
KG103,-33.67856,151.14825,angcos
KG104,-33.68188,151.14428,eucobl
KG105,-33.68188,151.14428,eucobl
KG106,-33.68188,151.14428,eucobl
KG107,-33.68188,151.14428,eucobl
KG108,-33.67856,151.14825,xylpyr
KG109,-33.67856,151.14825,xylpyr
KG110,-33.67856,151.14825,xylpyr
KG111,-33.67856,151.14825,xylpyr
KG112,-33.67856,151.14825,greser
KG113,-33.67856,151.14825,greser
KG114,-33.67856,151.14825,greser
KG115,-33.67856,151.14825,greser
KG116,-33.68188,151.14428,eucobl
KG117,-33.68188,151.14428,eucobl
KG118,-33.68188,151.14428,eucobl
KG119,-33.68188,151.14428,eucobl
KG120,-33.67856,151.14825,angcos
KG121,-33.67856,151.14825,angcos
KG122,-33.67856,151.14825,angcos
KG123,-33.67856,151.14825,angcos
KG124,-33.67856,151.14825,greser
KG125,-33.67856,151.14825,greser
KG126,-33.67856,151.14825,greser
KG127,-33.67856,151.14825,greser
KG128,-33.67856,151.14825,xylpyr
KG129,-33.67856,151.14825,xylpyr
KG130,-33.67856,151.14825,xylpyr
KG131,-33.67856,151.14825,xylpyr
KG132,-33.67856,151.14825,angcos
KG133,-33.67856,151.14825,angcos
KG134,-33.67856,151.14825,angcos
KG135,-33.67856,151.14825,angcos
KG136,-33.68188,151.14428,eucobl
KG137,-33.68188,151.14428,eucobl
KG138,-33.68188,151.14428,eucobl
KG139,-33.68188,151.14428,eucobl
KG140,-33.68188,151.14428,corgum
KG141,-33.68188,151.14428,corgum
KG142,-33.68188,151.14428,corgum
KG143,-33.68188,151.14428,corgum
KG144,-33.68188,151.14428,eucobl
QL001,-17.37895,145.76094,athdiv
QL002,-17.37895,145.76094,athdiv
QL003,-17.37895,145.76094,athdiv
QL004,-17.37895,145.76094,athdiv
QL005,-17.37878,145.7617,athdiv
QL006,-17.37878,145.7617,athdiv
QL007,-17.37878,145.7617,athdiv
QL008,-17.37878,145.7617,athdiv
QL009,-17.37655,145.75883,athdiv
QL010,-17.37655,145.75883,athdiv
QL011,-17.37655,145.75883,athdiv
QL012,-17.37655,145.75883,athdiv
QL013,-17.37886,145.76225,opihet
QL014,-17.37886,145.76225,opihet
QL015,-17.37886,145.76225,opihet
QL016,-17.37886,145.76225,opihet
QL017,-17.37886,145.76225,opihet
QL018,-17.37886,145.76225,opihet
QL019,-17.37886,145.76225,opihet
QL020,-17.37886,145.76225,opihet
QL021,-17.37886,145.76225,opihet
QL022,-17.36688,145.75258,darfer
QL023,-17.36688,145.75258,darfer
QL024,-17.36688,145.75258,darfer
QL025,-17.36688,145.75258,darfer
QL026,-17.36688,145.75258,darfer
QL027,-17.36688,145.75258,darfer
QL028,-17.36688,145.75258,darfer
QL029,-17.36688,145.75258,darfer
QL030,-17.36688,145.75258,darfer
QL031,-17.36688,145.75258,darfer
QL032,-17.36688,145.75258,darfer
QL033,-17.36688,145.75258,darfer
QL034,-17.36688,145.75258,carsub
QL035,-17.36688,145.75258,carsub
QL036,-17.36688,145.75258,carsub
QL037,-17.36688,145.75258,carsub
QL038,-17.36688,145.75258,carsub
QL039,-17.36688,145.75258,carsub
QL040,-17.36688,145.75258,carsub
QL041,-17.36688,145.75258,carsub
QL042,-17.36688,145.75258,carsub
QL043,-17.36688,145.75258,carsub
QL044,-17.36688,145.75258,carsub
QL045,-17.36688,145.75258,carsub
QL046,-17.37241,145.74322,acacel
QL047,-17.37241,145.74322,acacel
QL048,-17.37241,145.74322,acacel
QL049,-17.37241,145.74322,acacel
QL050,-17.37241,145.74322,acacel
QL051,-17.37241,145.74322,acacel
QL052,-17.37241,145.74322,acacel
QL053,-17.37241,145.74322,acacel
QL054,-17.36894,145.74353,acacel
QL055,-17.36894,145.74353,acacel
QL056,-17.36894,145.74353,acacel
QL057,-17.36894,145.74353,acacel
QL058,-17.96665,145.96806,grehil
QL059,-17.96665,145.96806,grehil
QL060,-17.96665,145.96806,grehil
QL061,-17.96665,145.96806,grehil
QL062,-17.96665,145.96806,grehil
QL063,-17.96665,145.96806,grehil
QL064,-17.96665,145.96806,grehil
QL065,-17.96665,145.96806,grehil
QL066,-17.96665,145.96806,grehil
QL067,-17.96665,145.96806,grehil
QL068,-17.96665,145.96806,grehil
QL069,-17.96665,145.96806,grehil
QL070,-17.96665,145.96806,acaman
QL071,-17.96665,145.96806,acaman
QL072,-17.96665,145.96806,acaman
QL073,-17.96665,145.96806,acaman
QL074,-17.96665,145.96806,acaman
QL075,-17.96665,145.96806,acaman
QL076,-17.96665,145.96806,acaman
QL077,-17.96665,145.96806,acaman
QL078,-17.96665,145.96806,acaman
QL079,-17.96665,145.96806,acaman
QL080,-17.96665,145.96806,acaman
QL081,-17.96665,145.96806,acaman
QL082,-18.43758,146.13636,grepte
QL083,-18.43758,146.13636,grepte
QL084,-18.43758,146.13636,grepte
QL085,-18.43758,146.13636,grepte
QL085,-18.43758,146.13636,grepte
QL086,-18.43758,146.13636,grepte
QL087,-18.43758,146.13636,grepte
QL088,-18.43758,146.13636,grepte
QL089,-18.43758,146.13636,grepte
QL089,-18.43758,146.13636,grepte
QL090,-18.43758,146.13636,grepte
QL091,-18.43758,146.13636,grepte
QL092,-18.43758,146.13636,grepte
QL093,-18.43758,146.13636,grepte
QL093,-18.43758,146.13636,grepte
QL094,-18.43758,146.13636,grepar
QL095,-18.43758,146.13636,grepar
QL096,-18.43758,146.13636,grepar
QL097,-18.43758,146.13636,grepar
QL098,-18.43758,146.13636,grepar
QL099,-18.43758,146.13636,grepar
QL100,-18.43758,146.13636,grepar
QL101,-18.43758,146.13636,grepar
QL102,-18.43758,146.13636,grepar
QL103,-18.43758,146.13636,grepar
QL104,-18.43758,146.13636,grepar
QL105,-18.43758,146.13636,grepar
QL106,-18.43758,146.13636,corint
QL107,-18.43758,146.13636,corint
QL108,-18.43758,146.13636,corint
QL109,-18.43758,146.13636,corint
QL110,-18.43758,146.13636,corint
QL111,-18.43758,146.13636,corint
QL112,-18.43758,146.13636,corint
QL113,-18.43758,146.13636,corint
QL114,-18.43758,146.13636,corint
QL115,-18.43758,146.13636,corint
QL116,-18.43758,146.13636,corint
QL117,-18.43758,146.13636,corint
QL118,-18.43758,146.13636,acafla
QL119,-18.43758,146.13636,acafla
QL120,-18.43758,146.13636,acafla
QL121,-18.43758,146.13636,acafla
QL122,-18.43758,146.13636,acafla
QL123,-18.43758,146.13636,acafla
QL124,-18.43758,146.13636,acafla
QL125,-18.43758,146.13636,acafla
QL126,-18.43758,146.13636,acafla
QL127,-18.43758,146.13636,acafla
QL128,-18.43758,146.13636,acafla
QL129,-18.43758,146.13636,acafla
QL130,-18.43758,146.13636,eucpla
QL131,-18.43758,146.13636,eucpla
QL132,-18.43758,146.13636,eucpla
QL133,-18.43758,146.13636,eucpla
QL134,-18.43758,146.13636,eucpla
QL135,-18.43758,146.13636,eucpla
QL136,-18.43758,146.13636,eucpla
QL137,-18.43758,146.13636,eucpla
QL138,-18.43758,146.13636,eucpla
QL139,-18.37945,146.07626,cortes
QL140,-18.37945,146.07626,cortes
QL141,-18.37945,146.07626,cortes
QL142,-18.37945,146.07626,cortes
QL143,-18.37945,146.07626,cortes
QL144,-18.37945,146.07626,cortes
QL145,-18.37945,146.07626,cortes
QL146,-18.37945,146.07626,cortes
QL147,-18.37945,146.07626,cortes
QL148,-18.37945,146.07626,eucfib
QL149,-18.37945,146.07626,eucfib
QL150,-18.37945,146.07626,eucfib
QL151,-18.37945,146.07626,eucfib
QL152,-18.37945,146.07626,eucfib
QL153,-18.37945,146.07626,eucfib
QL154,-18.37945,146.07626,eucfib
QL155,-18.37945,146.07626,eucfib
QL156,-18.37945,146.07626,eucfib
QL156,-18.37945,146.07626,eucfib
QL157,-17.91588,146.06968,grebai
