sample,gap
QL250,62.43
QL251,62.43
QL252,65.08
QL253,65.08
QL254,65.08
QL255,65.08
QL256,71.51
QL257,71.51
QL258,71.51
QL259,71.51
QL260,65.38
QL261,65.38
QL262,65.38
QL263,65.38
QL264,65.25
QL265,65.25
QL266,65.25
QL267,65.25
QL268,81
QL269,64.64
QL270,64.42
QL271,64.64
QL272,64.64
QL273,64.64
QL274,81
QL275,81
QL276,81
QL277,64.42
QL278,64.42
QL279,64.42
QL280,68.14
QL281,68.14
QL282,68.14
QL283,82.11
QL284,82.11
QL285,82.11
QL286,75.17
QL287,75.17
QL288,75.17
QL289,82.48
QL290,82.48
QL291,82.48
QL292,82.48
QL293,89.15
QL294,89.15
QL295,89.15
QL296,89.15
QL297,87.64
QL298,87.64
QL299,87.64
QL300,87.64
QL301,88.04
QL302,88.28
QL303,86.55
QL304,88.04
QL305,88.04
QL306,88.04
QL307,88.28
QL308,88.28
QL309,88.28
QL310,86.55
QL311,86.55
QL312,86.55
QL313,85.91
QL314,85.91
QL315,85.91
QL316,74.24
QL317,74.24
QL318,74.24
QL319,91.16
QL320,91.16
QL321,91.16
QL322,93.04
QL323,95.34
QL324,94.09
QL325,94.09
QL326,94.09
QL327,94.09
QL328,95.34
QL329,95.34
QL330,95.34
QL331,93.04
QL332,93.04
QL333,93.04
QL334,95.95
QL335,93.98
QL336,94.48
QL337,93.98
QL338,93.98
QL339,93.98
QL340,94.48
QL341,94.48
QL342,94.48
QL343,95.95
QL344,95.95
QL345,95.95
QL346,94.92
QL347,94.92
QL348,94.92
QL349,94.92
QL350,94.38
QL351,94.38
QL352,94.38
QL353,94.38
QL354,94.92
QL355,94.92
QL356,94.92
QL357,94.92
QL358,95.09
QL359,95.09
QL360,95.09
QL361,95.09
QL362,95.45
QL363,95.45
QL364,95.45
QL365,95.45
QL366,92.26
QL367,92.26
QL368,92.26
QL369,92.26
QL370,93.87
QL371,93.87
QL372,93.87
QL373,93.87
QL374,94.92
QL375,94.92
QL376,94.92
QL377,94.92
QL378,95.42
QL379,95.42
QL380,95.42
QL381,95.42
QL382,99.4
QL383,93.36
QL384,92.42
QL385,99.61
QL386,99.57
QL387,99.49
QL388,99.4
QL389,99.4
QL390,99.4
QL391,93.36
QL392,93.36
QL393,93.36
QL394,92.42
QL395,92.42
QL396,92.42
QL397,99.57
QL398,99.57
QL399,99.57
QL400,99.49
QL401,99.49
QL402,99.49
QL403,99.61
QL404,99.61
QL405,99.61
QL405,99.61
QL406,95
QL407,95
QL408,95
QL409,95
QL410,95
QL411,95
QL412,95
QL413,95
QL414,95
QL415,95
QL416,95
QL417,95
QL418,95
QL419,95
QL420,95
QL421,95
QL422,95
QL423,95
QL424,95
QL425,95
QL426,95
QL427,95
QL427,95
QL428,95
QL429,95
QL430,95
QL431,95
QL432,95
QL433,95
QL434,95
QL435,95
QL436,95
QL437,95
QL438,95
QL439,95
QL440,95
QL441,95
QL442,81.95
QL443,90.1
QL444,85.96
QL445,92.54
QL446,87.47
QL447,92.28
QL448,92.54
QL449,92.54
QL450,92.54
QL451,87.47
QL452,87.47
QL453,87.47
QL454,92.28
QL455,92.28
QL456,92.28
QL457,81.95
QL458,81.95
QL459,81.95
QL460,85.96
QL461,85.96
QL462,85.96
QL463,90.1
QL464,90.1
QL465,90.1
RH001,87.72
RH002,87.72
RH003,87.72
RH004,87.72
RH005,82.52
RH006,82.52
RH007,82.52
RH008,82.52
RH009,89.1
RH009,89.1
RH010,89.1
RH011,89.1
RH012,89.1
RH013,93.51
RH014,93.51
RH015,93.51
RH016,91.79
RH017,91.79
RH018,91.79
RH019,92.61
RH020,92.61
RH021,92.61
RH022,85.24
RH023,85.24
RH024,85.24
RH025,90.7
RH026,90.7
RH027,90.7
RH028,91.71
RH029,91.71
RH030,91.71
RH031,74.53
RH032,NA
RH033,NA
RH034,60.11
RH035,60.11
RH036,60.11
RH037,38.53
RH038,38.53
RH039,38.53
RH040,74.53
RH041,74.53
RH042,62.49
RH043,62.49
RH044,62.49
RH045,62.49
RH046,66.67
RH047,66.67
RH048,66.67
RH049,66.67
RH050,76.45
RH051,76.45
RH052,76.45
RH053,76.45
RH054,94.63
RH055,94.63
RH056,94.63
RH057,94.63
RH058,93.64
RH059,93.64
RH060,93.64
RH061,93.64
RH062,93.64
RH063,93.64
RH064,93.64
RH064,93.64
RH065,93.64
RH066,64.72
RH067,64.72
RH068,64.72
RH069,50.9
RH070,50.9
RH071,50.9
RH072,54.24
RH073,54.24
RH074,54.24
RH075,95
RH076,95
RH077,95
RH078,95
RH079,95
RH080,95
RH081,95
RH082,95
RH083,95
RH084,95
RH085,95
RH086,95
RH087,95
RH088,95
RH089,95
RH090,95
RH091,95
RH092,95
RH093,95
RH094,95
RH095,95
RH096,95
RH096,95
RH097,95
RH098,95
RH099,95
RH100,95
RH101,95
RH102,95
RH103,95
RH104,95
RH105,95
RH106,95
RH107,95
RH108,95
RH109,95
RH110,95
RH111,95
RH112,95
RH113,95
RH114,95
RH115,95
RH116,95
RH117,95
RH118,95
RH119,95
RH119,95
RH120,95
RH121,95
RH122,95
RH123,95
RH124,95
RH125,95
T001,34.3
T002,34.3
T003,34.3
T004,34.3
T005,23.81
T006,23.81
T007,23.81
T008,23.81
T009,35.37
T010,35.37
T011,35.37
T012,35.37
T013,50.72
T014,50.72
T015,50.72
T016,50.72
T017,60.88
T018,60.88
T019,60.88
T020,60.88
T021,68.08
T022,68.08
T023,68.08
T024,68.08
T025,95
T026,95
T027,95
T028,95
T029,95
T030,95
T031,95
T032,95
T033,95
T034,95
T035,95
T036,95
T037,95
T038,95
T039,95
T040,95
T041,95
T042,95
T043,95
T044,95
T045,95
T046,95
T047,95
T048,95
T049,65.44
T050,65.44
T051,65.44
T052,65.44
T053,75.99
T054,75.99
T055,75.99
T056,75.99
T057,67.44
T058,67.44
T059,67.44
T060,67.44
T061,70.98
T062,70.98
T063,70.98
T064,54.74
T065,54.74
T066,54.74
T067,49.43
T068,49.43
T069,49.43
T070,52.75
T071,52.75
T072,52.75
T073,52.75
T074,53.54
T075,53.54
T076,53.54
T077,53.54
T078,53.6
T079,53.6
T080,53.6
T081,53.6
T082,27.37
T083,27.37
T084,27.37
T085,28.01
T086,28.01
T087,28.01
T088,26.64
T089,26.64
T090,26.64
T091,75.29
T092,75.29
T093,75.29
T094,75.29
T095,65.31
T096,65.31
T097,65.31
T098,65.31
T099,64.72
T100,64.72
T101,64.72
T102,64.72
T103,64.72
T104,64.72
T105,64.72
T106,64.72
T107,88.15
T108,88.15
T109,88.15
T110,88.15
T111,87.3
T112,87.3
T113,87.3
T114,87.3
T115,53.27
T116,53.27
T117,53.27
T118,53.27
T119,66.23
T120,66.23
T121,66.23
T122,66.23
T123,64.38
T124,64.38
T125,64.38
T126,64.38
T127,69.5
T128,69.5
T129,69.5
T130,67.31
T131,67.31
T132,67.31
T133,52.74
T134,52.74
T135,52.74
T136,35.85
T137,35.85
T138,35.85
T139,46.73
T139,46.73
T140,46.73
T141,46.73
T142,50.96
T143,50.96
T144,50.96
T145,73.95
T146,73.95
T147,73.95
T148,73.95
T149,79.28
T150,79.28
T151,79.28
T152,79.28
T153,55.89
T154,55.89
T155,55.89
T156,55.89
T157,97.09
T158,97.09
T159,97.09
T160,97.09
T161,96.47
T162,96.47
T163,96.47
T164,96.47
T165,97.21
T166,97.21
T167,97.21
T168,97.21
T169,40.25
T170,40.25
T171,40.25
T172,40.25
T173,61.42
T174,61.42
T175,61.42
T176,61.42
T177,61.42
T178,61.42
T179,61.42
T180,61.42
T181,86.99
T182,86.99
T183,86.99
T184,86.99
T185,83.17
T186,83.17
T187,83.17
T188,83.17
T189,77.82
T190,77.82
T191,77.82
T192,77.82
T193,25.28
T194,25.28
T195,25.28
T196,25.28
T197,24.92
T198,24.92
T199,24.92
T200,24.92
T201,7.91
T202,7.91
T203,7.91
T204,7.91
T205,53.05
T206,53.05
T207,53.05
T208,53.05
T209,57.78
T210,57.78
T211,57.78
T212,57.78
T213,55.3
T214,55.3
T215,55.3
T216,#NA
T217,65.02
T218,65.02
T219,65.02
T220,65.02
T221,62.35
T222,62.35
T223,62.35
T224,62.35
T225,50.58
T226,50.58
T227,50.58
T228,50.58
T229,56.73
T230,56.73
T231,56.73
T232,56.73
T233,55.79
T234,55.79
T235,55.79
T236,55.79
T237,57.54
T238,57.54
T239,57.54
T240,57.54
T241,53.72
T242,53.72
T243,53.72
T244,53.72
T245,59.8
T246,59.8
T247,59.8
T248,59.8
T249,76.95
T250,76.95
T251,76.95
T252,76.95
T253,54.46
T254,54.46
T255,54.46
T256,50.55
T257,50.55
T258,50.55
T259,47.49
T260,47.49
T261,47.49
T262,78.99
T263,78.99
T264,78.99
T265,78.99
T265,78.99
T266,82.14
T267,82.14
T268,82.14
T269,82.14
T269,82.14
T270,81.98
T271,81.98
T272,81.98
T273,81.98
T273,81.98
T274,65.99
T275,65.99
T276,65.99
T277,65.99
T278,74.9
T279,74.9
T280,74.9
T281,74.9
T282,37.91
T283,37.91
T284,37.91
T285,37.91
T286,61.37
T287,61.37
T288,61.37
T289,61.37
T289,61.37
T290,61.67
T291,61.67
T292,61.67
T293,61.67
T293,61.67
T294,66.35
T295,66.35
T296,66.35
T297,66.35
T297,66.35
T298,88.66
T299,88.66
T300,88.66
T301,87.88
T302,87.88
T303,87.88
T304,91.23
T305,91.23
T306,91.23
T307,94.06
T308,94.06
T309,94.06
T310,94.06
T311,89.5
T312,89.5
T313,89.5
T314,89.5
T315,89.5
T316,89.5
T317,89.5
T318,89.5
T319,92.55
T320,92.55
T321,92.55
T322,92.55
T323,91.96
T324,91.96
T325,91.96
T326,91.96
T327,91.96
T328,91.96
T329,91.96
T330,91.96
T331,89.63
T332,89.63
T333,89.63
T334,89.63
T335,89.63
T336,89.63
T337,89.63
T338,89.63
T339,80.16
T340,80.16
T341,80.16
T342,80.16
T343,76.62
T344,76.62
T345,76.62
T346,53.71
T347,53.71
T348,53.71
T349,76.82
T350,76.82
T351,76.82
T352,52.69
T353,52.69
T354,52.69
T355,52.69
T356,52.14
T357,52.14
T358,52.14
T359,52.51
T360,52.51
T361,52.51
T362,43.85
T363,43.85
T364,43.85
T365,43.85
T366,39.29
T367,39.29
T368,39.29
T369,37.13
T369,37.13
T370,37.13
T371,37.13
T372,75.24
T373,75.24
T374,75.24
T375,75.24
T376,72.75
T377,72.75
T378,72.75
T379,72.75
T380,76.16
T381,76.16
T381,76.16
T382,76.16
T383,76.16
T384,62.68
T385,62.68
T386,62.68
T387,62.68
T388,#NA
T389,57.76
T390,57.76
T391,57.76
T392,57.76
T393,67.52
T394,67.52
T395,67.52
T396,67.52
T397,89.3
T398,89.3
T399,89.3
T400,89.3
T401,90.11
T401,90.11
T402,90.11
T403,90.11
T404,90.11
T405,86.55
T406,86.55
T407,86.55
T408,86.55
YG001,39.87
YG002,39.87
YG003,39.87
YG004,39.87
YG005,68.26
YG006,68.26
YG007,68.26
YG008,68.26
YG009,64.73
YG010,64.73
YG011,64.73
YG012,NA
YG013,NA
YG014,NA
YG015,NA
YG016,87.62
YG017,87.62
YG018,87.62
YG019,87.62
YG020,78.75
YG021,78.75
YG022,78.75
YG023,78.75
YG024,NA
YG025,NA
YG026,NA
YG027,NA
YG028,NA
YG029,NA
YG030,NA
YG031,NA
YG032,NA
YG033,NA
YG034,NA
YG035,NA
YG036,NA
YG037,NA
YG038,NA
YG039,NA
YG040,NA
YG041,NA
YG042,60.41
YG043,60.41
YG044,60.41
YG045,60.41
YG046,NA
YG047,NA
YG048,NA
YG049,NA
YG050,NA
YG051,NA
YG052,NA
YG053,NA
YG054,65.76
YG055,65.76
YG056,65.76
YG057,65.76
YG058,33.97
YG059,33.97
YG060,33.97
YG061,33.97
YG062,67.79
YG063,67.79
YG064,67.79
YG065,48.65
YG066,48.65
YG067,48.65
YG068,48.65
YG069,84.18
YG070,84.18
YG071,84.18
YG072,84.18
YG073,87.07
YG074,87.07
YG075,87.07
YG076,87.07
YG077,87.07
YG078,63.06
YG079,63.06
YG080,63.06
YG081,63.06
YG082,63.06
YG083,87.07
YG084,87.07
YG085,87.07
YG086,87.07
YG087,41.38
YG088,41.38
YG089,41.38
YG090,41.38
YG091,38.47
YG092,38.47
YG093,38.47
YG094,38.47
YG095,43.55
YG096,43.55
YG097,43.55
YG098,43.55
YG099,58.03
YG100,58.03
YG101,58.03
YG102,45.19
YG103,45.19
YG104,45.19
YG105,45.19
YG106,37.8
YG107,37.8
YG108,37.8
YG109,37.8
YG110,70.4
YG111,70.4
YG112,70.4
YG113,70.4
YG114,43.55
YG115,43.55
YG116,43.55
YG117,43.55
YG118,78.03
YG119,78.03
YG120,78.03
YG121,78.03
YG122,83.17
YG123,83.17
YG124,83.17
YG125,83.17
YG126,63.34
YG127,63.34
YG128,63.34
YG129,63.34
YG130,37.97
YG131,37.97
YG132,37.97
YG133,37.97
YG134,87.63
YG135,87.63
YG136,87.63
YG137,87.63
YG138,41.38
YG139,41.38
YG140,41.38
YG141,41.38
YG142,39.87
YG143,39.87
YG144,39.87
YG145,39.87
YG146,39.87
YG147,39.87
YG148,NA
YG149,NA
YG150,NA
YG151,NA
YG152,46.76
YG153,46.76
YG154,46.76
YG155,45.58
YG156,45.58
YG157,45.58
YG158,45.58
YG159,39.9
YG160,39.9
YG161,39.9
YG162,39.9
YG163,65.7
YG164,65.7
YG165,65.7
YG166,65.7
YG167,54.38
YG168,54.38
YG169,54.38
YG170,54.38
YG171,64.41
YG172,64.41
YG173,64.41
YG174,64.41
YG175,61.4
YG176,61.4
YG177,61.4
YG178,61.49
YG179,61.49
YG180,61.49
YG181,61.49
YG182,66.62
YG183,66.62
YG184,66.62
YG185,69.56
YG186,69.56
YG187,69.56
YG188,69.56
YG189,60.16
YG190,60.16
YG191,60.16
YG192,60.16
YG193,60.16
YG194,53.57
YG195,53.57
YG196,53.57
YG197,53.57
YG198,NA
YG199,64.14
YG200,64.14
YG201,86.1
YG202,86.1
YG203,86.1
YG203,86.1
YG204,86.1
YG205,73.94
YG206,73.94
YG207,73.94
YG208,73.94
YG209,64.14
