Longitude,Latitude,tavg,dnrg,isot,tsea,tmax,tmin,trng,twet,tdry,twrm,tcld,prec,pwmt,pdmt,psea,pwet,pdry,pwrm,pcld,soilN,soilP,soilC
145.75258,-17.36688,20.59440804,9.020447731,53.85797882,281.8943176,28.57317162,11.82458973,16.74858093,22.37779617,19.122715,23.71046257,16.76664543,3428.507813,585.0557861,87.83374786,66.11370087,1643.972778,314.1349182,1282.763062,448.9989014,0.447480589,0.179425001,8.977643967
145.74353,-17.36894,20.54944038,9.049468994,53.88736343,282.2290955,28.54784203,11.75453663,16.79330635,22.33121872,19.07984543,23.66780663,16.71670723,3367.728271,576.1560059,86.29091644,66.0524292,1613.193237,308.5781555,1263.009399,442.216095,0.416340381,0.152784601,8.45822525
145.74322,-17.37241,20.57999229,9.06981945,53.89601898,282.6726379,28.59247589,11.76410961,16.82836723,22.3649807,19.1085186,23.70275497,16.74058914,3441.654297,587.1362305,88.95535278,65.78120422,1647.702881,317.6094666,1282.969727,457.6903992,0.43697384,0.148568943,8.752138138
145.75883,-17.37655,20.84575081,9.096832275,54.08138657,281.8944702,28.84973145,12.02909756,16.82063293,22.63496208,19.36743164,23.96324921,17.01816368,3623.518311,614.6558838,94.32617188,65.73586273,1736.239014,335.9541626,1342.520996,482.8089294,0.432724237,0.158475086,8.491674423
145.7617,-17.37878,20.84575081,9.096832275,54.08138657,281.8944702,28.84973145,12.02909756,16.82063293,22.63496208,19.36743164,23.96324921,17.01816368,3623.518311,614.6558838,94.32617188,65.73586273,1736.239014,335.9541626,1342.520996,482.8089294,0.471288741,0.138959214,9.132574081
145.76225,-17.37886,20.84575081,9.096832275,54.08138657,281.8944702,28.84973145,12.02909756,16.82063293,22.63496208,19.36743164,23.96324921,17.01816368,3623.518311,614.6558838,94.32617188,65.73586273,1736.239014,335.9541626,1342.520996,482.8089294,0.466580302,0.125951275,9.126205444
145.76094,-17.37895,20.84575081,9.096832275,54.08138657,281.8944702,28.84973145,12.02909756,16.82063293,22.63496208,19.36743164,23.96324921,17.01816368,3623.518311,614.6558838,94.32617188,65.73586273,1736.239014,335.9541626,1342.520996,482.8089294,0.41106385,0.148859113,8.500425339
146.06968,-17.91588,23.63586998,8.510941505,52.03669739,292.3863831,31.03778458,14.68213272,16.35565186,26.62729073,21.89497185,26.87104988,19.66599274,2948.769775,576.9624634,63.61104584,72.92962646,1478.486694,219.4918823,1218.03833,313.3878784,0.158246472,0.034473393,4.898059845
146.01045,-17.92181,23.57130432,9.787305832,54.55070114,299.7119446,31.74047661,13.79880905,17.94166756,25.64802361,21.88546944,26.88567734,19.49597931,3178.791748,605.932373,71.98401642,72.06341553,1575.023438,245.164505,1275.147461,345.3154297,0.148763418,0.032059785,4.653194427
146.06817,-17.92285,23.69346046,8.514888763,52.05160904,291.953949,31.1020298,14.74347973,16.35854912,26.67466545,21.96349716,26.92141914,19.72684669,2924.004395,574.3900757,62.93797684,73.24590302,1470.65564,216.5493317,1212.484375,306.5702515,0.149836406,0.031227775,4.915514469
145.96806,-17.96665,23.51529694,9.974253654,54.75191116,302.2401123,31.81424904,13.59706974,18.21718025,25.58449364,21.84093094,26.85627174,19.40552139,3092.428955,594.5234375,70.58081818,73.11431885,1545.604614,236.4302063,1251.125244,317.2189026,0.154304564,0.030047551,4.974787712
142.21484,-18.15871,26.98273849,13.20820427,56.21876144,335.5032959,37.46538544,13.97108459,23.49430084,29.8260231,23.69708824,30.34427261,22.18608856,725.9985352,207.1600037,1.447019577,122.0150528,518.9926758,9.578242302,381.6865845,14.23625946,0.070009798,0.027608726,1.166883469
142.21069,-18.16105,26.98273849,13.20820427,56.21876144,335.5032959,37.46538544,13.97108459,23.49430084,29.8260231,23.69708824,30.34427261,22.18608856,725.9985352,207.1600037,1.447019577,122.0150528,518.9926758,9.578242302,381.6865845,14.23625946,0.068442911,0.024877975,1.102349043
142.21069,-18.16105,26.98273849,13.20820427,56.21876144,335.5032959,37.46538544,13.97108459,23.49430084,29.8260231,23.69708824,30.34427261,22.18608856,725.9985352,207.1600037,1.447019577,122.0150528,518.9926758,9.578242302,381.6865845,14.23625946,0.068442911,0.024877975,1.102349043
142.26241,-18.18903,27.07394981,13.31571674,56.28788376,337.5157776,37.62442017,13.96796799,23.65645218,29.94266891,23.77026176,30.46006012,22.25254631,726.907959,206.7989807,1.536359072,121.6891251,519.1782837,10.09292698,381.8327637,14.66455078,0.052129589,0.025199953,1.133522511
145.52417,-18.21169,21.49152565,10.43346119,53.51430511,323.760437,30.45518112,10.95859718,19.49658394,24.49479103,17.96022415,24.97031784,17.02708244,1080.159302,248.8714447,20.79009628,82.70806122,599.0023193,69.3182373,554.4353027,82.70059204,0.133487731,0.034689941,2.843625784
145.54145,-18.21239,21.43292809,10.33910084,53.36287689,323.0150452,30.34708977,10.97200871,19.37508202,24.43648148,17.90684891,24.90734863,16.97979736,1095.88855,251.9902191,21.34263229,82.49243927,607.1896362,71.30657196,559.1513062,84.96794891,0.095357209,0.023736836,2.170411587
142.27066,-18.21837,27.13973427,13.38963985,56.32275772,339.4117432,37.73588181,13.96282768,23.77305412,30.03255463,23.81711388,30.54659843,22.29314041,721.5391846,205.4772797,1.529874921,121.7086029,515.5626831,10.0682373,379.098877,14.54430008,0.048146315,0.016458148,0.90455997
145.52532,-18.22401,21.59394646,10.50461102,53.64675522,324.2704773,30.58546829,11.00439262,19.58107567,24.60196495,18.05765152,25.07803154,17.1229229,1088.319214,251.1141663,21.16086006,82.79430389,603.7210083,69.89510345,559.2286987,82.97518158,0.142959729,0.044738162,2.371973276
145.53618,-18.229,22.39808083,10.97733974,54.70043564,325.1700439,31.55603218,11.48792934,20.06810379,25.42459679,18.84955406,25.89871216,17.9224472,1102.212769,253.918869,21.6470089,82.61261749,610.8476563,71.44212341,564.1791992,84.67089844,0.148187533,0.037415307,2.491172791
145.53238,-18.23223,22.83499718,11.25140285,55.25191116,326.0662537,32.09376907,11.72994328,20.36382675,25.87140465,19.2775116,26.34640503,18.35015106,1088.106567,251.419693,21.27685165,82.87477112,603.9332886,70.09294128,559.1469727,83.0149765,0.149201006,0.047971144,2.223493576
145.48898,-18.29731,21.2149334,10.40046787,53.1788559,326.7171631,30.19652176,10.63899803,19.55752373,24.22456932,17.66277695,24.71036148,16.70162964,873.4908447,206.7944641,14.20278931,86.19647217,493.074707,49.80777359,472.2585449,60.86465836,0.102860235,0.031482063,2.537970066
145.48915,-18.29734,21.2149334,10.40046787,53.1788559,326.7171631,30.19652176,10.63899803,19.55752373,24.22456932,17.66277695,24.71036148,16.70162964,873.4908447,206.7944641,14.20278931,86.19647217,493.074707,49.80777359,472.2585449,60.86465836,0.102860235,0.031482063,2.537970066
145.48915,-18.29734,21.2149334,10.40046787,53.1788559,326.7171631,30.19652176,10.63899803,19.55752373,24.22456932,17.66277695,24.71036148,16.70162964,873.4908447,206.7944641,14.20278931,86.19647217,493.074707,49.80777359,472.2585449,60.86465836,0.102860235,0.031482063,2.537970066
145.48911,-18.29787,21.2149334,10.40046787,53.1788559,326.7171631,30.19652176,10.63899803,19.55752373,24.22456932,17.66277695,24.71036148,16.70162964,873.4908447,206.7944641,14.20278931,86.19647217,493.074707,49.80777359,472.2585449,60.86465836,0.102860235,0.031482063,2.537970066
145.46642,-18.31625,21.00522995,10.36320019,52.98602676,327.7441406,29.99262619,10.43426228,19.55836296,24.00995827,17.44824982,24.50242043,16.47309303,834.9495239,198.3144684,12.77029514,87.05269623,472.1671448,45.79220581,458.3787231,56.52555847,0.09813074,0.035851534,2.533203602
145.41898,-18.32071,20.87695313,10.38513088,52.94963074,328.5295105,29.89328575,10.28005886,19.61322784,23.87382889,17.31726456,24.37357712,16.3302021,799.1188354,190.3649445,11.31164646,88.12004852,452.7270203,41.67783737,446.2822876,52.24054337,0.096659921,0.043688394,2.076879501
145.45414,-18.32728,21.03247261,10.41358185,53.04872513,328.4234924,30.04673386,10.41651344,19.63022041,24.03917313,17.47028542,24.53424263,16.49007988,824.0353394,195.9354095,12.36667156,87.36048126,466.2345581,44.61494827,454.7266235,55.2105751,0.086604066,0.034722626,2.314733028
146.07626,-18.37945,23.67531586,9.848927498,53.98749924,308.629425,31.68298149,13.4400034,18.24297714,26.79206657,20.19677544,27.0763607,19.47549629,2015.045532,462.7641602,39.31599426,85.92375946,1135.613525,121.2937698,977.6665039,134.7220917,0.101468563,0.017454147,3.534801722
146.13636,-18.43758,24.00816536,10.15929985,54.62860107,307.7836914,32.23192215,13.63488865,18.59703445,27.07043266,20.56164551,27.38449287,19.80311394,2001.784668,459.1465454,38.23096466,85.71774292,1126.933838,123.5809784,966.6027832,140.1945038,0.095667623,0.021500172,2.781537533
138.52217,-18.71986,26.73389435,14.30362606,54.5345192,422.0796204,38.22491074,11.99633694,26.22857285,30.8268013,22.45622826,30.98522758,20.81081772,544.3973999,142.451767,0.703228176,115.4667664,380.9002686,7.673116684,281.0336914,7.696639061,0.053391814,0.028425107,0.916364074
138.8575,-19.04745,26.4699707,14.04352188,53.91840744,429.6939087,37.85884094,11.81296539,26.04587555,30.65637207,20.4414444,30.78046799,20.4414444,478.3761902,121.3498688,1.100568533,106.3800278,319.1407166,10.11505413,256.4380188,10.11505413,0.060663242,0.028317466,1.10234046
141.87689,-30.7094,20.23103142,13.69516659,44.27360153,634.8156128,35.96741104,5.034379005,30.93303108,27.98329926,20.10827446,27.98329926,12.24308109,202.81427,27.74329185,10.29872608,27.158041,69.0197525,40.53796387,69.0197525,45.36951447,0.037864298,0.020709114,0.823782086
141.7987,-30.81876,19.97402191,13.62770939,44.29730606,630.9911499,35.66331863,4.899123669,30.76419449,27.68456078,19.85585785,27.68456078,12.03732395,206.3106384,27.05259323,10.12012196,27.21313095,70.02925873,40.93445587,70.02925873,44.64849472,0.040194422,0.022855734,0.740301847
141.71401,-31.0831,19.53067589,13.55396557,44.47187805,623.0561523,35.14862442,4.671014786,30.47760963,27.1534996,19.42360115,27.1534996,11.70055294,215.1926117,25.58988571,10.63207531,25.46577835,70.0065155,43.117733,70.0065155,47.68419647,0.050304931,0.031114826,0.837346315
142.25054,-31.29462,19.42086029,13.54255962,44.67874146,620.5098267,35.01648712,4.705518246,30.3109684,27.0327549,19.3172226,27.0327549,11.64995384,233.952713,32.2862587,10.40432835,28.06178665,80.44456482,45.20484924,80.44456482,52.22239685,0.042245362,0.018357892,0.899514019
142.27874,-31.29606,19.35455513,13.497262,44.59828568,620.4656372,34.93510056,4.67101717,30.26408386,26.96666527,19.25481033,26.96666527,11.58477497,240.4791565,32.70275879,10.79084587,27.30002785,82.05240631,46.54524612,82.05240631,53.96357727,0.049638066,0.017976018,0.944588661
150.9291,-32.7817,16.65982056,12.34789467,49.5943222,464.0231323,29.16068077,4.262882233,24.89779854,21.73807716,10.67025566,22.27487183,10.67025566,790.8583984,104.8533325,36.06309891,33.55043411,287.0922241,117.8001785,272.5209045,117.8001785,0.22306031,0.028053055,3.974289894
150.9291,-32.7817,16.65982056,12.34789467,49.5943222,464.0231323,29.16068077,4.262882233,24.89779854,21.73807716,10.67025566,22.27487183,10.67025566,790.8583984,104.8533325,36.06309891,33.55043411,287.0922241,117.8001785,272.5209045,117.8001785,0.22306031,0.028053055,3.974289894
150.9291,-32.7817,16.65982056,12.34789467,49.5943222,464.0231323,29.16068077,4.262882233,24.89779854,21.73807716,10.67025566,22.27487183,10.67025566,790.8583984,104.8533325,36.06309891,33.55043411,287.0922241,117.8001785,272.5209045,117.8001785,0.22306031,0.028053055,3.974289894
150.9291,-32.7817,16.65982056,12.34789467,49.5943222,464.0231323,29.16068077,4.262882233,24.89779854,21.73807716,10.67025566,22.27487183,10.67025566,790.8583984,104.8533325,36.06309891,33.55043411,287.0922241,117.8001785,272.5209045,117.8001785,0.22306031,0.028053055,3.974289894
150.9291,-32.7817,16.65982056,12.34789467,49.5943222,464.0231323,29.16068077,4.262882233,24.89779854,21.73807716,10.67025566,22.27487183,10.67025566,790.8583984,104.8533325,36.06309891,33.55043411,287.0922241,117.8001785,272.5209045,117.8001785,0.22306031,0.028053055,3.974289894
150.9291,-32.7817,16.65982056,12.34789467,49.5943222,464.0231323,29.16068077,4.262882233,24.89779854,21.73807716,10.67025566,22.27487183,10.67025566,790.8583984,104.8533325,36.06309891,33.55043411,287.0922241,117.8001785,272.5209045,117.8001785,0.22306031,0.028053055,3.974289894
150.92318,-32.78244,16.59402466,12.30422306,49.51391602,463.822876,29.08605194,4.236021996,24.85002899,21.67108917,10.60771847,22.20776939,10.60771847,786.9112549,104.7061768,35.69359589,33.7851181,286.0693054,116.4623337,272.2180481,116.4623337,0.18543607,0.036610663,4.014856339
150.92318,-32.78244,16.59402466,12.30422306,49.51391602,463.822876,29.08605194,4.236021996,24.85002899,21.67108917,10.60771847,22.20776939,10.60771847,786.9112549,104.7061768,35.69359589,33.7851181,286.0693054,116.4623337,272.2180481,116.4623337,0.18543607,0.036610663,4.014856339
150.92318,-32.78244,16.59402466,12.30422306,49.51391602,463.822876,29.08605194,4.236021996,24.85002899,21.67108917,10.60771847,22.20776939,10.60771847,786.9112549,104.7061768,35.69359589,33.7851181,286.0693054,116.4623337,272.2180481,116.4623337,0.18543607,0.036610663,4.014856339
150.92318,-32.78244,16.59402466,12.30422306,49.51391602,463.822876,29.08605194,4.236021996,24.85002899,21.67108917,10.60771847,22.20776939,10.60771847,786.9112549,104.7061768,35.69359589,33.7851181,286.0693054,116.4623337,272.2180481,116.4623337,0.18543607,0.036610663,4.014856339
150.92318,-32.78244,16.59402466,12.30422306,49.51391602,463.822876,29.08605194,4.236021996,24.85002899,21.67108917,10.60771847,22.20776939,10.60771847,786.9112549,104.7061768,35.69359589,33.7851181,286.0693054,116.4623337,272.2180481,116.4623337,0.18543607,0.036610663,4.014856339
150.92318,-32.78244,16.59402466,12.30422306,49.51391602,463.822876,29.08605194,4.236021996,24.85002899,21.67108917,10.60771847,22.20776939,10.60771847,786.9112549,104.7061768,35.69359589,33.7851181,286.0693054,116.4623337,272.2180481,116.4623337,0.18543607,0.036610663,4.014856339
146.16138,-32.96381,17.88098907,13.47835827,45.48062134,612.1174927,33.54880142,3.913413286,29.63538742,11.24788284,22.1176815,25.43756294,10.25624561,380.7366638,39.92671967,22.58151245,16.01255035,104.2902374,80.81131744,99.31361389,96.61904144,0.080159411,0.022018077,1.614211559
146.16149,-32.96394,17.88098907,13.47835827,45.48062134,612.1174927,33.54880142,3.913413286,29.63538742,11.24788284,22.1176815,25.43756294,10.25624561,380.7366638,39.92671967,22.58151245,16.01255035,104.2902374,80.81131744,99.31361389,96.61904144,0.080159411,0.022018077,1.614211559
146.16016,-32.96407,17.88098907,13.47835827,45.48062134,612.1174927,33.54880142,3.913413286,29.63538742,11.24788284,22.1176815,25.43756294,10.25624561,380.7366638,39.92671967,22.58151245,16.01255035,104.2902374,80.81131744,99.31361389,96.61904144,0.075869441,0.020980794,1.603066802
146.16899,-33.00208,17.939785,13.53655243,45.56814957,612.4303589,33.63634872,3.930178165,29.70617104,11.30665112,22.18248177,25.50244713,10.3172369,382.0483704,40.13860703,22.81931305,16.03226089,104.8423233,81.14537811,99.49151611,97.18157196,0.09366072,0.028739907,1.4096241
146.20221,-33.03783,17.96543884,13.57358837,45.6115799,612.8233032,33.68398666,3.924902916,29.7590847,11.33398533,22.21676254,25.53610992,10.3463707,387.5290527,40.90834045,23.25667953,16.14480782,106.6810837,82.04656982,100.8498001,99.0838089,0.100451246,0.030238321,1.570758224
150.68326,-33.045,15.95884895,11.97850418,48.85311508,462.0358276,28.25099564,3.731566906,24.51942825,21.03615189,9.995598793,21.55096626,9.995598793,732.9242554,91.87794495,34.91710281,31.27846336,263.3396301,116.6721878,239.6614227,116.6721878,0.2031174,0.027661704,3.993353605
150.68326,-33.045,15.95884895,11.97850418,48.85311508,462.0358276,28.25099564,3.731566906,24.51942825,21.03615189,9.995598793,21.55096626,9.995598793,732.9242554,91.87794495,34.91710281,31.27846336,263.3396301,116.6721878,239.6614227,116.6721878,0.2031174,0.027661704,3.993353605
150.68326,-33.045,15.95884895,11.97850418,48.85311508,462.0358276,28.25099564,3.731566906,24.51942825,21.03615189,9.995598793,21.55096626,9.995598793,732.9242554,91.87794495,34.91710281,31.27846336,263.3396301,116.6721878,239.6614227,116.6721878,0.2031174,0.027661704,3.993353605
