sample,P ,S ,Unit
RH056                                       ,42.397,725.34,ppm 
RH064                                       ,60.523,793.458,ppm 
QL308                                       ,437.983,225.766,ppm 
QL311                                       ,581.66,7.513,ppm 
QL239                                       ,1703.955,332.749,ppm 
QL314                                       ,682.499,620.97,ppm 
RH002                                       ,396.588,399.865,ppm 
KG138                                       ,197.389,111.205,ppm 
KG118                                       ,279.406,460.935,ppm 
KG051                                       ,345.22,481.224,ppm 
KG083                                       ,300.615,466.756,ppm 
YG017                                       ,1256.551,517.952,ppm 
YG056                                       ,868.795,426.592,ppm 
YG076                                       ,1116.545,600.817,ppm 
KG079                                       ,307.215,329.748,ppm 
YG084                                       ,1175.401,489.839,ppm 
YG082                                       ,1390.718,486.993,ppm 
YG125                                       ,633.502,495.504,ppm 
YG070                                       ,487.135,665.319,ppm 
YG020                                       ,1362.747,853.347,ppm 
KG024                                       ,308.653,559.759,ppm 
YG043                                       ,1380.607,390.883,ppm 
QL009                                       ,788.046,1164.977,ppm 
QL328                                       ,410.634,289.353,ppm 
RH001                                       ,432.625,406.265,ppm 
KG038                                       ,305.216,13.389,ppm 
QL331                                       ,462.751,0,ppm 
QL232                                       ,993.692,511.118,ppm 
QL226                                       ,892.401,636.873,ppm 
QL313                                       ,709.041,340.755,ppm 
KG143                                       ,356.259,242.184,ppm 
KG119                                       ,402.509,268.921,ppm 
QL238                                       ,1259.79,0,ppm 
QL001                                       ,1183.851,897.71,ppm 
QL145                                       ,653.362,623.095,ppm 
KG139                                       ,428.218,0,ppm 
RH009                                       ,589.344,64.225,ppm 
KG123                                       ,324.473,0,ppm 
KG135                                       ,417.573,495.119,ppm 
KG107                                       ,330.953,101.598,ppm 
QL319                                       ,613.68,285.026,ppm 
QL414                                       ,227.919,0,ppm 
QL005                                       ,827.673,932.777,ppm 
QL403                                       ,98.109,58.432,ppm 
RH005                                       ,571.754,334.347,ppm 
QL316                                       ,465.673,139.639,ppm 
QL228                                       ,1079.348,701.869,ppm 
RH059                                       ,378.487,41.686,ppm 
QL241                                       ,747.043,104.886,ppm 
QL235                                       ,1613.863,144.962,ppm 
RH063                                       ,660.938,296.451,ppm 
YG188                                       ,513.885,238.15,ppm 
KG103                                       ,413.555,147.036,ppm 
RH055                                       ,583.813,495.485,ppm 
YG170                                       ,634.079,232.098,ppm 
T055                                        ,839.516,395.996,ppm 
T147                                        ,561.814,255.162,ppm 
T016                                        ,1190.554,0,ppm 
T023                                        ,848.425,0,ppm 
T164                                        ,94.805,0,ppm 
QL402                                       ,183.927,0,ppm 
T247                                        ,749.661,566.772,ppm 
QL445                                       ,14.365,0,ppm 
T019                                        ,921.827,51.035,ppm 
T051                                        ,911.13,388.247,ppm 
T052                                        ,674.077,0,ppm 
QL456                                       ,389.038,317.029,ppm 
T167*                                       ,356.958,38.955,ppm 
T403                                        ,392.795,393.231,ppm 
T059                                        ,1634.725,126.081,ppm 
T015                                        ,1331.448,199.559,ppm 
T223                                        ,552.676,310.929,ppm 
T168                                        ,91.9,0,ppm 
T020                                        ,865.109,26.492,ppm 
T219                                        ,1011.152,513.567,ppm 
T024                                        ,588.912,0,ppm 
QL453                                       ,210.507,0,ppm 
T374                                        ,624.339,430.253,ppm 
T160                                        ,75.282,0,ppm 
T152                                        ,178.802,0,ppm 
QL446                                       ,126.244,0,ppm 
T155                                        ,434.155,291.69,ppm 
T156                                        ,131.73,0,ppm 
T151                                        ,693.099,38.185,ppm 
T332                                        ,0,0,ppm 
T341                                        ,0,0,ppm 
T338                                        ,0,0,ppm 
T375                                        ,411.629,195.842,ppm 
T334                                        ,27.267,0,ppm 
T342                                        ,0.004,0,ppm 
T326                                        ,289.139,26.913,ppm 
T404                                        ,100.869,0,ppm 
YG069                                       ,341.018,0,ppm 
T333                                        ,420.086,220.166,ppm 
T330                                        ,0,0,ppm 
KG076                                       ,52.703,0,ppm 
T379*                                       ,248.28,45.205,ppm 
YG054                                       ,419.87,114.455,ppm 
T400                                        ,18.336,129.112,ppm 
KG105                                       ,248.265,312.197,ppm 
KG049                                       ,363.964,340,ppm 
KG101                                       ,168.372,484.546,ppm 
KG100                                       ,34.839,34.965,ppm 
YG042                                       ,195.516,404.968,ppm 
T383                                        ,32.088,0,ppm 
KG081                                       ,351.36,464.145,ppm 
YG079                                       ,437.01,0,ppm 
KG080                                       ,70.318,183.039,ppm 
KG077                                       ,291.22,393.302,ppm 
RH062                                       ,36.15,429.912,ppm 
KG117                                       ,219.433,358.887,ppm 
T402                                        ,801.935,563.284,ppm 
QL149                                       ,576.904,361.771,ppm 
RH121                                       ,469.584,663.03,ppm 
T250                                        ,743.765,589.833,ppm 
QL146                                       ,682.277,761.722,ppm 
RH100                                       ,338.255,672.626,ppm 
QL131                                       ,575.43,290.33,ppm 
RH118                                       ,594.683,863.934,ppm 
T332                                        ,623.484,168.843,ppm 
RH124                                       ,457.149,606.424,ppm 
QL137                                       ,782.245,418.669,ppm 
RH097                                       ,253.45,733.435,ppm 
T226                                        ,761.032,477.142,ppm 
T162                                        ,435.602,145.871,ppm 
T218                                        ,935.926,390.781,ppm 
T022*                                       ,1312.271,396.378,ppm 
T150                                        ,679.864,202.464,ppm 
QL401                                       ,300.144,38.527,ppm 
T406                                        ,497.41,497.653,ppm 
T373                                        ,1891.573,713.667,ppm 
T398                                        ,391.623,373.706,ppm 
T158                                        ,293.996,92.13,ppm 
QL452                                       ,343.336,0,ppm 
T054                                        ,908.529,282.618,ppm 
T050                                        ,1136.995,117.246,ppm 
T381                                        ,838.709,784.067,ppm 
T246                                        ,773.244,464.909,ppm 
T146                                        ,541.202,244.13,ppm 
T324                                        ,579.286,682.651,ppm 
T152                                        ,356.617,100.432,ppm 
T014                                        ,1134.834,70.644,ppm 
T242                                        ,495.449,614.849,ppm 
T377                                        ,658.927,556.79,ppm 
T154                                        ,576.809,368.705,ppm 
T018                                        ,926.201,344.627,ppm 
QL411                                       ,358.893,177.403,ppm 
T328                                        ,683.903,566.642,ppm 
T340                                        ,810.909,456.615,ppm 
T058                                        ,935.315,312.226,ppm 
QL449                                       ,276.245,211.995,ppm 
T320                                        ,615.623,628.824,ppm 
T336                                        ,516.38,140.121,ppm 
QL140                                       ,746.005,791.949,ppm 
T222                                        ,765.408,430.233,ppm 
QL173                                       ,473.762,540.699,ppm 
QL144                                       ,648.503,399.584,ppm 
QL172                                       ,374.111,664.747,ppm 
QL132                                       ,627.603,232.054,ppm 
T157                                        ,563.391,322.899,ppm 
QL136                                       ,887.47,639.555,ppm 
QL150                                       ,423.291,456.483,ppm 
QL151                                       ,337.833,16.73,ppm 
RH125                                       ,305.684,548.498,ppm 
QL156                                       ,287.512,81.7,ppm 
QL454                                       ,368.414,385.373,ppm 
QL139                                       ,681.634,926.794,ppm 
QL171                                       ,488.816,652.89,ppm 
QL185                                       ,535.309,741.204,ppm 
QL143                                       ,767.791,393.836,ppm 
QL134                                       ,413.274,57.87,ppm 
QL155                                       ,407.05,80.619,ppm 
QL455                                       ,408.943,388.523,ppm 
QL174                                       ,408.31,535.329,ppm 
RH103                                       ,379.265,2651.811,ppm 
T021                                        ,1387.655,406.198,ppm 
T217                                        ,654.683,524.874,ppm 
T221                                        ,724.325,355.612,ppm 
T372                                        ,260.425,822.522,ppm 
RH101                                       ,1835.473,745.145,ppm 
T145                                        ,830.732,128.656,ppm 
RH104                                       ,429.455,2824.985,ppm 
T149                                        ,789.463,34.791,ppm 
T225                                        ,651.409,443.514,ppm 
T057                                        ,973.59,10.602,ppm 
T017*                                       ,1015.631,0,ppm 
T249                                        ,600.588,127.541,ppm 
QL133                                       ,368.772,247.395,ppm 
RH099                                       ,528.638,206.721,ppm 
RH117*                                      ,791.649,332.166,ppm 
QL148                                       ,664.406,723.98,ppm 
RH102                                       ,496.688,1126.738,ppm 
QL142                                       ,657.519,812.323,ppm 
RH098                                       ,246.919,932.972,ppm 
RH119                                       ,473.643,848.243,ppm 
RH120                                       ,1358.105,342.474,ppm 
QL141                                       ,501.113,200.368,ppm 
T013*                                       ,1012.102,200.669,ppm 
rh122                                       ,272.061,540.058,ppm 
T376                                        ,1666.944,642.365,ppm 
QL135                                       ,419.191,354.379,ppm 
T161                                        ,454.863,238.8,ppm 
T053                                        ,1233.883,139.775,ppm 
QL410                                       ,344.002,0,ppm 
RH096                                       ,328.674,510.884,ppm 
RH123                                       ,671.339,244.492,ppm 
T339                                        ,643.178,435.408,ppm 
T165*                                       ,432.699,0,ppm 
T405                                        ,542.285,23.878,ppm 
T397                                        ,584.617,321.469,ppm 
T380                                        ,1026.41,378.607,ppm 
T401                                        ,732.637,445.612,ppm 
T049                                        ,1207.699,136.286,ppm 
QL400                                       ,226.524,14.503,ppm 
T153                                        ,745.964,244.368,ppm 
QL448                                       ,303.586,321.496,ppm 
QL138                                       ,534.332,320.452,ppm 
T327                                        ,760.085,320.517,ppm 
T331                                        ,886.693,322.81,ppm 
T335                                        ,549.707,388.047,ppm 
QL170                                       ,401.224,647.221,ppm 
QL184                                       ,395.471,386.447,ppm 
QL186                                       ,417.581,450.92,ppm 
QL175                                       ,496.334,542.741,ppm 
QL153                                       ,163.64,239.876,ppm 
QL451                                       ,280.489,188.772,ppm 
T241*                                       ,1415.834,802.165,ppm 
T319                                        ,1018.844,560.985,ppm 
QL154                                       ,495.485,49.451,ppm 
QL130                                       ,639.673,359.838,ppm 
YG201                                       ,170.743,0,ppm 
QL323                                       ,31.121,0,ppm 
QL303                                       ,326.133,0,ppm 
YG073                                       ,410.502,1187.554,ppm 
QL417                                       ,31.49,0,ppm 
YG167                                       ,159.977,0,ppm 
QL302                                       ,173.056,0,ppm 
QL309                                       ,497.628,119.439,ppm 
YG185                                       ,80.057,0,ppm 
YG202                                       ,199.336,158.701,ppm 
QL450                                       ,246.219,59.633,ppm 
YG123                                       ,501.583,339.995,ppm 
YG072                                       ,609.62,450.338,ppm 
YG086                                       ,542.137,274.713,ppm 
QL333                                       ,319.413,0,ppm 
QL012                                       ,182.207,492.998,ppm 
QL385                                       ,0,0,ppm 
QL221                                       ,3574.243,0,ppm 
YG168                                       ,1197.268,116.937,ppm 
QL008                                       ,169.697,356.135,ppm 
QL225                                       ,733.767,705.508,ppm 
QL327                                       ,325.001,0,ppm 
YG186                                       ,466.694,236.943,ppm 
KG036                                       ,294.505,255.69,ppm 
QL416                                       ,156.101,0,ppm 
YG122                                       ,574.49,322.142,ppm 
QL224                                       ,384.767,178.408,ppm 
YG127                                       ,504.376,607.137,ppm 
T243*                                       ,573.748,365.92,ppm 
T337                                        ,259.743,75.126,ppm 
T329                                        ,591.13,34.311,ppm 
T220                                        ,558.1,0,ppm 
T321                                        ,547.108,595.565,ppm 
T407                                        ,285.554,396.22,ppm 
T056                                        ,1937.126,0,ppm 
T252                                        ,559.35,0,ppm 
T378                                        ,760.84,825.435,ppm 
T224                                        ,55.299,0,ppm 
T148                                        ,188.9,0,ppm 
T244                                        ,140.745,117.198,ppm 
T251                                        ,597.709,187.205,ppm 
T227                                        ,711.477,455.16,ppm 
T159                                        ,357.469,99.995,ppm 
T382                                        ,748.809,723.618,ppm 
T248                                        ,102.2,0,ppm 
T228                                        ,140.7,0,ppm 
T060                                        ,779.642,0,ppm 
T325                                        ,207.83,213.091,ppm 
T399                                        ,255.935,65.048,ppm 
YG074                                       ,645.629,791.58,ppm 
YG016                                       ,240.956,0,ppm 
KG022                                       ,347.238,188.042,ppm 
RH007                                       ,389.184,499.283,ppm 
KG133                                       ,140.138,370.637,ppm 
KG120                                       ,63.824,150.655,ppm 
RH058                                       ,0,196.814,ppm 
YG057                                       ,245.744,191.516,ppm 
YG023                                       ,184.187,0,ppm 
KG021                                       ,30.11,0,ppm 
RH003                                       ,316.988,454.944,ppm 
KG104                                       ,0,72.291,ppm 
RH011                                       ,271.895,43.117,ppm 
