extraction_number,sample_number,species_confirmed
10-29,KG105,eucobl
10-30,T405,eucten
10-31,KG123,angcos
10-32,QL228,eucter
10-33,T339,eucglo
10-34,QL106,corint
10-35,RH122,euccam
10-36,T249,eucrub
10-37,T218,eucten
10-38,T373,eucrub
10-39,T328,eucamy
10-40,RH124,euccam
10-41,QL449,corter
10-42,T319,eucamy
10-43,KG078,corgum
10-44,QL454,corter
10-45,T019,euccoc
10-46,T225,eucten
10-47,YG080,angcos
10-48,YG044,eucpun
11-01,QL232,eucter
11-02,QL237,eucatr
11-03,YG076,eucpun
11-04,RH118,euccam
15-39,YG120,eucspa
11-06,RH005,eucdum
11-07,KG138,eucobl
11-08,YG043,eucpun
11-09,T246,eucrub
11-10,YG021,euccre
11-11,KG122,angcos
11-12,QL153,eucfib
11-13,T227,eucten
11-14,T406,eucten
11-15,YG081,angcos
11-16,RH123,euccam
11-17,T055,eucdel
11-18,YG030,melpal
11-19,RH099,eucgil
11-20,QL325,eucdis
11-21,RH002,eucdum
11-22,KG134,angcos
11-23,T058,eucdel
11-24,T374,eucrub
11-25,QL452,corter
11-27,T018,euccoc
11-28,QL171,corcla
11-29,QL411,eucpru
11-30,QL236,eucatr
11-31,T013,euccoc
11-32,QL139,cortes
11-33,QL146,cortes
11-34,T155,eucnit
11-35,QL397,corpoc
11-36,QL231,eucter
11-37,YG188,corexi
11-38,T014,euccoc
11-39,QL131,eucpla
11-40,YG075,eucpun
11-41,YG020,euccre
11-42,QL150,eucfib
11-43,QL400,corpoc
11-44,QL241,eucatr
11-45,RH059,eucsoc
11-46,RH103,eucgil
11-47,QL450,corter
11-48,QL401,corpoc
12-01,QL327,eucdis
12-02,QL406,eucpru
12-03,T403,eucten
12-04,T321,eucamy
12-05,T323,eucamy
12-06,T320,eucamy
12-07,T015,euccoc
12-08,QL149,eucfib
12-09,QL407,eucpru
12-10,KG036,corgum
12-11,RH007,eucdum
12-12,YG022,euccre
12-13,QL170,corcla
12-14,QL140,cortes
12-15,T333,eucglo
12-16,QL133,eucpla
12-17,T158,eucnit
12-18,QL172,corcla
12-20,KG117,eucobl
12-21,QL309,eucmed
12-22,QL110,corint
12-23,T165,eucnit
12-24,RH057,eucsoc
12-25,T251,eucrub
12-26,QL243,eucatr
12-27,T145,eucnit
12-28,QL240,eucatr
12-29,QL412,eucpru
12-30,T159,eucnit
12-31,QL227,eucter
12-32,QL114,corint
12-33,QL315,corcit
12-34,YG018,angcos
12-35,QL147,cortes
12-36,QL152,eucfib
12-37,T050,eucdel
12-38,QL455,corter
12-39,T049,eucdel
12-40,QL319,corcit
12-41,T167,eucnit
12-42,T150,eucnit
12-43,QL144,cortes
12-44,RH055,eucsoc
12-45,QL112,corint
12-46,KG135,angcos
12-47,QL235,eucatr
12-48,QL108,corint
13-01,T250,eucrub
13-02,QL154,eucfib
13-03,T335,eucglo
13-04,QL310,eucmed
13-05,QL130,eucpla
13-06,QL416,eucpru
13-07,QL403,corpoc
13-08,QL138,eucpla
13-09,T327,eucamy
13-12,QL451,corter
13-13,T051,eucdel
13-14,YG019,angcos
13-15,QL320,corcit
13-16,QL414,eucpru
13-17,YG186,corexi
13-18,T337,eucglo
13-19,T059,eucdel
13-20,RH102,eucgil
13-21,QL155,eucfib
13-22,QL316,corcit
13-23,T154,eucnit
13-24,QL239,eucatr
13-25,QL148,eucfib
13-26,KG118,eucobl
13-27,RH125,euccam
13-28,QL242,eucatr
13-29,RH104,eucgil
13-30,T217,eucten
13-31,QL311,eucmed
13-32,T247,eucrub
13-33,T226,eucten
13-34,RH120,euccam
13-35,QL410,eucpru
13-36,QL326,eucdis
13-37,YG168,corexi
13-38,QL174,corcla
13-39,T325,eucamy
13-40,T147,eucnit
13-41,T223,eucten
13-42,RH096,eucgil
13-43,KG051,euchae
13-44,QL405,corpoc
13-45,T381,eucrub
13-46,T401,eucten
13-47,QL156,eucfib
13-48,RH064,eucsoc
15-33,RH119,euccam
15-34,YG128,eucpun
15-35,YG085,euccre
