extraction_number,sample_number,species_confirmed
,YG010,acapar
,YG095,acaimp
,QL077,acaman
,RH088,acaosw
,RH084,acaosw
,QL190,acacra
,YG035,acaimp
,YG138,acabin
,YG009,acapar
,YG013,podili
,QL073,acaman
,QL381,acashi
,RH109,grestr
,QL101,grepar
,QL097,grepar
,QL105,grepar
,KG009,haklae
,QL349,grepar
,KG092,xylpyr
,KG060,haklae
,T240,banmar
,KG128,xylpyr
,QL247,perfal
,KG052,perlev
,KG025,perlev
,YG050,0
,RH113,grestr
,QL061,grehil
,KG108,xylpyr
,RH050,greane
,T236,banmar
,RH046,greane
,RH042,greane
,KG072,haklae
,KG084,perlev
,QL365,grestr
,T212,perjun
,QL361,grestr
,T040,orirev
,YG130,gremuc
,QL353,grepar
,T044,orirev
,YG163,grebux
,QL443,hakarb
,T277,banmar
,QL357,grepar
,QL433,hakcho
,T355,lomtin
,YG001,gremuc
,YG194,grebux
,QL183,banaqu
,RH105,grestr
,QL065,grehil
,QL033,darfer
,QL369,grestr
,QL270,gregla
,KG064,grespe
,T094,teltru
,QL268,gregla
,KG056,grespe
,T285,banmar
,YG193,hakdac
,T077,banmar
,QL437,hakcho
,YG178,grebux
,QL441,hakcho
,KG096,greser
,QL169,banaqu
,QL041,carsub
,T281,banmar
,YG005,perlin
,T048,orirev
,YG189,hakdac
,KG124,greser
,QL179,banaqu
,T208,perjun
,YG058,gremuc
,T073,banmar
,T081,banmar
,T126,oridiv
,T118,oridiv
,T106,lompol
32-19,YG003,gremuc
,T172,teltru
,T036,oriaci
,T110,lompol
,YG171,hakdac
,KG112,greser
,YG205,hakdac
,QL029,darfer
,QL069,grehil
,T176,teltru
,T122,oridiv
,T114,lompol
,T032,oriaci
,T004,haklis
,QL025,darfer
,QL442,hakarb
,T028,oriaci
,QL269,gregla
,T192,agaodo
,T184,agaodo
,T318,hakmeg
,T314,hakmeg
32-20,YG002,gremuc
,KG017,grespe
,QL255,perfal
,QL444,hakarb
,QL292,gregla
32-21,YG004,gremuc
,YG047,0
,T310,hakmeg
,QL335,gremim
,QL045,carsub
,YG046,0
,QL037,carsub
,QL012,athdiv
,YG049,0
,QL251,perfal
,QL296,gregla
,T012,haklis
,T188,agaodo
,T008,haklis
,QL300,gregla
,QL004,athdiv
,T102,teltru
,T180,teltru
,T204,cennit
,QL008,athdiv
,YG110,perlin
,T196,cennit
32-22,YG008,perlin
,T200,cennit
,T098,teltru
,QL336,gremim
,YG065,perlin
32-23,YG007,perlin
,QL334,gremim
,T232,banmar
32-24,YG006,perlin
,YG052,0
,YG051,0
,YG053,0
,YG048,0
,YG025,0
,YG026,0
,YG027,0
,YG024,0
,YG040,breobl
,YG041,breobl
,YG039,breobl
,YG036,breobl
,YG038,breobl
,YG037,breobl
,YG198,0
,T388,0
,T216,0
,RH033,0
,RH032,0
,KG002,0
