sample,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
YG155,acabin,-32.7817,150.9291,sen,4,NSW_Yengo_N,140609
QL052,acacel,-17.37241,145.74322,old,2,QLD_Bartlefrere,150806
QL054,acacel,-17.36894,145.74353,new,3,QLD_Bartlefrere,150806
QL050,acacel,-17.37241,145.74322,new,2,QLD_Bartlefrere,150806
QL055,acacel,-17.36894,145.74353,mid,3,QLD_Bartlefrere,150806
QL048,acacel,-17.37241,145.74322,old,1,QLD_Bartlefrere,150806
QL056,acacel,-17.36894,145.74353,old,3,QLD_Bartlefrere,150806
QL047,acacel,-17.37241,145.74322,mid,1,QLD_Bartlefrere,150806
QL046,acacel,-17.37241,145.74322,new,1,QLD_Bartlefrere,150806
QL051,acacel,-17.37241,145.74322,mid,2,QLD_Bartlefrere,150806
QL049,acacel,-17.37241,145.74322,sen,1,QLD_Bartlefrere,150806
QL057,acacel,-17.36894,145.74353,sen,3,QLD_Bartlefrere,150806
QL053,acacel,-17.37241,145.74322,sen,2,QLD_Bartlefrere,150806
QL390,acacol,-18.16105,142.21069,old,1,QLD_Croydon,150823
QL389,acacol,-18.16105,142.21069,mid,1,QLD_Croydon,150823
QL388,acacol,-18.16105,142.21069,new,1,QLD_Croydon,150823
QL395,acacol,-18.16105,142.21069,mid,3,QLD_Croydon,150823
QL392,acacol,-18.16105,142.21069,mid,2,QLD_Croydon,150823
QL396,acacol,-18.16105,142.21069,old,3,QLD_Croydon,150823
QL394,acacol,-18.16105,142.21069,new,3,QLD_Croydon,150823
QL393,acacol,-18.16105,142.21069,old,2,QLD_Croydon,150823
QL391,acacol,-18.16105,142.21069,new,2,QLD_Croydon,150823
QL382,acacol,-18.16105,142.21069,sen,1,QLD_Croydon,150823
QL384,acacol,-18.16105,142.21069,sen,3,QLD_Croydon,150823
QL383,acacol,-18.16105,142.21069,sen,2,QLD_Croydon,150823
QL192,acacra,-17.92285,146.06817,mid,2,QLD_Mission_Beach,150812
QL196,acacra,-17.92285,146.06817,mid,3,QLD_Mission_Beach,150812
QL188,acacra,-17.92285,146.06817,mid,1,QLD_Mission_Beach,150812
QL189,acacra,-17.92285,146.06817,old,1,QLD_Mission_Beach,150812
QL195,acacra,-17.92285,146.06817,new,3,QLD_Mission_Beach,150812
QL197,acacra,-17.92285,146.06817,old,3,QLD_Mission_Beach,150812
QL187,acacra,-17.92285,146.06817,new,1,QLD_Mission_Beach,150812
QL191,acacra,-17.92285,146.06817,new,2,QLD_Mission_Beach,150812
QL193,acacra,-17.92285,146.06817,old,2,QLD_Mission_Beach,150812
QL194,acacra,-17.92285,146.06817,sen,2,QLD_Mission_Beach,150812
QL198,acacra,-17.92285,146.06817,sen,3,QLD_Mission_Beach,150812
QL190,acacra,-17.92285,146.06817,sen,1,QLD_Mission_Beach,150812
T069,acadea,-42.91482,147.24619,old,3,TAS_The_Springs,150302
T065,acadea,-42.91482,147.24619,mid,2,TAS_The_Springs,150302
T067,acadea,-42.91482,147.24619,new,3,TAS_The_Springs,150302
T066,acadea,-42.91482,147.24619,old,2,TAS_The_Springs,150302
T068,acadea,-42.91482,147.24619,mid,3,TAS_The_Springs,150302
T061,acadea,-42.91482,147.24619,new,1,TAS_The_Springs,150302
T064,acadea,-42.91482,147.24619,new,2,TAS_The_Springs,150302
T063,acadea,-42.91482,147.24619,old,1,TAS_The_Springs,150302
T062,acadea,-42.91482,147.24619,mid,1,TAS_The_Springs,150302
T254,acadea,-42.38633,147.05022,mid,1,TAS_Bothwell,150309
T257,acadea,-42.38633,147.05022,mid,2,TAS_Bothwell,150309
T258,acadea,-42.38633,147.05022,old,2,TAS_Bothwell,150309
T253,acadea,-42.38633,147.05022,new,1,TAS_Bothwell,150309
T256,acadea,-42.38633,147.05022,new,2,TAS_Bothwell,150309
T259,acadea,-42.38633,147.05022,new,3,TAS_Bothwell,150309
T260,acadea,-42.38633,147.05022,mid,3,TAS_Bothwell,150309
T261,acadea,-42.38633,147.05022,old,3,TAS_Bothwell,150309
T255,acadea,-42.38633,147.05022,old,1,TAS_Bothwell,150309
T346,acadec,-42.84638,147.43151,new,2,TAS_Mt_Canopus,150312
T347,acadec,-42.84638,147.43151,mid,2,TAS_Mt_Canopus,150312
T350,acadec,-42.84638,147.43151,mid,3,TAS_Mt_Canopus,150312
T345,acadec,-42.84638,147.43151,old,1,TAS_Mt_Canopus,150312
T343,acadec,-42.84638,147.43151,new,1,TAS_Mt_Canopus,150312
T349,acadec,-42.84638,147.43151,new,3,TAS_Mt_Canopus,150312
T351,acadec,-42.84638,147.43151,old,3,TAS_Mt_Canopus,150312
T348,acadec,-42.84638,147.43151,old,2,TAS_Mt_Canopus,150312
T344,acadec,-42.84638,147.43151,mid,1,TAS_Mt_Canopus,150312
YG094,acafal,-32.7817,150.9291,new,1,NSW_Yengo_N,140525
YG092,acafal,-32.7817,150.9291,old,1,NSW_Yengo_N,140525
YG093,acafal,-32.7817,150.9291,mid,1,NSW_Yengo_N,140525
YG091,acafal,-32.7817,150.9291,sen,1,NSW_Yengo_N,140525
YG107,acafal,-32.7817,150.9291,new,2,NSW_Yengo_N,140607
