sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2
QL139,115.4852095,15635.02965
QL146,123.3149595,16122.79702
T155,55.06919775,19173.12429
QL397,48.69521448,14844.69128
QL231,67.30859355,15070.13379
YG188,46.18192004,18102.00568
T014,50.6151701,16309.91428
QL131,69.80686383,15696.44623
YG075,53.62002808,13387.94955
YG020,82.23146715,11766.57343
QL150,65.09962189,11498.41812
QL400,42.23714999,14360.45374
QL241,62.18169409,14500.90067
RH059,67.93123164,26502.07409
RH103,60.25474297,26597.82
QL450,58.589057,14327.3814
QL401,42.30019872,15229.57131
QL327,36.5378587,7824.309876
QL406,46.57041871,13381.8491
T403,46.81982652,13907.39567
T321,65.25365374,14658.2419
T323,69.61730292,17530.18627
T320,63.13068525,14215.56736
T015,51.43708156,17119.7142
QL149,88.85093888,11715.99935
QL407,33.11605834,9323.571935
KG036,45.27561362,11716.39022
RH007,73.20116796,19695.67173
YG022,37.87614789,12588.3429
QL170,71.55563149,13744.69052
QL140,113.0663903,13219.24371
T333,31.88847995,13440.7893
QL133,65.67629753,15013.94123
T158,29.95516267,13038.69279
QL172,67.46813546,10775.87341
KG117,38.37472662,13373.71341
QL309,42.5344339,9752.949605
QL110,91.16801176,17627.87755
T165,43.64988389,13729.63763
RH057,43.98051817,16569.10798
T251,60.7487267,17996.65843
QL243,43.16006891,10445.85447
T145,74.3897021,18125.44738
QL240,59.02849294,13819.45919
QL412,58.77690873,18098.21068
T159,36.16500996,14413.66077
QL227,85.80204191,17233.32448
QL114,120.6200329,12797.92457
QL315,75.56058274,13783.63656
YG018,56.82922588,12769.15146
QL147,44.10229777,4900.870664
QL152,59.36841347,7880.101219
T050,38.89940357,13799.63487
QL455,68.98733875,15326.45153
T049,84.07672585,16691.20613
QL319,65.13508018,15208.86433
T167,31.50269529,10512.71506
T150,55.26273396,21488.51524
QL144,96.75400688,11355.91107
RH055,87.44873923,26635.18237
QL112,68.66718321,10694.32911
KG135,58.17189228,14187.90079
QL235,70.042531,15958.43424
QL108,57.91255804,9051.750737
T250,108.6375287,29771.67575
