month,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97
Jan-70,0.997945905,0.993115187,0.996464252,1.000233889,1.010719299,1.010719299,1.010719299,0.810128987,0.820303917,0.80916208,0.804956853,0.389022321,0.38720718,0.38720718,0.39306733,0.479369164,0.483830363,0.390632242,0.48334235,0.481545746,0.477970809,0.442685574,0.442685574,0.442685574,0.442685574,0.43867746,0.422606617,0.43625015,0.764818311,0.770094514,0.254119396,0.248297945,0.24782896,0.247782335,0.247712016,0.247701168,0.24769412,0.720494092,0.720494092,0.720494092,0.720494092,0.720494092,0.720494092,0.720494092,0.720494092,0.720494092,0.720494092,0.720494092,0.720494092,0.247529522,0.247529522,0.247529522,0.247545242,0.24755536,0.750221014,0.750221014,0.750221014,0.941458702,0.941458702,0.941458702,0.944179654,0.944179654,0.944179654,0.944179654,0.943941474,0.943941474,0.943941474,0.943941474,0.881338894,0.881875932,0.897628665,0.897628665,0.897628665,0.837652743,0.52324456,0.52324456,0.506738305,0.506738305,0.506738305,0.506738305,0.612079859,0.612079859,0.618642509,0.658078313,0.755379438,0.755379438,1.093917489,1.093917489,1.093917489,1.076009989,1.105311155,1.103337169,1.08375597,1.08375597,0.742041409,0.803535998,0.784808815
Feb-70,1.247659087,1.247644305,1.247648597,1.247687936,1.247706532,1.247706532,1.247706532,1.248164296,1.248149037,1.248146892,1.247825146,0.762679517,0.760297418,0.760297418,0.764988542,0.876206875,0.892530143,0.757963359,0.882107258,0.885382414,0.875350654,0.773568451,0.773568451,0.773568451,0.773568451,0.765728176,0.718787968,0.760710657,1.228828549,1.234156013,0.470682472,0.311434209,0.246910989,0.246861458,0.246765643,0.246750027,0.246741638,0.571705282,0.571705282,0.571705282,0.571705282,0.571705282,0.571705282,0.571705282,0.571705282,0.571705282,0.571705282,0.571705282,0.571705282,0.246528223,0.246528223,0.246528223,0.246564046,0.246538162,0.646205962,0.646205962,0.646205962,0.828787923,0.828787923,0.828787923,0.83418119,0.83418119,0.83418119,0.83418119,0.83477962,0.83477962,0.83477962,0.83477962,0.931817412,0.935591161,0.949004173,0.949004173,0.949004173,0.856421947,0.568527222,0.568527222,0.546197414,0.546197414,0.546197414,0.546197414,0.6325863,0.6325863,0.64190495,0.700520694,0.773158669,0.773158669,1.243549705,1.243549705,1.243549705,1.243836403,1.243311167,1.243327379,1.243861079,1.243861079,0.818838716,0.982748568,0.965408742
Mar-70,1.246627688,1.246612787,1.246616125,1.246657729,1.246680379,1.246680379,1.246680379,1.247205853,1.247183681,1.247187376,1.247076869,1.202319503,1.199765563,1.199765563,1.201984167,1.243916154,1.24541378,1.199750185,1.244587779,1.245012164,1.244245529,1.214771271,1.214771271,1.214771271,1.214771271,1.207116604,1.171438813,1.20356369,1.247113705,1.247155905,0.535577059,0.380437493,0.243354768,0.243285328,0.24317807,0.243084177,0.243074402,0.425107062,0.425107062,0.425107062,0.425107062,0.425107062,0.425107062,0.425107062,0.425107062,0.425107062,0.425107062,0.425107062,0.425107062,0.277260274,0.277260274,0.277260274,0.27571553,0.279132575,0.482445508,0.482445508,0.482445508,0.760200739,0.760200739,0.760200739,0.769832015,0.769832015,0.769832015,0.769832015,0.775269806,0.775269806,0.775269806,0.775269806,1.214285016,1.213821292,1.218289852,1.218289852,1.218289852,1.190958738,0.952898085,0.952898085,0.922493696,0.922493696,0.922493696,0.922493696,1.011144161,1.011144161,1.025348425,1.054469824,0.936383605,0.936383605,1.239634275,1.239634275,1.239634275,1.239802241,1.239515066,1.239523411,1.239990473,1.239990473,1.096204281,1.188078642,1.167971373
Apr-70,1.244545102,1.244516015,1.244529605,1.244588852,1.244634748,1.244634748,1.244634748,1.245273232,1.245214343,1.245240569,1.244965792,0.958219886,0.953812778,0.953812778,0.968010187,1.243511438,1.243567228,0.950540841,1.243469715,1.243717551,1.24380374,1.243377328,1.243377328,1.243377328,1.243377328,1.24221611,1.138773918,1.235968232,1.244789481,1.244937658,0.304282695,0.268483162,0.256226987,0.2616072,0.286584228,0.285563797,0.290058106,0.458996892,0.458996892,0.458996892,0.458996892,0.458996892,0.458996892,0.458996892,0.458996892,0.458996892,0.458996892,0.458996892,0.458996892,0.623136282,0.623136282,0.623136282,0.620148599,0.644168913,0.47030586,0.47030586,0.47030586,0.847658694,0.847658694,0.847658694,0.859946728,0.859946728,0.859946728,0.859946728,0.866526484,0.866526484,0.866526484,0.866526484,1.231550813,1.231282115,1.231379986,1.231379986,1.231379986,1.231192589,1.226037741,1.226037741,1.199530959,1.199530959,1.199530959,1.199530959,1.234351516,1.234351516,1.234548926,1.234897971,1.109962583,1.109962583,1.231161833,1.231161833,1.231161833,1.231439948,1.231205821,1.230537415,1.23107183,1.23107183,1.235721827,1.230893016,1.225907922
May-70,1.240968943,1.240914822,1.240927577,1.241022587,1.241086483,1.241086483,1.241086483,1.241534472,1.241523385,1.241477489,1.241170049,0.271685869,0.27003476,0.27003476,0.27388218,1.233749509,1.238817215,0.270159304,1.231485724,1.231431246,1.225096345,0.949102998,0.949102998,0.949102998,0.949102998,0.791326523,0.48376596,0.721277952,1.240496039,1.240473151,0.238922641,0.238664448,0.235538676,0.239873573,0.266363114,0.262368977,0.267161012,0.358453333,0.358453333,0.358453333,0.358453333,0.358453333,0.358453333,0.358453333,0.358453333,0.358453333,0.358453333,0.358453333,0.358453333,0.792932272,0.792932272,0.792932272,0.785927296,0.81083256,0.356124073,0.356124073,0.356124073,0.62076062,0.62076062,0.62076062,0.631120563,0.631120563,0.631120563,0.631120563,0.636922777,0.636922777,0.636922777,0.636922777,1.215180039,1.215245724,1.215001225,1.215001225,1.215001225,1.214820266,1.209563971,1.209563971,1.208101153,1.208101153,1.208101153,1.208101153,1.21582973,1.21582973,1.215888381,1.215655088,1.201362491,1.201362491,1.211254358,1.211254358,1.211254358,1.211223245,1.210514903,1.210319996,1.211397529,1.211397529,1.217092991,1.216231465,1.215907335
Jun-70,1.238241315,1.238214135,1.238215089,1.238287687,1.238340497,1.238340497,1.238340497,1.238371491,1.238341451,1.238325953,1.23805964,0.236513823,0.236563146,0.236563146,0.236531064,0.685549378,0.76152724,0.23654224,0.66564852,0.663390398,0.622867584,0.297735304,0.297735304,0.297735304,0.297735304,0.258461982,0.236154437,0.248146072,1.237685561,1.237727761,0.235539779,0.235150844,0.220594212,0.220364481,0.219898015,0.219455093,0.219431803,0.272402495,0.272402495,0.272402495,0.272402495,0.272402495,0.272402495,0.272402495,0.272402495,0.272402495,0.272402495,0.272402495,0.272402495,0.444922805,0.444922805,0.444922805,0.440048486,0.466531217,0.317099512,0.317099512,0.317099512,0.578344882,0.578344882,0.578344882,0.587063372,0.587063372,0.587063372,0.587063372,0.592531741,0.592531741,0.592531741,0.592531741,1.199447155,1.198837638,1.199150443,1.199150443,1.199150443,1.198654652,1.192437887,1.192437887,1.192233682,1.192233682,1.192233682,1.192233682,1.196321011,1.196321011,1.196119547,1.196671724,1.192506433,1.192506433,1.190166473,1.190166473,1.190166473,1.19136858,1.190419912,1.189665914,1.192061067,1.192061067,1.196833491,1.196656108,1.195945978
Jul-70,1.238430619,1.238387465,1.23838973,1.238477111,1.238533258,1.238533258,1.238533258,1.238581777,1.238540649,1.238527417,1.238234997,0.236968651,0.237046123,0.237046123,0.237021506,0.254274577,0.264548957,0.236993998,0.252630472,0.252769977,0.249086231,0.240065217,0.240065217,0.240065217,0.240065217,0.239559472,0.238534823,0.239226982,0.955472052,1.074697256,0.235812217,0.235503614,0.222109899,0.221871361,0.221404523,0.221185908,0.221164346,0.219881162,0.219881162,0.219881162,0.219881162,0.219881162,0.219881162,0.219881162,0.219881162,0.219881162,0.219881162,0.219881162,0.219881162,0.237811223,0.237811223,0.237811223,0.238738075,0.245258182,0.230503395,0.230503395,0.230503395,0.33415392,0.33415392,0.33415392,0.339814931,0.339814931,0.339814931,0.339814931,0.343555242,0.343555242,0.343555242,0.343555242,1.201838255,1.200989366,1.201517582,1.201517582,1.201517582,1.200855255,1.200390577,1.200390577,1.199591398,1.199591398,1.199591398,1.199591398,1.20769906,1.20769906,1.207822084,1.208562493,1.198752642,1.198752642,1.198712349,1.198712349,1.198712349,1.200335741,1.19878757,1.197694302,1.20045495,1.20045495,1.209455848,1.19967711,1.199182153
Aug-70,1.240682602,1.240662336,1.240671396,1.240731001,1.240757585,1.240757585,1.240757585,1.241106987,1.241108179,1.241077781,1.240965962,0.240966752,0.240984887,0.240984887,0.240967005,0.52751416,0.522998452,0.240980491,0.528461456,0.524727225,0.514852881,0.429622352,0.429622352,0.429622352,0.429622352,0.422598362,0.409175426,0.421228349,0.72380662,0.802696109,0.239935279,0.239801556,0.231498554,0.231344298,0.231036142,0.231123522,0.231113359,0.311283469,0.311283469,0.311283469,0.311283469,0.311283469,0.311283469,0.311283469,0.311283469,0.311283469,0.311283469,0.311283469,0.311283469,0.55781275,0.55781275,0.55781275,0.56253922,0.57228291,0.302896351,0.302896351,0.302896351,0.436833501,0.436833501,0.436833501,0.442729086,0.442729086,0.442729086,0.442729086,0.445679218,0.445679218,0.445679218,0.445679218,1.221743584,1.221602678,1.221433282,1.221433282,1.221433282,1.221072078,1.220836639,1.220836639,1.221041799,1.221041799,1.221041799,1.221041799,1.223114729,1.223114729,1.223653555,1.222797513,1.220504999,1.220504999,1.22013998,1.22013998,1.22013998,1.220638275,1.218997002,1.218887448,1.22027123,1.22027123,1.223423481,1.22123003,1.221306682
Sep-70,1.243721962,1.243700266,1.243703604,1.24375689,1.243778586,1.243778586,1.243778586,1.191132188,1.230395675,1.175235033,1.193443894,0.244655684,0.244687706,0.244687706,0.244657889,0.364910394,0.364770085,0.244698554,0.367621839,0.363734722,0.357536376,0.308420449,0.308420449,0.308420449,0.308420449,0.303729296,0.29707557,0.302657932,0.410497278,0.424481541,0.244085655,0.243980542,0.239393726,0.239315048,0.239284158,0.239228815,0.239242315,0.891164184,0.891164184,0.891164184,0.891164184,0.891164184,0.891164184,0.891164184,0.891164184,0.891164184,0.891164184,0.891164184,0.891164184,0.835369647,0.835369647,0.835369647,0.836703002,0.866108596,1.001370192,1.001370192,1.001370192,1.203714967,1.203714967,1.203714967,1.205050349,1.205050349,1.205050349,1.205050349,1.205272436,1.205272436,1.205272436,1.205272436,1.235131621,1.234813929,1.234928727,1.234928727,1.234928727,1.234900117,1.234041929,1.234041929,1.234053731,1.234053731,1.234053731,1.234053731,1.235610604,1.235610604,1.235693932,1.235679507,1.234549046,1.234549046,1.234287739,1.234287739,1.234287739,1.234431505,1.234085202,1.233924508,1.234939575,1.234939575,1.235605001,1.235184669,1.234985232
Oct-70,1.160616517,1.14534843,1.161319017,1.172788858,1.195752621,1.195752621,1.195752621,1.023684859,1.111304998,0.996496916,1.010710597,0.246992037,0.247022003,0.247022003,0.24701038,0.261796355,0.263314664,0.247007355,0.261349589,0.262136221,0.261047781,0.256501406,0.256501406,0.256501406,0.256501406,0.256131798,0.254119039,0.255736321,0.455546856,0.453180462,0.246734768,0.246700972,0.244423732,0.244362444,0.244242251,0.244240478,0.244232029,0.630317628,0.630317628,0.630317628,0.630317628,0.630317628,0.630317628,0.630317628,0.630317628,0.630317628,0.630317628,0.630317628,0.630317628,0.465982676,0.465982676,0.465982676,0.469123811,0.480661631,0.731155336,0.731155336,0.731155336,1.164138675,1.164138675,1.164138675,1.168920994,1.168920994,1.168920994,1.168920994,1.168704271,1.168704271,1.168704271,1.168704271,1.242431045,1.242364764,1.242302656,1.242302656,1.242302656,1.242277741,1.241887212,1.241887212,1.24193716,1.24193716,1.24193716,1.24193716,1.243043542,1.243043542,1.243197203,1.243180633,1.242433906,1.242433906,1.241808414,1.241808414,1.241808414,1.242174745,1.24164176,1.241623044,1.242195606,1.242195606,1.243627071,1.242793798,1.242800713
