Longitude,Latitude,radiation
145.75,-17.37,17.29139519
145.74,-17.37,17.31785202
145.74,-17.37,17.31785202
145.76,-17.38,17.29667282
145.76,-17.38,17.29667282
145.76,-17.38,17.29667282
145.76,-17.38,17.29667282
146.07,-17.92,17.3606739
146.01,-17.92,17.38562965
146.07,-17.92,17.3606739
145.97,-17.97,17.59077072
142.21,-18.16,21.39750099
142.21,-18.16,21.39750099
142.21,-18.16,21.39750099
142.26,-18.19,21.37915039
145.52,-18.21,18.69826889
145.54,-18.21,18.65280533
142.27,-18.22,21.38136673
145.53,-18.22,18.6968174
145.54,-18.23,18.71040535
145.53,-18.23,18.71040535
145.49,-18.3,18.73903465
145.49,-18.3,18.73903465
145.49,-18.3,18.73903465
145.49,-18.3,18.73903465
145.47,-18.32,18.83002663
145.42,-18.32,19.04671669
145.45,-18.33,18.95788956
146.08,-18.38,18.06536674
146.14,-18.44,17.90879059
138.52,-18.72,22.74596024
138.86,-19.05,22.68026352
141.88,-30.71,21.04174805
141.8,-30.82,20.96015167
141.71,-31.08,20.74793243
142.25,-31.29,20.68780136
142.28,-31.3,20.67162704
150.93,-32.78,17.51443863
150.93,-32.78,17.51443863
150.93,-32.78,17.51443863
150.93,-32.78,17.51443863
150.93,-32.78,17.51443863
150.93,-32.78,17.51443863
150.92,-32.78,17.53473473
150.92,-32.78,17.53473473
150.92,-32.78,17.53473473
150.92,-32.78,17.53473473
150.92,-32.78,17.53473473
150.92,-32.78,17.53473473
146.16,-32.96,18.94631767
146.16,-32.96,18.94631767
146.16,-32.96,18.94631767
146.17,-33,18.93049049
146.2,-33.04,18.9042263
150.68,-33.05,17.4571228
150.68,-33.05,17.4571228
150.68,-33.05,17.4571228
151.15,-33.68,16.70306015
151.15,-33.68,16.70306015
151.15,-33.68,16.70306015
151.14,-33.68,16.69971657
151.14,-33.68,16.69971657
151.14,-33.68,16.69971657
151.14,-33.68,16.69971657
151.15,-33.69,16.69332314
151.15,-33.69,16.69332314
151.15,-33.69,16.69332314
151.15,-33.69,16.69332314
148.34,-42.11,13.8950882
148.34,-42.12,13.88896275
148.34,-42.12,13.88896275
148.34,-42.12,13.88896275
148.34,-42.12,13.88896275
148.3,-42.14,13.92983532
147.06,-42.38,13.9423027
147.06,-42.38,13.9423027
147.05,-42.39,13.95855141
147.05,-42.39,13.95855141
147.05,-42.39,13.95855141
147.05,-42.39,13.95855141
146.41,-42.76,12.01785088
146.41,-42.76,12.01785088
146.4,-42.77,11.90762615
146.38,-42.84,11.79240227
147.43,-42.85,13.53896236
147.44,-42.85,13.53896236
147.22,-42.89,12.5469799
147.22,-42.89,12.5469799
147.22,-42.89,12.5469799
147.24,-42.89,12.9106617
147.23,-42.89,12.5469799
147.24,-42.9,12.8112278
147.25,-42.91,12.98399734
147.25,-42.91,12.98399734
146.28,-43.04,11.60348415
147.95,-43.04,13.11548996
147.95,-43.04,13.11548996
