sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2,percent_ovalb_of_total_protein
KG059,82.21256389,11034.18674,0.226641688
T095,80.55518376,24189.5798,0.103015198
YG176,55.84495545,9978.547737,0.250895562
QL178,60.80370991,19702.95738,0.127531098
T360,39.66047821,4966.298047,0.503366685
T276,59.86493106,12123.11661,0.205648
QL040,84.82438965,9605.389687,0.260882169
QL022,150.0522964,9103.068924,0.273941477
RH068,68.07258758,16505.97398,0.150587912
QL176,94.98652335,31879.54926,0.078458001
QL462,40.43048499,14333.42168,0.174929623
QL341,70.23700637,18225.19841,0.13689443
YG165,61.37904246,11893.00123,0.209904916
T091,79.76633635,28001.29737,0.089151173
QL028,87.01107605,8458.818549,0.294975675
QL248,76.05174732,14639.8448,0.170693102
T357,37.32036714,5771.910724,0.432294813
T074,63.32121826,14357.2324,0.173244222
T189,45.02595877,14402.9804,0.173549937
T193,69.18479225,12350.31961,0.201678424
QL035,91.28513417,10399.57621,0.240573885
QL337,89.43983998,21987.56593,0.113621084
RH072,56.54645114,15331.5233,0.162741366
T264,44.25425631,9709.336419,0.256095367
YG208,66.40132642,18777.18374,0.133345391
QL202,80.35948906,16425.95438,0.166738075
T284,60.91705242,14648.60823,0.171478742
QL287,65.45571481,18852.46654,0.161007787
KG125,76.19409476,12699.90888,0.329125249
T239,76.91058287,21044.16261,0.20867582
QL034,105.7016673,12655.52742,0.197182487
T079,67.32635318,21737.0048,0.115828316
QL272,47.05976598,9159.915094,0.272183627
T203,28.49718229,5117.659764,0.490990783
QL002,90.74680493,6829.570613,0.366025273
YG206,65.23883119,17650.78947,0.150350616
QL100,36.71240946,9479.897975,0.264374269
RH071,49.89799493,13699.76025,0.183032424
QL205,58.09214809,11984.16193,0.208466532
T195,33.04556686,9100.004801,0.273440748
YG068,113.2849878,14527.37804,0.171779353
KG075,53.74697098,20145.9177,0.123549462
QL014,85.66814281,9330.716153,0.26856197
KG097,41.89386901,7291.216691,0.344328105
T179,36.21873957,11602.36973,0.216380959
QL062,80.57282953,14470.64757,0.173092785
QL001,111.5030375,8518.567968,0.294004037
T113,31.30840147,10077.50728,0.247002289
KG067,75.84995093,11946.10386,0.209647622
QL275,75.26266397,14307.03728,0.174534879
T206,33.67241799,7786.95105,0.321763619
T263,66.61693224,11208.59318,0.223174241
QL203,65.08416919,12656.51138,0.198114248
QL006,81.88339512,10192.89836,0.245976824
QL290,60.22550865,13032.90592,0.19174469
QL351,38.91534341,11037.56001,0.225675021
T121,31.64873815,12278.4061,0.203835251
T071,60.92276296,17975.49943,0.138829859
T097,53.40097034,17334.41976,0.14538634
T177,66.23835958,18059.43694,0.138516095
T194,42.12846499,10989.0445,0.227187097
KG087,72.17250363,15204.18706,0.163344582
QL082,96.63008787,20444.59627,0.121940802
KG113,39.68398425,5406.167358,0.461096148
QL250,57.97455421,14584.64433,0.171979003
RH079,32.55181054,37315.4127,0.065466078
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
