sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2,percent_ovalb_of_total_protein
YG121,78.82066197,16628.05572,0.150395083
QL329,50.47671583,10303.11507,0.243505997
QL173,67.52726863,13576.1926,0.184771122
T402,81.09074194,20952.82197,0.118567773
T146,52.22649093,16986.51073,0.146128169
KG121,42.05437528,10634.00189,0.235052554
QL308,39.54827761,10501.76056,0.237527942
KG107,58.50596351,18742.98138,0.13473897
YG072,68.47563195,10732.06835,0.233376759
KG141,58.25955235,15926.90515,0.156518729
QL415,52.01667468,14337.46628,0.175037758
RH010,57.21640038,17910.64083,0.139656642
QL230,75.8905604,17696.84694,0.141049037
T378,92.78966373,23751.89667,0.105661957
QL141,81.67836045,9013.775679,0.276638806
KG119,57.79017151,17640.60296,0.141167363
KG037,48.52413931,12382.88098,0.202862633
YG118,51.51709491,13953.91186,0.179827396
T017,106.819163,27897.90787,0.089412577
QL312,29.66544249,6812.169521,0.368757993
QL313,78.02297836,16542.38609,0.150702342
T341,50.78665552,20350.58487,0.121763995
T399,36.43031144,11027.84831,0.226424809
QL399,43.06511638,13817.32342,0.18224208
RH101,37.83883163,14140.34409,0.176637699
RH117,97.72759391,16128.27717,0.155468095
T324,53.29214339,13312.60152,0.187110526
QL402,34.45076429,11136.49699,0.225562709
YG170,32.67839909,11128.74086,0.223423699
KG139,43.46701184,11784.10171,0.213773612
KG103,50.72578924,12621.18557,0.199003211
T407,42.59914204,11216.48981,0.223461724
QL226,75.4926437,16953.04083,0.146746374
T021,93.41536961,23940.74773,0.104526703
QL404,39.10348588,13467.02576,0.186921941
T329,40.49137915,9049.114065,0.277300672
QL143,84.31387846,9566.604156,0.261741483
QL145,74.51410019,9682.929149,0.258216634
RH098,25.72174081,10602.1877,0.23468829
QL317,55.40500578,10459.96914,0.238253203
QL448,46.05834473,13718.21632,0.181694733
KG050,42.073672,14768.3759,0.169400098
T163,43.81316988,13771.32726,0.182399516
YG031,42.25125591,8227.754167,0.306683108
QL107,51.64355852,8764.877698,0.285200317
QL233,98.81466986,18719.49645,0.132761448
RH121,77.69376594,22053.72788,0.112586194
QL142,144.5063327,19100.96452,0.130906766
KG102,53.51953919,13063.08271,0.190555681
T151,41.32971482,13211.88847,0.190324019
QL134,50.09240259,9597.092715,0.261575507
YG169,44.60672812,14397.62073,0.172571931
QL332,45.56348495,9748.239259,0.257488048
QL408,28.80934962,9473.518037,0.264983609
T380,101.5602364,17276.64976,0.144397956
T340,91.6019,30271.97328,0.083037493
RH100,47.33512717,16331.62925,0.153251554
QL115,121.5156145,18730.17473,0.133026225
T331,86.05350394,27052.8017,0.092171912
QL398,48.47045504,16934.6388,0.147856799
KG143,59.81962089,15422.31008,0.162082513
T057,89.42164361,16668.74909,0.151030804
