"","site_id","tavg_recent_year","tmax_recent_year","prec_recent_year","VP_recent_year","Latitude","Longitude","site_revised","date"
"1",1,27.2606027270017,35.0803013213693,313.800000652671,11.9729314830205,-18.71986,138.52217,"QLD_Lawn_Hill",2015-08-26
"2",2,27.6756712534656,35.4317260585419,267.800000272691,11.3234794649359,-19.04745,138.8575,"QLD_Lawn_Hill",2015-08-25
"3",3,19.8904109104115,26.8875889843457,360.699999548495,8.99972601786052,-31.0831,141.71401,"NSW_Fowlers_Gap",2015-04-09
"4",4,20.5225342258122,27.6135616067338,349.500002518296,8.94419178636107,-30.81876,141.7987,"NSW_Fowlers_Gap",2015-04-09
"5",5,20.7710684972675,27.8684383653615,333.700000405312,9.00254794016276,-30.7094,141.87689,"NSW_Fowlers_Gap",2015-04-09
"6",6,27.8383424732783,34.7736438698965,345.699996829033,16.5155343029597,-18.16105,142.21069,"QLD_Croydon",2015-08-23
"7",6,27.8383424732783,34.7736438698965,345.699996829033,16.5155343029597,-18.16105,142.21069,"QLD_Croydon",2015-08-22
"8",7,27.8366712413422,34.7690137366726,345.699996829033,16.5055343040048,-18.15871,142.21484,"QLD_Croydon",2015-08-22
"9",8,19.8635616234874,27.0218355936547,345.799998402596,8.96983560405365,-31.29462,142.25054,"NSW_Mutawintji",2015-04-10
"10",9,27.6851370406477,34.6331507591352,352.300002872944,16.3248493103132,-18.18903,142.26241,"QLD_Croydon",2015-08-23
"11",10,27.6834658087116,34.628411034362,352.300002872944,16.3152602692173,-18.21837,142.27066,"QLD_Croydon",2015-08-22
"12",11,19.7718767050756,26.8976712109291,350.79999897629,8.86767123366055,-31.29606,142.27874,"NSW_Mutawintji",2015-04-10
"13",12,21.551068522179,26.6658904611248,363.000000238419,18.2266575068644,-18.32071,145.41898,"QLD_Princess_Hill",2015-08-19
"14",13,21.5155890206768,26.5639177975589,399.299999028444,18.4944931317682,-18.32728,145.45414,"QLD_Princess_Hill",2015-08-18
"15",14,21.4259041018682,26.4416438533835,404.300000295043,17.8293425266057,-18.31625,145.46642,"QLD_Princess_Hill",2015-08-18
"16",15,21.6294109880108,26.5946301656227,436.000000439584,18.2866027413982,-18.29731,145.48898,"QLD_Princess_Hill",2015-08-19
"17",16,21.6294109880108,26.5946301656227,436.000000439584,18.2866027413982,-18.29787,145.48911,"QLD_Princess_Hill",2015-08-19
"18",17,21.632904138957,26.5955890707774,436.000000439584,18.2876438376022,-18.29734,145.48915,"QLD_Princess_Hill",2015-08-20
"19",17,21.632904138957,26.5955890707774,436.000000439584,18.2876438376022,-18.29734,145.48915,"QLD_Princess_Hill",2015-08-19
"20",18,22.6945205388004,27.8123287096415,493.899999402463,19.7364383566869,-18.21169,145.52417,"QLD_Blencoe_Falls",2015-08-16
"21",19,21.0176575112016,25.7705205159645,562.19999755919,19.0881643282224,-18.22401,145.52532,"QLD_Blencoe_Falls",2015-08-16
"22",20,23.6408904343435,28.8199178303758,599.40000474453,20.9322191865477,-18.23223,145.53238,"QLD_Blencoe_Falls",2015-08-16
"23",21,23.6462192006307,28.82334248791,601.000004790723,20.9479178154305,-18.229,145.53618,"QLD_Blencoe_Falls",2015-08-15
"24",22,21.022904087746,25.7742739429213,563.999997533858,19.1039451481545,-18.21239,145.54145,"QLD_Blencoe_Falls",2015-08-15
"25",23,22.4403424419769,27.3146848756973,2262.70000412315,20.236630147124,-17.37241,145.74322,"QLD_Bartlefrere",2015-08-06
"26",24,22.4403424419769,27.3146848756973,2262.70000412315,20.236630147124,-17.36894,145.74353,"QLD_Bartlefrere",2015-08-06
"27",25,22.4403424419769,27.3146848756973,2262.70000412315,20.236630147124,-17.36688,145.75258,"QLD_Bartlefrere",2015-08-06
"28",26,23.0641095592551,27.9564109227429,2328.80000445992,19.8217259929605,-17.37655,145.75883,"QLD_Bartlefrere",2015-08-05
"29",27,23.0641095592551,27.9564109227429,2328.80000445992,19.8217259929605,-17.37895,145.76094,"QLD_Bartlefrere",2015-08-05
"30",28,23.0641095592551,27.9564109227429,2328.80000445992,19.8217259929605,-17.37878,145.7617,"QLD_Bartlefrere",2015-08-05
