sample,mg_Cl_a_per_m2,mg_Cl_b_per_m2,mg_Cl_total_per_m2,umol_Cl_a_per_m2,umol_Cl_b_per_m2,umol_Cl_total_per_m2
KG137,1130.485501,241.9163242,1372.401825,1264.525169,270.5999152,1535.125084
KG138,967.5264332,202.6933956,1170.219829,1082.244332,226.7263932,1308.970726
KG139,624.3171292,133.5064098,757.823539,698.3413078,149.3360288,847.6773366
KG140,,,,,,
KG141,1077.503661,225.6300946,1303.133755,1205.261365,252.3826562,1457.644021
KG142,621.2076419,112.1881046,733.3957465,694.8631341,125.4900499,820.353184
KG143,854.0663661,140.1975654,994.2639314,955.3315057,156.8205429,1112.152049
KG144,,,,,,
QL001,,,,,,
QL002,,,,,,
QL003,,,,,,
QL004,,,,,,
QL005,,,,,,
QL006,,,,,,
QL007,,,,,,
QL008,,,,,,
QL009,,,,,,
QL010,,,,,,
QL011,,,,,,
QL012,,,,,,
QL013,,,,,,
QL014,,,,,,
QL015,,,,,,
QL016,,,,,,
QL017,,,,,,
QL018,,,,,,
QL019,,,,,,
QL020,,,,,,
QL021,,,,,,
QL022,,,,,,
QL023,,,,,,
QL024,,,,,,
QL025,,,,,,
QL026,,,,,,
QL027,,,,,,
QL028,,,,,,
QL029,,,,,,
QL030,,,,,,
QL031,,,,,,
QL032,,,,,,
QL033,,,,,,
QL034,,,,,,
QL035,,,,,,
QL036,,,,,,
QL037,,,,,,
QL038,,,,,,
QL039,,,,,,
QL040,,,,,,
QL041,,,,,,
QL042,,,,,,
QL043,,,,,,
QL044,,,,,,
QL045,,,,,,
QL046,,,,,,
QL047,,,,,,
QL048,,,,,,
QL049,,,,,,
QL050,,,,,,
QL051,,,,,,
QL052,,,,,,
QL053,,,,,,
QL054,,,,,,
QL055,,,,,,
QL056,,,,,,
QL057,,,,,,
QL058,,,,,,
QL059,,,,,,
QL060,,,,,,
QL061,,,,,,
QL062,,,,,,
QL063,,,,,,
QL064,,,,,,
QL065,,,,,,
QL066,,,,,,
QL067,,,,,,
QL068,,,,,,
QL069,,,,,,
QL070,,,,,,
QL071,,,,,,
QL072,,,,,,
QL073,,,,,,
QL074,,,,,,
QL075,,,,,,
QL076,,,,,,
QL077,,,,,,
QL078,,,,,,
QL079,,,,,,
QL080,,,,,,
QL081,,,,,,
QL082,,,,,,
QL083,,,,,,
QL084,,,,,,
QL085,,,,,,
QL086,,,,,,
QL087,,,,,,
QL088,,,,,,
QL089,,,,,,
QL090,,,,,,
QL091,,,,,,
QL092,,,,,,
QL093,,,,,,
QL094,,,,,,
QL095,,,,,,
QL096,,,,,,
QL097,,,,,,
QL098,,,,,,
QL099,,,,,,
QL100,,,,,,
QL101,,,,,,
QL102,,,,,,
QL103,,,,,,
QL104,,,,,,
QL105,,,,,,
QL106,1301.375716,251.2488803,1552.624596,1455.677535,281.039016,1736.716551
QL107,1591.60177,280.2284823,1871.830252,1780.315179,313.4546782,2093.769857
QL108,1274.542849,238.7866886,1513.329537,1425.663142,267.0992042,1692.762346
QL109,,,,,,
QL110,1365.464528,257.6438467,1623.108375,1527.365244,288.1922223,1815.557466
QL111,4386.063865,840.3672556,5226.431121,4906.111706,940.0081158,5846.119822
QL112,2425.177601,520.0112301,2945.188831,2712.726623,581.6680426,3294.394666
QL113,,,,,,
QL114,1125.08427,187.3832959,1312.467566,1258.483523,209.6010022,1468.084526
QL115,1931.366441,353.6536481,2285.020089,2160.365146,395.5857361,2555.950882
QL116,1542.97529,336.8235343,1879.798824,1725.923143,376.7601054,2102.683248
QL117,,,,,,
QL118,,,,,,
QL119,,,,,,
QL120,,,,,,
QL121,,,,,,
QL122,,,,,,
QL123,,,,,,
QL124,,,,,,
QL125,,,,,,
QL126,,,,,,
QL127,,,,,,
QL128,,,,,,
QL129,,,,,,
QL130,1006.615071,187.0249827,1193.640054,1125.967641,209.2002043,1335.167845
QL131,1955.409905,396.9131483,2352.323053,2187.259401,443.9744388,2631.23384
QL132,3209.250142,673.8595783,3883.109721,3589.76526,753.7579176,4343.523177
QL133,1189.686806,258.2661584,1447.952964,1330.745868,288.8883203,1619.634188
QL134,776.8115286,181.933747,958.7452756,868.9166987,203.5053098,1072.422008
QL135,1635.784412,318.8872382,1954.671651,1829.736479,356.6971345,2186.433614
QL136,2425.668988,447.0317588,2872.700747,2713.276273,500.0355244,3213.311797
QL137,1708.367974,339.5280825,2047.896056,1910.926145,379.7853272,2290.711473
QL138,2626.694601,561.6846688,3188.37927,2938.137137,628.2826273,3566.419765
QL139,3264.277816,694.9676914,3959.245507,3651.317467,777.3687823,4428.686249
QL140,3621.420574,771.5366558,4392.95723,4050.806011,863.0163935,4913.822404
QL141,3066.135631,733.0242287,3799.159859,3429.681914,819.937616,4249.61953
QL142,4106.583746,824.0611561,4930.644902,4593.494123,921.768631,5515.262754
QL143,3053.144627,706.3123543,3759.456982,3415.15059,790.0585619,4205.209152
QL144,3149.090527,731.086919,3880.177446,3522.472626,817.7706029,4340.243228
QL145,3933.817885,801.8399037,4735.657788,4400.243719,896.912644,5297.156363
QL146,2421.587551,489.9947558,2911.582307,2708.710907,548.092568,3256.803475
QL147,1484.005887,344.0618019,1828.067689,1659.961842,384.8566017,2044.818444
QL148,3159.116672,619.1732533,3778.289925,3533.687553,692.5875317,4226.275084
QL149,2673.051676,590.958506,3264.010182,2989.990689,661.0274117,3651.018101
QL150,2678.262377,594.6817081,3272.944085,2995.819213,665.1920673,3661.011281
QL151,1431.191483,314.8395652,1746.031048,1600.885327,352.1695361,1953.054863
QL152,2714.036044,593.927366,3307.96341,3035.834501,664.3482841,3700.182785
QL153,1761.2218,426.7300668,2187.951866,1970.046756,477.3266966,2447.373452
QL154,2564.990253,599.0038766,3163.99413,2869.116614,670.0267076,3539.143322
QL155,2174.314741,500.3278047,2674.642545,2432.119397,559.6507882,2991.770185
QL156,2419.275455,551.0387035,2970.314158,2706.12467,616.3743887,3322.499059
QL157,,,,,,
QL158,,,,,,
QL159,,,,,,
QL160,,,,,,
QL161,,,,,,
QL162,,,,,,
QL163,,,,,,
QL164,,,,,,
QL165,,,,,,
QL166,,,,,,
QL167,,,,,,
QL168,,,,,,
QL169,,,,,,
QL170,1523.269359,322.5093143,1845.778673,1703.880714,360.7486738,2064.629388
QL171,2325.62538,486.8596651,2812.485045,2601.370671,544.5857551,3145.956426
QL172,2460.394364,541.9802597,3002.374624,2752.118976,606.2419012,3358.360877
QL173,1908.610827,360.0833962,2268.694223,2134.911439,402.7778481,2537.689287
QL174,2607.175599,570.357719,3177.533318,2916.303803,637.9840257,3554.287828
QL175,3392.615692,680.5675309,4073.183223,3794.872138,761.2612203,4556.133359
QL176,,,,,,
QL177,,,,,,
QL178,,,,,,
QL179,,,,,,
QL180,,,,,,
QL181,,,,,,
QL182,,,,,,
QL183,,,,,,
QL184,1208.36488,230.1826201,1438.5475,1351.638568,257.4749666,1609.113535
QL185,2086.646283,384.2279647,2470.874247,2334.056245,429.7851955,2763.84144
QL186,1589.552334,317.1660227,1906.718357,1778.022745,354.7718375,2132.794583
QL187,,,,,,
QL188,,,,,,
QL189,,,,,,
QL190,,,,,,
QL191,,,,,,
QL192,,,,,,
QL193,,,,,,
QL194,,,,,,
QL195,,,,,,
QL196,,,,,,
QL197,,,,,,
QL198,,,,,,
QL199,,,,,,
QL200,,,,,,
QL201,,,,,,
QL202,,,,,,
QL203,,,,,,
QL204,,,,,,
QL205,,,,,,
QL206,,,,,,
QL207,,,,,,
QL208,,,,,,
QL209,,,,,,
QL210,,,,,,
QL211,,,,,,
QL212,,,,,,
QL213,,,,,,
QL214,,,,,,
QL215,,,,,,
QL216,,,,,,
QL217,,,,,,
QL218,,,,,,
QL219,,,,,,
