variable,full name,unit of measurement,description,data source,URL
pdmt,Precipitation of Driest Month,mm month-1,"Derived from monthly mean precipitation, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.13,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
pdry,Precipitation of Driest Quarter,mm quarter-1,"Derived from monthly mean precipitation, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.16,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
Amax,Maximum photosynthetic rate,?mol CO2 m?2 s?1,"Measured using Li6400XT Portable Photosynthesis System at CO2 = 1800, PAR = 1500, Tleaf = ~25",,
prec,Annual Precipitation,mm year-1,"Derived from monthly mean precipitation, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.11,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
prec_recent_month,Precipitation of recent month,mm,Total precipitation for month immediately prior to sampling,Australian Government Bureau of Meteorology Australian Water Availability Project (AWAP),http://www.bom.gov.au/web03/ncc/www/awap/rainfall/totals/daily/grid/0.05/history/nat/
prec_recent_year,Precipitation of recent year,mm,Total precipitation for year immediately prior to sampling,Australian Government Bureau of Meteorology Australian Water Availability Project (AWAP),http://www.bom.gov.au/web03/ncc/www/awap/rainfall/totals/daily/grid/0.05/history/nat/
psea,Precipitation Seasonality (Coefficient of Variation),,"Derived from monthly mean precipitation, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.14,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
pwet,Precipitation of Wettest Quarter,mm quarter-1,"Derived from monthly mean precipitation, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.15,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
pwmt,Precipitation of Wettest Month,mm month-1,"Derived from monthly mean precipitation, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.12,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
pwrm,Precipitation of Warmest Quarter,mm quarter-1,"Derived from monthly mean precipitation and minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.17,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
