sample_number,species_field,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
QL049,acacel,acacel,-17.37241,145.74322,sen,1,QLD_Bartlefrere,150806
QL051,acacel,acacel,-17.37241,145.74322,mid,2,QLD_Bartlefrere,150806
QL050,acacel,acacel,-17.37241,145.74322,new,2,QLD_Bartlefrere,150806
QL052,acacel,acacel,-17.37241,145.74322,old,2,QLD_Bartlefrere,150806
QL053,acacel,acacel,-17.37241,145.74322,sen,2,QLD_Bartlefrere,150806
QL055,acacel,acacel,-17.36894,145.74353,mid,3,QLD_Bartlefrere,150806
QL054,acacel,acacel,-17.36894,145.74353,new,3,QLD_Bartlefrere,150806
QL056,acacel,acacel,-17.36894,145.74353,old,3,QLD_Bartlefrere,150806
QL057,acacel,acacel,-17.36894,145.74353,sen,3,QLD_Bartlefrere,150806
QL389,acacol,acacol,-18.16105,142.21069,mid,1,QLD_Croydon,150823
QL388,acacol,acacol,-18.16105,142.21069,new,1,QLD_Croydon,150823
QL390,acacol,acacol,-18.16105,142.21069,old,1,QLD_Croydon,150823
QL382,acacol,acacol,-18.16105,142.21069,sen,1,QLD_Croydon,150823
QL392,acacol,acacol,-18.16105,142.21069,mid,2,QLD_Croydon,150823
QL391,acacol,acacol,-18.16105,142.21069,new,2,QLD_Croydon,150823
QL393,acacol,acacol,-18.16105,142.21069,old,2,QLD_Croydon,150823
QL383,acacol,acacol,-18.16105,142.21069,sen,2,QLD_Croydon,150823
QL395,acacol,acacol,-18.16105,142.21069,mid,3,QLD_Croydon,150823
QL394,acacol,acacol,-18.16105,142.21069,new,3,QLD_Croydon,150823
QL396,acacol,acacol,-18.16105,142.21069,old,3,QLD_Croydon,150823
QL384,acacol,acacol,-18.16105,142.21069,sen,3,QLD_Croydon,150823
QL188,acacra,acacra,-17.92285,146.06817,mid,1,QLD_Mission_Beach,150812
QL187,acacra,acacra,-17.92285,146.06817,new,1,QLD_Mission_Beach,150812
QL189,acacra,acacra,-17.92285,146.06817,old,1,QLD_Mission_Beach,150812
QL190,acacra,acacra,-17.92285,146.06817,sen,1,QLD_Mission_Beach,150812
QL192,acacra,acacra,-17.92285,146.06817,mid,2,QLD_Mission_Beach,150812
QL191,acacra,acacra,-17.92285,146.06817,new,2,QLD_Mission_Beach,150812
QL193,acacra,acacra,-17.92285,146.06817,old,2,QLD_Mission_Beach,150812
QL194,acacra,acacra,-17.92285,146.06817,sen,2,QLD_Mission_Beach,150812
QL196,acacra,acacra,-17.92285,146.06817,mid,3,QLD_Mission_Beach,150812
QL195,acacra,acacra,-17.92285,146.06817,new,3,QLD_Mission_Beach,150812
QL197,acacra,acacra,-17.92285,146.06817,old,3,QLD_Mission_Beach,150812
QL198,acacra,acacra,-17.92285,146.06817,sen,3,QLD_Mission_Beach,150812
T062,acadea,acadea,-42.91482,147.24619,mid,1,TAS_The_Springs,150302
T061,acadea,acadea,-42.91482,147.24619,new,1,TAS_The_Springs,150302
T063,acadea,acadea,-42.91482,147.24619,old,1,TAS_The_Springs,150302
T065,acadea,acadea,-42.91482,147.24619,mid,2,TAS_The_Springs,150302
T064,acadea,acadea,-42.91482,147.24619,new,2,TAS_The_Springs,150302
T066,acadea,acadea,-42.91482,147.24619,old,2,TAS_The_Springs,150302
T068,acadea,acadea,-42.91482,147.24619,mid,3,TAS_The_Springs,150302
T067,acadea,acadea,-42.91482,147.24619,new,3,TAS_The_Springs,150302
T069,acadea,acadea,-42.91482,147.24619,old,3,TAS_The_Springs,150302
T254,acadea,acadea,-42.38633,147.05022,mid,1,TAS_Bothwell,150309
T253,acadea,acadea,-42.38633,147.05022,new,1,TAS_Bothwell,150309
T255,acadea,acadea,-42.38633,147.05022,old,1,TAS_Bothwell,150309
T257,acadea,acadea,-42.38633,147.05022,mid,2,TAS_Bothwell,150309
T256,acadea,acadea,-42.38633,147.05022,new,2,TAS_Bothwell,150309
T258,acadea,acadea,-42.38633,147.05022,old,2,TAS_Bothwell,150309
T260,acadea,acadea,-42.38633,147.05022,mid,3,TAS_Bothwell,150309
T259,acadea,acadea,-42.38633,147.05022,new,3,TAS_Bothwell,150309
T261,acadea,acadea,-42.38633,147.05022,old,3,TAS_Bothwell,150309
T344,acadec,acadec,-42.84638,147.43151,mid,1,TAS_Mt_Canopus,150312
T343,acadec,acadec,-42.84638,147.43151,new,1,TAS_Mt_Canopus,150312
T345,acadec,acadec,-42.84638,147.43151,old,1,TAS_Mt_Canopus,150312
T347,acadec,acadec,-42.84638,147.43151,mid,2,TAS_Mt_Canopus,150312
T346,acadec,acadec,-42.84638,147.43151,new,2,TAS_Mt_Canopus,150312
T348,acadec,acadec,-42.84638,147.43151,old,2,TAS_Mt_Canopus,150312
T350,acadec,acadec,-42.84638,147.43151,mid,3,TAS_Mt_Canopus,150312
T349,acadec,acadec,-42.84638,147.43151,new,3,TAS_Mt_Canopus,150312
T351,acadec,acadec,-42.84638,147.43151,old,3,TAS_Mt_Canopus,150312
YG093,acafal,acafal,-32.7817,150.9291,mid,1,NSW_Yengo_N,140525
YG094,acafal,acafal,-32.7817,150.9291,new,1,NSW_Yengo_N,140525
YG092,acafal,acafal,-32.7817,150.9291,old,1,NSW_Yengo_N,140525
YG091,acafal,acafal,-32.7817,150.9291,sen,1,NSW_Yengo_N,140525
YG108,acafal,acafal,-32.7817,150.9291,mid,2,NSW_Yengo_N,140607
YG107,acafal,acafal,-32.7817,150.9291,new,2,NSW_Yengo_N,140607
YG109,acafal,acafal,-32.7817,150.9291,old,2,NSW_Yengo_N,140607
YG106,acafal,acafal,-32.7817,150.9291,sen,2,NSW_Yengo_N,140607
YG146,acafal,acafal,-32.7817,150.9291,mid,3,NSW_Yengo_N,140608
YG147,acafal,acafal,-32.7817,150.9291,new,3,NSW_Yengo_N,140608
YG143,acafal,acafal,-32.7817,150.9291,old,3,NSW_Yengo_N,140608
YG145,acafal,acafal,-32.7817,150.9291,old,3,NSW_Yengo_N,140608
YG142,acafal,acafal,-32.7817,150.9291,sen,3,NSW_Yengo_N,140608
YG144,acafal,acafal,-32.7817,150.9291,sen,3,NSW_Yengo_N,140608
YG161,acafal,acafal,-32.7817,150.9291,mid,4,NSW_Yengo_N,140609
YG162,acafal,acafal,-32.7817,150.9291,new,4,NSW_Yengo_N,140609
YG160,acafal,acafal,-32.7817,150.9291,old,4,NSW_Yengo_N,140609
YG159,acafal,acafal,-32.7817,150.9291,sen,4,NSW_Yengo_N,140609
QL119,acafla,acafla,-18.43758,146.13636,mid,1,QLD_Cardwell_S,150809
QL118,acafla,acafla,-18.43758,146.13636,new,1,QLD_Cardwell_S,150809
QL120,acafla,acafla,-18.43758,146.13636,old,1,QLD_Cardwell_S,150809
