sample_number,species_field,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
KG001,acauli,acauli,-33.6933,151.14541,sen,1,NSW_Kuringai_top,140529
KG007,acauli,acauli,-33.6933,151.14541,mid,2,NSW_Kuringai_top,140603
KG008,acauli,acauli,-33.6933,151.14541,new,2,NSW_Kuringai_top,140603
KG006,acauli,acauli,-33.6933,151.14541,old,2,NSW_Kuringai_top,140603
KG034,acauli,acauli,-33.6933,151.14541,mid,3,NSW_Kuringai_top,140604
KG035,acauli,acauli,-33.6933,151.14541,new,3,NSW_Kuringai_top,140604
KG033,acauli,acauli,-33.6933,151.14541,old,3,NSW_Kuringai_top,140604
T182,agaodo,agaodo,-43.03746,146.27668,mid,1,TAS_Red_Knoll,150307
T181,agaodo,agaodo,-43.03746,146.27668,new,1,TAS_Red_Knoll,150307
T183,agaodo,agaodo,-43.03746,146.27668,old,1,TAS_Red_Knoll,150307
T184,agaodo,agaodo,-43.03746,146.27668,sen,1,TAS_Red_Knoll,150307
T186,agaodo,agaodo,-43.03746,146.27668,mid,2,TAS_Red_Knoll,150307
T185,agaodo,agaodo,-43.03746,146.27668,new,2,TAS_Red_Knoll,150307
T187,agaodo,agaodo,-43.03746,146.27668,old,2,TAS_Red_Knoll,150307
T188,agaodo,agaodo,-43.03746,146.27668,sen,2,TAS_Red_Knoll,150307
T190,agaodo,agaodo,-43.03746,146.27668,mid,3,TAS_Red_Knoll,150307
T189,agaodo,agaodo,-43.03746,146.27668,new,3,TAS_Red_Knoll,150307
T191,agaodo,agaodo,-43.03746,146.27668,old,3,TAS_Red_Knoll,150307
T192,agaodo,agaodo,-43.03746,146.27668,sen,3,TAS_Red_Knoll,150307
YG018,angcos,angcos,-32.78244,150.92318,mid,1,NSW_Yengo_N,140419
YG017,angcos,angcos,-32.78244,150.92318,new,1,NSW_Yengo_N,140419
YG019,angcos,angcos,-32.78244,150.92318,old,1,NSW_Yengo_N,140419
YG016,angcos,angcos,-32.78244,150.92318,sen,1,NSW_Yengo_N,140419
YG081,angcos,angcos,-32.78244,150.92318,mid,2,NSW_Yengo_N,140525
YG082,angcos,angcos,-32.78244,150.92318,new,2,NSW_Yengo_N,140525
YG080,angcos,angcos,-32.78244,150.92318,old,2,NSW_Yengo_N,140525
YG079,angcos,angcos,-32.78244,150.92318,sen,2,NSW_Yengo_N,140525
YG078,angcos,angcos,-32.78244,150.92318,sen,2,NSW_Yengo_N,140525
YG122,angcos,angcos,-32.78244,150.92318,sen,3,NSW_Yengo_N,140607
YG124,angcos,angcos,-32.78244,150.92318,mid,3,NSW_Yengo_N,140608
YG125,angcos,angcos,-32.78244,150.92318,new,3,NSW_Yengo_N,140608
YG123,angcos,angcos,-32.78244,150.92318,old,3,NSW_Yengo_N,140608
KG102,anghis,angcos,-33.67856,151.14825,mid,1,NSW_Kuringai_bottom,140612
KG103,anghis,angcos,-33.67856,151.14825,new,1,NSW_Kuringai_bottom,140612
KG101,anghis,angcos,-33.67856,151.14825,old,1,NSW_Kuringai_bottom,140612
KG100,anghis,angcos,-33.67856,151.14825,sen,1,NSW_Kuringai_bottom,140612
KG122,anghis,angcos,-33.67856,151.14825,mid,2,NSW_Kuringai_bottom,140613
KG123,anghis,angcos,-33.67856,151.14825,new,2,NSW_Kuringai_bottom,140613
KG121,anghis,angcos,-33.67856,151.14825,old,2,NSW_Kuringai_bottom,140613
KG120,anghis,angcos,-33.67856,151.14825,sen,2,NSW_Kuringai_bottom,140613
KG134,anghis,angcos,-33.67856,151.14825,mid,3,NSW_Kuringai_bottom,140617
KG135,anghis,angcos,-33.67856,151.14825,new,3,NSW_Kuringai_bottom,140617
KG133,anghis,angcos,-33.67856,151.14825,old,3,NSW_Kuringai_bottom,140617
KG132,anghis,angcos,-33.67856,151.14825,sen,3,NSW_Kuringai_bottom,140617
QL002,athdiv,athdiv,-17.37895,145.76094,mid,1,QLD_Bartlefrere,150805
QL001,athdiv,athdiv,-17.37895,145.76094,new,1,QLD_Bartlefrere,150805
QL003,athdiv,athdiv,-17.37895,145.76094,old,1,QLD_Bartlefrere,150805
QL004,athdiv,athdiv,-17.37895,145.76094,sen,1,QLD_Bartlefrere,150805
QL006,athdiv,athdiv,-17.37878,145.7617,mid,2,QLD_Bartlefrere,150805
QL005,athdiv,athdiv,-17.37878,145.7617,new,2,QLD_Bartlefrere,150805
QL007,athdiv,athdiv,-17.37878,145.7617,old,2,QLD_Bartlefrere,150805
QL008,athdiv,athdiv,-17.37878,145.7617,sen,2,QLD_Bartlefrere,150805
QL010,athdiv,athdiv,-17.37655,145.75883,mid,3,QLD_Bartlefrere,150805
QL009,athdiv,athdiv,-17.37655,145.75883,new,3,QLD_Bartlefrere,150805
QL011,athdiv,athdiv,-17.37655,145.75883,old,3,QLD_Bartlefrere,150805
QL012,athdiv,athdiv,-17.37655,145.75883,sen,3,QLD_Bartlefrere,150805
T071,banmar,banmar,-42.88986,147.23655,mid,1,TAS_Mt_Wellington,150302
T070,banmar,banmar,-42.88986,147.23655,new,1,TAS_Mt_Wellington,150302
T072,banmar,banmar,-42.88986,147.23655,old,1,TAS_Mt_Wellington,150302
T073,banmar,banmar,-42.88986,147.23655,sen,1,TAS_Mt_Wellington,150302
T075,banmar,banmar,-42.88986,147.23655,mid,2,TAS_Mt_Wellington,150302
T074,banmar,banmar,-42.88986,147.23655,new,2,TAS_Mt_Wellington,150302
T076,banmar,banmar,-42.88986,147.23655,old,2,TAS_Mt_Wellington,150302
T077,banmar,banmar,-42.88986,147.23655,sen,2,TAS_Mt_Wellington,150302
T079,banmar,banmar,-42.88986,147.23655,mid,3,TAS_Mt_Wellington,150302
T078,banmar,banmar,-42.88986,147.23655,new,3,TAS_Mt_Wellington,150302
T080,banmar,banmar,-42.88986,147.23655,old,3,TAS_Mt_Wellington,150302
T081,banmar,banmar,-42.88986,147.23655,sen,3,TAS_Mt_Wellington,150302
T230,banmar,banmar,-42.38724,147.05174,mid,1,TAS_Bothwell,150309
T229,banmar,banmar,-42.38724,147.05174,new,1,TAS_Bothwell,150309
T231,banmar,banmar,-42.38724,147.05174,old,1,TAS_Bothwell,150309
T232,banmar,banmar,-42.38724,147.05174,sen,1,TAS_Bothwell,150309
T234,banmar,banmar,-42.38724,147.05174,mid,2,TAS_Bothwell,150309
T233,banmar,banmar,-42.38724,147.05174,new,2,TAS_Bothwell,150309
T235,banmar,banmar,-42.38724,147.05174,old,2,TAS_Bothwell,150309
T236,banmar,banmar,-42.38724,147.05174,sen,2,TAS_Bothwell,150309
T238,banmar,banmar,-42.38724,147.05174,mid,3,TAS_Bothwell,150309
T237,banmar,banmar,-42.38724,147.05174,new,3,TAS_Bothwell,150309
T239,banmar,banmar,-42.38724,147.05174,old,3,TAS_Bothwell,150309
T240,banmar,banmar,-42.38724,147.05174,sen,3,TAS_Bothwell,150309
T275,banmar,banmar,-42.1161,148.33585,mid,1,TAS_Freycinet,150311
T274,banmar,banmar,-42.1161,148.33585,new,1,TAS_Freycinet,150311
T276,banmar,banmar,-42.1161,148.33585,old,1,TAS_Freycinet,150311
T277,banmar,banmar,-42.1161,148.33585,sen,1,TAS_Freycinet,150311
T279,banmar,banmar,-42.1161,148.33585,mid,2,TAS_Freycinet,150311
T278,banmar,banmar,-42.1161,148.33585,new,2,TAS_Freycinet,150311
T280,banmar,banmar,-42.1161,148.33585,old,2,TAS_Freycinet,150311
T281,banmar,banmar,-42.1161,148.33585,sen,2,TAS_Freycinet,150311
T283,banmar,banmar,-42.1161,148.33585,mid,3,TAS_Freycinet,150311
T282,banmar,banmar,-42.1161,148.33585,new,3,TAS_Freycinet,150311
T284,banmar,banmar,-42.1161,148.33585,old,3,TAS_Freycinet,150311
T285,banmar,banmar,-42.1161,148.33585,sen,3,TAS_Freycinet,150311
QL167,banpla,banaqu,-17.92181,146.01045,mid,1,QLD_Mt_Mackay,150812
QL166,banpla,banaqu,-17.92181,146.01045,new,1,QLD_Mt_Mackay,150812
QL168,banpla,banaqu,-17.92181,146.01045,old,1,QLD_Mt_Mackay,150812
QL169,banpla,banaqu,-17.92181,146.01045,sen,1,QLD_Mt_Mackay,150812
QL177,banpla,banaqu,-17.92181,146.01045,mid,2,QLD_Mt_Mackay,150812
QL176,banpla,banaqu,-17.92181,146.01045,new,2,QLD_Mt_Mackay,150812
QL178,banpla,banaqu,-17.92181,146.01045,old,2,QLD_Mt_Mackay,150812
QL179,banpla,banaqu,-17.92181,146.01045,sen,2,QLD_Mt_Mackay,150812
QL181,banpla,banaqu,-17.92181,146.01045,mid,3,QLD_Mt_Mackay,150812
QL180,banpla,banaqu,-17.92181,146.01045,new,3,QLD_Mt_Mackay,150812
QL182,banpla,banaqu,-17.92181,146.01045,old,3,QLD_Mt_Mackay,150812
QL183,banpla,banaqu,-17.92181,146.01045,sen,3,QLD_Mt_Mackay,150812
YG041,breobl,breobl,-32.78244,150.92318,mid,1,NSW_Yengo_N,140420
YG038,breobl,breobl,-32.78244,150.92318,mid,1,NSW_Yengo_N,140420
YG039,breobl,breobl,-32.78244,150.92318,new,1,NSW_Yengo_N,140420
YG040,breobl,breobl,-32.78244,150.92318,old,1,NSW_Yengo_N,140420
YG037,breobl,breobl,-32.78244,150.92318,old,1,NSW_Yengo_N,140420
YG036,breobl,breobl,-32.78244,150.92318,sen,1,NSW_Yengo_N,140420
QL035,carsub,carsub,-17.36688,145.75258,mid,1,QLD_Bartlefrere,150806
QL034,carsub,carsub,-17.36688,145.75258,new,1,QLD_Bartlefrere,150806
QL036,carsub,carsub,-17.36688,145.75258,old,1,QLD_Bartlefrere,150806
QL037,carsub,carsub,-17.36688,145.75258,sen,1,QLD_Bartlefrere,150806
QL039,carsub,carsub,-17.36688,145.75258,mid,2,QLD_Bartlefrere,150806
QL038,carsub,carsub,-17.36688,145.75258,new,2,QLD_Bartlefrere,150806
QL040,carsub,carsub,-17.36688,145.75258,old,2,QLD_Bartlefrere,150806
QL041,carsub,carsub,-17.36688,145.75258,sen,2,QLD_Bartlefrere,150806
QL043,carsub,carsub,-17.36688,145.75258,mid,3,QLD_Bartlefrere,150806
QL042,carsub,carsub,-17.36688,145.75258,new,3,QLD_Bartlefrere,150806
QL044,carsub,carsub,-17.36688,145.75258,old,3,QLD_Bartlefrere,150806
QL045,carsub,carsub,-17.36688,145.75258,sen,3,QLD_Bartlefrere,150806
T194,cennit,cennit,-42.75833,146.40609,mid,1,TAS_Frodshams_Pass,150307
T193,cennit,cennit,-42.75833,146.40609,new,1,TAS_Frodshams_Pass,150307
T195,cennit,cennit,-42.75833,146.40609,old,1,TAS_Frodshams_Pass,150307
T196,cennit,cennit,-42.75833,146.40609,sen,1,TAS_Frodshams_Pass,150307
T198,cennit,cennit,-42.75833,146.40609,mid,2,TAS_Frodshams_Pass,150307
T197,cennit,cennit,-42.75833,146.40609,new,2,TAS_Frodshams_Pass,150307
T199,cennit,cennit,-42.75833,146.40609,old,2,TAS_Frodshams_Pass,150307
T200,cennit,cennit,-42.75833,146.40609,sen,2,TAS_Frodshams_Pass,150307
T202,cennit,cennit,-42.75833,146.40609,mid,3,TAS_Frodshams_Pass,150307
T201,cennit,cennit,-42.75833,146.40609,new,3,TAS_Frodshams_Pass,150307
T203,cennit,cennit,-42.75833,146.40609,old,3,TAS_Frodshams_Pass,150307
T204,cennit,cennit,-42.75833,146.40609,sen,3,TAS_Frodshams_Pass,150307
T263,conhoo,conhoo,-42.14309,148.29854,mid,1,TAS_Freycinet,150310
T262,conhoo,conhoo,-42.14309,148.29854,new,1,TAS_Freycinet,150310
T264,conhoo,conhoo,-42.14309,148.29854,old,1,TAS_Freycinet,150310
T265,conhoo,conhoo,-42.14309,148.29854,sen,1,TAS_Freycinet,150310
T267,conhoo,conhoo,-42.14309,148.29854,mid,2,TAS_Freycinet,150310
T266,conhoo,conhoo,-42.14309,148.29854,new,2,TAS_Freycinet,150310
T268,conhoo,conhoo,-42.14309,148.29854,old,2,TAS_Freycinet,150310
T269,conhoo,conhoo,-42.14309,148.29854,sen,2,TAS_Freycinet,150310
T271,conhoo,conhoo,-42.14309,148.29854,mid,3,TAS_Freycinet,150310
T270,conhoo,conhoo,-42.14309,148.29854,new,3,TAS_Freycinet,150310
T272,conhoo,conhoo,-42.14309,148.29854,old,3,TAS_Freycinet,150310
T273,conhoo,conhoo,-42.14309,148.29854,sen,3,TAS_Freycinet,150310
QL404,cor?,corpoc,-18.18903,142.26241,mid,1,QLD_Croydon,150823
QL403,cor?,corpoc,-18.18903,142.26241,new,1,QLD_Croydon,150823
QL405,cor?,corpoc,-18.18903,142.26241,old,1,QLD_Croydon,150823
QL385,cor?,corpoc,-18.18903,142.26241,sen,1,QLD_Croydon,150823
QL398,cor?,corpoc,-18.18903,142.26241,mid,2,QLD_Croydon,150823
QL397,cor?,corpoc,-18.18903,142.26241,new,2,QLD_Croydon,150823
QL399,cor?,corpoc,-18.18903,142.26241,old,2,QLD_Croydon,150823
QL386,cor?,corpoc,-18.18903,142.26241,sen,2,QLD_Croydon,150823
QL401,cor?,corpoc,-18.18903,142.26241,mid,3,QLD_Croydon,150823
QL400,cor?,corpoc,-18.18903,142.26241,new,3,QLD_Croydon,150823
QL402,cor?,corpoc,-18.18903,142.26241,old,3,QLD_Croydon,150823
QL387,cor?,corpoc,-18.18903,142.26241,sen,3,QLD_Croydon,150823
QL314,corcit,corcit,-18.29734,145.48915,mid,1,QLD_Princess_Hill,150820
QL313,corcit,corcit,-18.29734,145.48915,new,1,QLD_Princess_Hill,150820
QL315,corcit,corcit,-18.29734,145.48915,old,1,QLD_Princess_Hill,150820
QL317,corcit,corcit,-18.29734,145.48915,mid,2,QLD_Princess_Hill,150820
QL316,corcit,corcit,-18.29734,145.48915,new,2,QLD_Princess_Hill,150820
QL318,corcit,corcit,-18.29734,145.48915,old,2,QLD_Princess_Hill,150820
QL320,corcit,corcit,-18.29734,145.48915,mid,3,QLD_Princess_Hill,150820
QL319,corcit,corcit,-18.29734,145.48915,new,3,QLD_Princess_Hill,150820
QL321,corcit,corcit,-18.29734,145.48915,old,3,QLD_Princess_Hill,150820
QL171,corcla,corcla,-17.92181,146.01045,mid,1,QLD_Mt_Mackay,150812
QL170,corcla,corcla,-17.92181,146.01045,new,1,QLD_Mt_Mackay,150812
QL172,corcla,corcla,-17.92181,146.01045,old,1,QLD_Mt_Mackay,150812
QL174,corcla,corcla,-17.92181,146.01045,mid,2,QLD_Mt_Mackay,150812
QL173,corcla,corcla,-17.92181,146.01045,new,2,QLD_Mt_Mackay,150812
QL175,corcla,corcla,-17.92181,146.01045,old,2,QLD_Mt_Mackay,150812
QL185,corcla,corcla,-17.92181,146.01045,mid,3,QLD_Mt_Mackay,150812
QL184,corcla,corcla,-17.92181,146.01045,new,3,QLD_Mt_Mackay,150812
QL186,corcla,corcla,-17.92181,146.01045,old,3,QLD_Mt_Mackay,150812
YG169,corexi,corexi,-33.045,150.68326,mid,1,NSW_Yengo_S,140619
YG170,corexi,corexi,-33.045,150.68326,new,1,NSW_Yengo_S,140619
YG168,corexi,corexi,-33.045,150.68326,old,1,NSW_Yengo_S,140619
YG167,corexi,corexi,-33.045,150.68326,sen,1,NSW_Yengo_S,140619
YG187,corexi,corexi,-33.045,150.68326,mid,2,NSW_Yengo_S,140620
YG188,corexi,corexi,-33.045,150.68326,new,2,NSW_Yengo_S,140620
YG186,corexi,corexi,-33.045,150.68326,old,2,NSW_Yengo_S,140620
YG185,corexi,corexi,-33.045,150.68326,sen,2,NSW_Yengo_S,140620
YG203,corexi,corexi,-33.045,150.68326,mid,3,NSW_Yengo_S,140623
YG204,corexi,corexi,-33.045,150.68326,new,3,NSW_Yengo_S,140623
YG202,corexi,corexi,-33.045,150.68326,old,3,NSW_Yengo_S,140623
YG201,corexi,corexi,-33.045,150.68326,sen,3,NSW_Yengo_S,140623
KG037,corgum,corgum,-33.6933,151.14541,mid,1,NSW_Kuringai_top,140604
KG038,corgum,corgum,-33.6933,151.14541,new,1,NSW_Kuringai_top,140604
KG036,corgum,corgum,-33.6933,151.14541,old,1,NSW_Kuringai_top,140604
KG039,corgum,corgum,-33.6933,151.14541,sen,1,NSW_Kuringai_top,140604
KG078,corgum,corgum,-33.6933,151.14541,mid,2,NSW_Kuringai_top,140611
KG079,corgum,corgum,-33.6933,151.14541,new,2,NSW_Kuringai_top,140611
KG077,corgum,corgum,-33.6933,151.14541,old,2,NSW_Kuringai_top,140611
KG076,corgum,corgum,-33.6933,151.14541,sen,2,NSW_Kuringai_top,140611
KG142,corgum,corgum,-33.68188,151.14428,mid,3,NSW_Kuringai_bottom,140618
KG143,corgum,corgum,-33.68188,151.14428,new,3,NSW_Kuringai_bottom,140618
KG141,corgum,corgum,-33.68188,151.14428,old,3,NSW_Kuringai_bottom,140618
KG140,corgum,corgum,-33.68188,151.14428,sen,3,NSW_Kuringai_bottom,140618
QL107,corint,corint,-18.43758,146.13636,mid,1,QLD_Cardwell_S,150809
QL106,corint,corint,-18.43758,146.13636,new,1,QLD_Cardwell_S,150809
QL108,corint,corint,-18.43758,146.13636,old,1,QLD_Cardwell_S,150809
QL109,corint,corint,-18.43758,146.13636,sen,1,QLD_Cardwell_S,150809
QL111,corint,corint,-18.43758,146.13636,mid,2,QLD_Cardwell_S,150809
QL110,corint,corint,-18.43758,146.13636,new,2,QLD_Cardwell_S,150809
QL112,corint,corint,-18.43758,146.13636,old,2,QLD_Cardwell_S,150809
QL113,corint,corint,-18.43758,146.13636,sen,2,QLD_Cardwell_S,150809
QL115,corint,corint,-18.43758,146.13636,mid,3,QLD_Cardwell_S,150809
QL114,corint,corint,-18.43758,146.13636,new,3,QLD_Cardwell_S,150809
QL116,corint,corint,-18.43758,146.13636,old,3,QLD_Cardwell_S,150809
QL117,corint,corint,-18.43758,146.13636,sen,3,QLD_Cardwell_S,150809
QL449,corter,corter,-18.71986,138.52217,mid,1,QLD_Lawn_Hill,150826
QL448,corter,corter,-18.71986,138.52217,new,1,QLD_Lawn_Hill,150826
QL450,corter,corter,-18.71986,138.52217,old,1,QLD_Lawn_Hill,150826
QL445,corter,corter,-18.71986,138.52217,sen,1,QLD_Lawn_Hill,150826
QL452,corter,corter,-18.71986,138.52217,mid,2,QLD_Lawn_Hill,150826
QL451,corter,corter,-18.71986,138.52217,new,2,QLD_Lawn_Hill,150826
QL453,corter,corter,-18.71986,138.52217,old,2,QLD_Lawn_Hill,150826
QL446,corter,corter,-18.71986,138.52217,sen,2,QLD_Lawn_Hill,150826
QL455,corter,corter,-18.71986,138.52217,mid,3,QLD_Lawn_Hill,150826
QL454,corter,corter,-18.71986,138.52217,new,3,QLD_Lawn_Hill,150826
QL456,corter,corter,-18.71986,138.52217,old,3,QLD_Lawn_Hill,150826
QL447,corter,corter,-18.71986,138.52217,sen,3,QLD_Lawn_Hill,150826
QL140,cortes,cortes,-18.37945,146.07626,mid,1,QLD_Cardwell_N,150810
QL139,cortes,cortes,-18.37945,146.07626,new,1,QLD_Cardwell_N,150810
QL141,cortes,cortes,-18.37945,146.07626,old,1,QLD_Cardwell_N,150810
QL143,cortes,cortes,-18.37945,146.07626,mid,2,QLD_Cardwell_N,150810
QL142,cortes,cortes,-18.37945,146.07626,new,2,QLD_Cardwell_N,150810
QL144,cortes,cortes,-18.37945,146.07626,old,2,QLD_Cardwell_N,150810
QL146,cortes,cortes,-18.37945,146.07626,mid,3,QLD_Cardwell_N,150810
QL145,cortes,cortes,-18.37945,146.07626,new,3,QLD_Cardwell_N,150810
QL147,cortes,cortes,-18.37945,146.07626,old,3,QLD_Cardwell_N,150810
QL023,darfer,darfer,-17.36688,145.75258,mid,1,QLD_Bartlefrere,150806
QL022,darfer,darfer,-17.36688,145.75258,new,1,QLD_Bartlefrere,150806
QL024,darfer,darfer,-17.36688,145.75258,old,1,QLD_Bartlefrere,150806
QL025,darfer,darfer,-17.36688,145.75258,sen,1,QLD_Bartlefrere,150806
QL027,darfer,darfer,-17.36688,145.75258,mid,2,QLD_Bartlefrere,150806
QL026,darfer,darfer,-17.36688,145.75258,new,2,QLD_Bartlefrere,150806
QL028,darfer,darfer,-17.36688,145.75258,old,2,QLD_Bartlefrere,150806
QL029,darfer,darfer,-17.36688,145.75258,sen,2,QLD_Bartlefrere,150806
QL031,darfer,darfer,-17.36688,145.75258,mid,3,QLD_Bartlefrere,150806
QL030,darfer,darfer,-17.36688,145.75258,new,3,QLD_Bartlefrere,150806
QL032,darfer,darfer,-17.36688,145.75258,old,3,QLD_Bartlefrere,150806
QL033,darfer,darfer,-17.36688,145.75258,sen,3,QLD_Bartlefrere,150806
RH097,euc?,eucgil,-31.0831,141.71401,mid,1,NSW_Fowlers_Gap,150409
RH096,euc?,eucgil,-31.0831,141.71401,new,1,NSW_Fowlers_Gap,150409
RH098,euc?,eucgil,-31.0831,141.71401,old,1,NSW_Fowlers_Gap,150409
RH100,euc?,eucgil,-31.0831,141.71401,mid,2,NSW_Fowlers_Gap,150409
RH099,euc?,eucgil,-31.0831,141.71401,new,2,NSW_Fowlers_Gap,150409
RH101,euc?,eucgil,-31.0831,141.71401,old,2,NSW_Fowlers_Gap,150409
RH103,euc?,eucgil,-31.0831,141.71401,mid,3,NSW_Fowlers_Gap,150409
RH102,euc?,eucgil,-31.0831,141.71401,new,3,NSW_Fowlers_Gap,150409
RH104,euc?,eucgil,-31.0831,141.71401,old,3,NSW_Fowlers_Gap,150409
QL149,euc?,eucfib,-18.37945,146.07626,mid,1,QLD_Cardwell_N,150810
QL148,euc?,eucfib,-18.37945,146.07626,new,1,QLD_Cardwell_N,150810
QL150,euc?,eucfib,-18.37945,146.07626,old,1,QLD_Cardwell_N,150810
QL152,euc?,eucfib,-18.37945,146.07626,mid,2,QLD_Cardwell_N,150810
QL151,euc?,eucfib,-18.37945,146.07626,new,2,QLD_Cardwell_N,150810
QL153,euc?,eucfib,-18.37945,146.07626,old,2,QLD_Cardwell_N,150810
QL155,euc?,eucfib,-18.37945,146.07626,mid,3,QLD_Cardwell_N,150810
QL154,euc?,eucfib,-18.37945,146.07626,new,3,QLD_Cardwell_N,150810
QL156,euc?,eucfib,-18.37945,146.07626,old,3,QLD_Cardwell_N,150810
QL332,euc?,eucdis,-18.15871,142.21484,mid,1,QLD_Croydon,150822
QL331,euc?,eucdis,-18.15871,142.21484,new,1,QLD_Croydon,150822
QL333,euc?,eucdis,-18.15871,142.21484,old,1,QLD_Croydon,150822
QL322,euc?,eucdis,-18.15871,142.21484,sen,1,QLD_Croydon,150822
QL329,euc?,eucdis,-18.15871,142.21484,mid,2,QLD_Croydon,150822
QL328,euc?,eucdis,-18.15871,142.21484,new,2,QLD_Croydon,150822
QL330,euc?,eucdis,-18.15871,142.21484,old,2,QLD_Croydon,150822
QL323,euc?,eucdis,-18.15871,142.21484,sen,2,QLD_Croydon,150822
QL326,euc?,eucdis,-18.15871,142.21484,mid,3,QLD_Croydon,150822
QL325,euc?,eucdis,-18.15871,142.21484,new,3,QLD_Croydon,150822
QL327,euc?,eucdis,-18.15871,142.21484,old,3,QLD_Croydon,150822
QL324,euc?,eucdis,-18.15871,142.21484,sen,3,QLD_Croydon,150822
QL236,euc? (ironbark),eucatr,-18.23223,145.53238,mid,1,QLD_Blencoe_Falls,150816
QL235,euc? (ironbark),eucatr,-18.23223,145.53238,new,1,QLD_Blencoe_Falls,150816
QL237,euc? (ironbark),eucatr,-18.23223,145.53238,old,1,QLD_Blencoe_Falls,150816
QL220,euc? (ironbark),eucatr,-18.23223,145.53238,sen,1,QLD_Blencoe_Falls,150816
QL239,euc? (ironbark),eucatr,-18.23223,145.53238,mid,2,QLD_Blencoe_Falls,150816
QL238,euc? (ironbark),eucatr,-18.23223,145.53238,new,2,QLD_Blencoe_Falls,150816
QL240,euc? (ironbark),eucatr,-18.23223,145.53238,old,2,QLD_Blencoe_Falls,150816
QL221,euc? (ironbark),eucatr,-18.23223,145.53238,sen,2,QLD_Blencoe_Falls,150816
QL242,euc? (ironbark),eucatr,-18.23223,145.53238,mid,3,QLD_Blencoe_Falls,150816
QL241,euc? (ironbark),eucatr,-18.23223,145.53238,new,3,QLD_Blencoe_Falls,150816
QL243,euc? (ironbark),eucatr,-18.23223,145.53238,old,3,QLD_Blencoe_Falls,150816
QL222,euc? (ironbark),eucatr,-18.23223,145.53238,sen,3,QLD_Blencoe_Falls,150816
QL227,"euc? (silver, smooth)",eucter,-18.22401,145.52532,mid,1,QLD_Blencoe_Falls,150816
QL226,"euc? (silver, smooth)",eucter,-18.22401,145.52532,new,1,QLD_Blencoe_Falls,150816
QL229,"euc? (silver, smooth)",eucter,-18.22401,145.52532,old,1,QLD_Blencoe_Falls,150816
QL223,"euc? (silver, smooth)",eucter,-18.22401,145.52532,sen,1,QLD_Blencoe_Falls,150816
QL230,"euc? (silver, smooth)",eucter,-18.22401,145.52532,mid,2,QLD_Blencoe_Falls,150816
QL228,"euc? (silver, smooth)",eucter,-18.22401,145.52532,new,2,QLD_Blencoe_Falls,150816
QL231,"euc? (silver, smooth)",eucter,-18.22401,145.52532,old,2,QLD_Blencoe_Falls,150816
QL224,"euc? (silver, smooth)",eucter,-18.22401,145.52532,sen,2,QLD_Blencoe_Falls,150816
QL233,"euc? (silver, smooth)",eucter,-18.22401,145.52532,mid,3,QLD_Blencoe_Falls,150816
QL232,"euc? (silver, smooth)",eucter,-18.22401,145.52532,new,3,QLD_Blencoe_Falls,150816
QL234,"euc? (silver, smooth)",eucter,-18.22401,145.52532,old,3,QLD_Blencoe_Falls,150816
QL225,"euc? (silver, smooth)",eucter,-18.22401,145.52532,sen,3,QLD_Blencoe_Falls,150816
QL305,euc? (stringy bark),eucmed,-18.29734,145.48915,mid,1,QLD_Princess_Hill,150819
QL304,euc? (stringy bark),eucmed,-18.29734,145.48915,new,1,QLD_Princess_Hill,150819
QL306,euc? (stringy bark),eucmed,-18.29734,145.48915,old,1,QLD_Princess_Hill,150819
QL301,euc? (stringy bark),eucmed,-18.29734,145.48915,sen,1,QLD_Princess_Hill,150819
QL308,euc? (stringy bark),eucmed,-18.29734,145.48915,mid,2,QLD_Princess_Hill,150819
QL307,euc? (stringy bark),eucmed,-18.29734,145.48915,new,2,QLD_Princess_Hill,150819
QL309,euc? (stringy bark),eucmed,-18.29734,145.48915,old,2,QLD_Princess_Hill,150819
QL302,euc? (stringy bark),eucmed,-18.29734,145.48915,sen,2,QLD_Princess_Hill,150819
QL311,euc? (stringy bark),eucmed,-18.29734,145.48915,mid,3,QLD_Princess_Hill,150819
QL310,euc? (stringy bark),eucmed,-18.29734,145.48915,new,3,QLD_Princess_Hill,150819
QL312,euc? (stringy bark),eucmed,-18.29734,145.48915,old,3,QLD_Princess_Hill,150819
QL303,euc? (stringy bark),eucmed,-18.29734,145.48915,sen,3,QLD_Princess_Hill,150819
T320,eucamy,eucamy,-42.12299,148.34204,mid,1,TAS_Freycinet,150311
T319,eucamy,eucamy,-42.12299,148.34204,new,1,TAS_Freycinet,150311
T321,eucamy,eucamy,-42.12299,148.34204,old,1,TAS_Freycinet,150311
T322,eucamy,eucamy,-42.12299,148.34204,sen,1,TAS_Freycinet,150311
T324,eucamy,eucamy,-42.12299,148.34204,mid,2,TAS_Freycinet,150311
T323,eucamy,eucamy,-42.12299,148.34204,new,2,TAS_Freycinet,150311
T325,eucamy,eucamy,-42.12299,148.34204,old,2,TAS_Freycinet,150311
T326,eucamy,eucamy,-42.12299,148.34204,sen,2,TAS_Freycinet,150311
T328,eucamy,eucamy,-42.12299,148.34204,mid,3,TAS_Freycinet,150311
T327,eucamy,eucamy,-42.12299,148.34204,new,3,TAS_Freycinet,150311
T329,eucamy,eucamy,-42.12299,148.34204,old,3,TAS_Freycinet,150311
