sample,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,PARi,PARo
QL047,7.273463717,0.085031494,249.7418481,1.436719095,1.586871369,24.20672226,6,412.980835,399.5281372,13.09602928,15.52072906,39.9498291,47.34644699,1498.803223,0.280061096
QL047,27.49312738,0.086088686,1208.696119,1.523432184,1.662005613,24.59213448,6,1829.664307,1777.90564,12.90417862,15.47458935,37.7009964,45.21073532,1500.114746,0.067215472
QL046,3.399889571,0.043182202,265.8568807,0.769845609,1.648755928,24.04275703,6,408.9036255,403.3352051,13.40034962,14.53890705,42.88955688,46.53365707,1498.96521,0.175885603
QL046,17.09235534,0.047780454,1166.399721,0.869543285,1.685429224,24.34985352,6,1823.650146,1791.680176,13.27517509,14.74375248,40.66111755,45.1592865,1500.34668,0.295751899
QL048,1.3924399,0.052012173,351.2092871,1.00987026,1.800546857,24.81687927,6,409.8594666,406.7685852,12.73160267,14.43761635,37.08571625,42.05513763,1498.749756,0.101943135
QL048,9.838636349,0.055123105,1433.659383,1.073501266,1.808286872,24.81687546,6,1795.558594,1775.428345,12.54032993,14.35390663,36.48590851,41.76248169,1500.310669,0.078417249
QL051,8.003217923,0.098754272,248.4837366,1.884030386,1.799643739,25.2997303,6,407.5324097,392.5475159,12.24907875,15.42843246,37.5128746,47.24966049,1500.401978,0.181485966
QL051,25.05701196,0.09765882,1283.752335,1.821452361,1.759219035,25.04227257,6,1802.956543,1754.523071,12.2591753,15.33379269,37.83796692,47.32778168,1499.551025,0.101944268
QL050,18.70622468,0.314148177,258.918124,4.177023476,1.354144698,24.74359131,6,406.3583984,371.6309814,12.05563068,19.079319,34.61872864,54.78782272,1499.712891,0.08625859
QL050,36.47970471,0.311474267,1476.152593,4.287395677,1.399913134,25.09708023,6,1797.168945,1721.988892,12.09717369,19.30387878,34.40306091,54.89815521,1499.452148,0.122111432
QL052,0.071145378,0.062780806,391.1867616,1.253140318,1.858823837,25.09710503,6,407.0304565,406.0362244,12.25890732,14.37627506,38.28950119,44.90288925,1500.387817,0.174761832
QL052,3.016509704,0.061321607,1652.079015,1.171046406,1.77855954,24.60503578,6,1794.763062,1786.006592,12.26429081,14.24318027,38.77613068,45.0328064,1500.387817,0.120987922
QL071,3.942014859,0.101909478,323.3280911,1.300938234,1.319216829,24.30841446,6,400.2652893,394.9169312,15.48074722,17.01571846,64.20131683,70.56710052,1501.237427,0.007841633
QL071,14.18485233,0.105608869,1520.990001,1.36001376,1.332840026,24.24913788,6,1798.625122,1778.693848,15.17111301,16.77628136,60.75239563,67.18025208,1500.057861,0.008961908
QL070,0.107696978,0.022727767,383.2176836,0.334006829,1.471749774,25.3846283,6,400.4266663,400.1369629,17.11006546,17.50397873,66.38497162,67.91330719,1500.511597,0.06385503
QL070,6.781668333,0.022908616,1277.998814,0.343693331,1.503833639,25.00112343,6,1801.298706,1792.418579,16.06257629,16.46834755,63.75638199,65.36698914,1500.839111,0.21172525
QL072,6.168595721,0.108920015,289.9728762,1.450539456,1.38002575,24.38568878,6,399.5047913,391.4183044,14.8457756,16.55820465,56.81915665,63.37312317,1500.095947,0.150112003
QL072,16.6110251,0.169374776,1573.285961,2.165431497,1.354093332,24.61095047,6,1799.850952,1775.297729,14.66794968,17.22242737,55.4473381,65.10369873,1499.852417,0.236376405
QL075,5.399680465,0.069444608,257.2243788,1.026350468,1.509505373,24.44134903,6,399.3518677,392.3862915,14.17482948,15.38796616,52.33206177,56.81084061,1501.214478,0.228538379
QL075,16.72145995,0.051473069,1205.30228,0.818604127,1.612432837,24.94013023,6,1799.849609,1772.578735,14.08201885,15.29168606,49.78224945,54.05861664,1499.53125,0.0996994
QL074,7.831486984,0.080808453,223.3798879,1.159818559,1.471774616,24.53804398,6,399.8156433,389.8723145,14.56362057,15.93362999,55.61177826,60.84321594,1501.086914,0.268862069
QL074,18.34081216,0.061965032,1253.97903,0.945725275,1.553923076,24.72548485,6,1799.171875,1775.140625,14.35153484,15.46920872,52.73846054,56.8456459,1501.24231,0.451464415
QL076,3.395574861,0.090342337,322.9971959,1.251399857,1.426205921,24.09773445,6,398.9647827,393.1300964,13.74273682,15.59164047,48.59604645,55.1340065,1500.252197,0.180363327
QL076,10.70055237,0.106301414,1574.627338,1.52865846,1.488724514,24.5725956,6,1801.552246,1781.406372,13.57399178,15.83183193,45.90988541,53.54633713,1500.065674,0.303582162
QL079,7.405496635,0.120370239,276.4731114,1.732981625,1.498019741,24.73031044,6,398.9466553,386.8263855,13.46917534,16.02835083,47.72032166,56.78730011,1499.841064,0.05153051
QL079,18.48832018,0.105559736,1440.635677,1.546435185,1.516397833,24.58597565,6,1801.588623,1769.733887,13.29921913,15.58394814,47.34551239,55.47919464,1500.882568,0.147870585
QL078,4.299262329,0.050843318,245.5367645,0.91648669,1.825864709,25.82754898,6,399.4850769,392.4930725,13.52668762,14.8816452,45.49620056,50.05351639,1499.828857,0.107538916
QL078,11.65442517,0.049621078,1355.788427,0.859062811,1.753513462,25.44373512,6,1801.790894,1782.005371,13.58342743,14.85336971,47.75585556,52.2206459,1499.248413,0.191564649
QL080,8.740722088,0.173104673,291.803565,2.22373669,1.363308154,24.25998116,6,399.0339661,384.6335449,13.21613026,16.49815178,47.1353302,58.8406601,1499.7229,0.022405531
QL080,14.34675536,0.211990003,1621.315772,2.67493063,1.357366342,24.57480431,6,1802.651123,1773.996216,13.17941475,17.12541008,44.98493958,58.45370483,1499.838623,0.151229754
