sample,N,C,H,S
QL319,1.0015,54.5608,6.943,0.05
QL010,0.8885,49.5696,6.622,0.06
QL320,1.1532,53.9426,6.85,0.056
QL242,1.2811,52.2654,6.426,0.04
QL404,0.6444,53.976,6.832,0.037
QL005,1.3993,49.0912,6.543,0.056
QL313,1.1849,54.4516,7.102,0.051
QL228,1.5826,54.8214,7.204,0.043
YG203,1.1105,55.3618,6.772,0.04
YG170,0.8423,54.9325,6.715,0.045
YG188,0.8707,54.931,6.7,0.009
YG187,0.8654,55.1365,6.782,0.042
QL001,1.3598,49.7977,6.481,0.052
YG169,0.8653,54.5965,6.746,0.041
std (orchard leaf),1.8963,51.0638,6.558,0.062
QL238,1.1625,52.5466,6.467,0.043
QL006,1.3179,49.3643,6.481,0.07
QL002,1.229,49.778,6.542,0.087
QL233,1.4029,54.8166,6.941,0.072
QL230,1.3524,55.2882,7.054,0.031
QL415,0.8567,49.8126,6.314,0.061
QL403,0.6949,53.195,6.481,0.03
QL241,1.0559,53.3911,6.431,0.043
QL239,1.2376,52.527,6.409,0.041
QL316,1.0548,54.2894,6.805,0.012
QL314,1.3538,53.8844,6.842,0.055
QL236,1.1909,50.9657,6.088,0.017
RH056,0.8184,53.83,6.98,0.055
RH006,1.5402,53.5232,6.879,0.074
RH002,1.2101,53.2385,6.683,0.052
RH001,1.0787,53.536,6.679,0.048
RH005,1.2463,54.2485,6.959,0.059
RH010,0.9459,52.6754,6.717,0.05
RH009,0.9758,53.936,6.818,0.049
RH060,0.6619,52.7124,6.578,0.043
std (orchard leaf),1.9183,51.0259,6.517,0.043
RH055,1.3151,55.3711,7.347,0.07
RH059,1.0072,54.0109,6.971,0.036
RH064,0.8584,53.938,6.978,0.068
RH063,1.3352,54.1769,7.132,0.078
KG138,0.9421,55.4953,6.42,0.048
KG139,0.8733,55.6691,6.342,0.014
KG123,0.7827,54.9401,6.817,0.039
KG119,0.9755,54.8611,6.644,0.036
KG118,1.0184,54.4334,6.524,0.056
KG038,0.809,53.9001,6.382,0.017
KG135,0.9545,55.2303,6.721,0.051
std (orchard leaf),1.8604,50.6075,6.458,0.099
KG142,0.9238,52.7321,6.224,0.075
KG143,0.9721,52.5369,6.345,0.058
KG103,0.8411,55.3361,6.67,0.054
KG122,0.8684,54.8706,6.717,0.056
KG037,0.9089,53.6846,6.331,0.058
KG107,1.022,55.1183,6.592,0.041
KG023,0.973,56.4243,6.707,0.049
YG085,1.7838,54.0309,6.763,0.059
