Section,Subsection,Series,Subseries,Taxon code,Taxon,n,Relationships,
Distance,Cladistic,,,,,,,
Racemus,,,,SR,Eucalyptus michaeliana,2,Poly,Poly
Inclusae,,,,SI,Eucalyptus diversicolor,3,Mono,Mono
Latoangulatae,,Transversae,,SLaT,Eucalyptus brunneaa,3,Mono,Mono
Latoangulatae,,Transversae,,SLaT,Eucalyptus deanei,3,Mono,Mono
Latoangulatae,,Transversae,,SLaT,Eucalyptus grandis,7,Mono,Mono
Latoangulatae,,Transversae,,SLaT, subsp. grandis,4,Mono,Mono
Latoangulatae,,Transversae,,SLaT, subsp. ‘Northern’,3,Para,Para
Latoangulatae,,Transversae,,SLaT,Eucalyptus saligna,4,Poly,Para
Latoangulatae,,Annulares,,SLaA,Eucalyptus urophylla,5,Mono,Mono
Latoangulatae,,Annulares,,SLaA,Eucalyptus orophilaa,0,–,–
Latoangulatae,,Annulares,,SLaA,Eucalyptus pellita,3,Para,Para
Latoangulatae,,Annulares,,SLaA,Eucalyptus biterraneaa,2,Polyb,Polyb
Latoangulatae,,Annulares,,SLaA,Eucalyptus scias,7,Poly,Poly
Latoangulatae,,Annulares,,SLaA, subsp. callimastha,2,Mono,Mono
Latoangulatae,,Annulares,,SLaA, subsp. scias,3,Poly,Poly
Latoangulatae,,Annulares,,SLaA, subsp. apoda,2,Para,Para
Latoangulatae,,Annulares,,SLaA,Eucalyptus notabilis,2,Poly,Poly
Latoangulatae,,Annulares,,SLaA,Eucalyptus resinifera,5,Para,Para
Latoangulatae,,Annulares,,SLaA, subsp. resinifera,2,Poly,Para
Latoangulatae,,Annulares,,SLaA, subsp. hemilampra,3,Mono,Para
Latoangulatae,,Annulares,,SLaA,Eucalyptus mactaa,3,Mono,Mono
Latoangulatae,,Annulares,,SLaA,Eucalyptus robusta,4,Mono,Mono
Latoangulatae,,Annulares,,SLaA,Eucalyptus botryoides,4,Mono,Mono
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus major,4,Para,Poly
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus propinqua,4,Poly,Poly
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus canaliculata,3,Para,Poly
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus punctatac,6,Poly,Poly
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus griseaa,1,–,–
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus longirostrata,3,Poly,Poly
Similares,,,,SSi,Eucalyptus longifolia,4,Mono,Mono
Incognitae,,,,SIn,Eucalyptus cosmophylla,3,Mono,Mono
Incognitae,,,,SIn,Eucalyptus paludicola,3,Mono,Mono
Liberivalvae,,,,SLi,Eucalyptus seeana,3,Mono,Mono
Liberivalvae,,,,SLi,Eucalyptus interstans,2,Mono,Mono
Liberivalvae,,,,SLi,Eucalyptus disclusaa,1,–,–
Liberivalvae,,,,SLi,Eucalyptus prava,4,Mono,Mono
Liberivalvae,,,,SLi,Eucalyptus bancroftii,4,Poly,Poly
Liberivalvae,,,,SLi,Eucalyptus parramattensis,6,Mono,Mono
Liberivalvae,,,,SLi, subsp. decadens,3,Mono,Poly
Liberivalvae,,,,SLi, subsp. parramattensis,3,Mono,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus nandewarica,3,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus dwyeri,3,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus dealbata,4,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus vicina,6,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus flindersii,3,Mono,Mono
